政府工作报告|||﻿RAPPORT D’ACTIVITÉ DU GOUVERNEMENT
——2021年3月5日在第十三届全国人民代表大会第四次会议上|||Présenté le 5 mars 2021 à la quatrième session de la XIIIe Assemblée populaire nationale
国务院总理 李克强|||Li Keqiang, Premier ministre du Conseil des affaires d’État
各位代表：|||Mesdames et Messieurs les députés,
现在，我代表国务院，向大会报告政府工作，请予审议，并请全国政协委员提出意见。|||Au nom du Conseil des affaires d’État, j’ai l’honneur de soumettre à l’examen de la présente session de l’Assemblée le rapport d’activité du gouvernement. J’invite par la même occasion les membres du Comité national de la Conférence consultative politique du peuple chinois (CCPPC), qui assistent aux travaux de la présente session, à nous faire part de leurs remarques sur ce rapport.
一、2020年工作回顾|||BILAN DU TRAVAIL ACCOMPLI EN 2020
过去一年，在新中国历史上极不平凡。|||L’année dernière fut une année extraordinaire dans l’histoire de la Chine nouvelle.
面对突如其来的新冠肺炎疫情、世界经济深度衰退等多重严重冲击，在以习近平同志为核心的党中央坚强领导下，全国各族人民顽强拼搏，疫情防控取得重大战略成果，在全球主要经济体中唯一实现经济正增长，脱贫攻坚战取得全面胜利，决胜全面建成小康社会取得决定性成就，交出一份人民满意、世界瞩目、可以载入史册的答卷。|||Face à l’apparition soudaine du COVID-19, à la récession profonde de l’économie mondiale et à d’autres chocs, notre peuple multiethnique, sous la ferme direction du Comité central du Parti rassemblé autour du camarade Xi Jinping, a mené une lutte opiniâtre. Des résultats stratégiques majeurs ont été obtenus dans la lutte contre le COVID-19, notre pays a été le seul parmi les principales économies du monde à réaliser une croissance positive, une victoire globale a été remportée dans la lutte contre la pauvreté, et des résultats substantiels ont été enregistrés pour remporter la victoire décisive de l’édification intégrale de la société de moyenne aisance. Ces accomplissements remarquables sont à la hauteur des attentes de notre peuple et méritent d’être inscrits dans les annales de l’histoire.
全年发展主要目标任务较好完成，我国改革开放和社会主义现代化建设又取得新的重大进展。|||Nous avons bien accompli les principaux objectifs de développement fixés pour l’année 2020, et de nouveaux progrès majeurs ont été réalisés dans la réforme et l’ouverture sur l’extérieur ainsi que dans la modernisation socialiste du pays.
在艰辛的抗疫历程中，党中央始终坚持人民至上、生命至上，习近平总书记亲自指挥、亲自部署，各方面持续努力，不断巩固防控成果。|||Dans la lutte acharnée contre le COVID-19, le Comité central du Parti a accordé toujours la priorité au peuple et à la vie humaine, le secrétaire général Xi Jinping a pris les commandes de la lutte en mettant en place toutes les dispositions nécessaires, et tous les secteurs ont déployé des efforts constants, afin de consolider sans cesse les résultats obtenus dans la maîtrise de la situation épidémique.
我们针对疫情形势变化，及时调整防控策略，健全常态化防控机制，有效处置局部地区聚集性疫情，最大限度保护了人民生命安全和身体健康，为恢复生产生活秩序创造必要条件。|||En fonction de l’évolution de la situation, nous avons réajusté à temps les mesures de prévention et de contrôle. Les mécanismes de contrôle permanent ont été perfectionnés, et les foyers d’infection apparus dans certaines régions du pays ont été maîtrisés. Nous avons pu ainsi protéger au maximum la vie et la santé de notre population et créer les conditions nécessaires pour la reprise de la production et le retour à une vie normale.
一年来，我们贯彻党中央决策部署，统筹推进疫情防控和经济社会发展，主要做了以下工作。|||Depuis un an, nous avons mené de front la lutte contre le COVID-19 et la poursuite du développement économique et social conformément aux décisions et dispositions prises par le Comité central du Parti. Voici un résumé de ce que nous avons fait.
一是围绕市场主体的急需制定和实施宏观政策，稳住了经济基本盘。|||Premièrement, une attention particulière a été accordée aux besoins urgents des acteurs du marché dans l’élaboration et l’exécution de nos politiques macroéconomiques, de sorte que les assises de notre économie n’ont pas été ébranlées.
面对历史罕见的冲击，我们在“六稳”工作基础上，明确提出“六保”任务，特别是保就业保民生保市场主体，以保促稳、稳中求进。|||Face à une crise exceptionnelle, en plus des « six stabilisations » [Il s’agit des mesures pour stabiliser l’emploi, la finance, le commerce extérieur, les capitaux étrangers, les investissements et les anticipations. — N.D.T.], nous nous sommes fixé l’objectif des « six garanties » [Il s’agit de la garantie de l’emploi, du bien-être de la population, de l’initiative des acteurs du marché, de la sécurité alimentaire et énergétique, de la stabilité des chaînes industrielles et d’approvisionnement ainsi que du fonctionnement des administrations de base. — N.D.T.], qui consistent notamment à garantir l’emploi, le bien-être de la population et l’initiative des acteurs du marché. Nous avons toujours travaillé à promouvoir la stabilisation via les garanties et nous avons réussi à progresser à pas assurés.
立足国情实际，既及时果断又保持定力，坚持不搞“大水漫灌”，科学把握规模性政策的平衡点。|||En nous basant sur les réalités nationales, nous avons pris rapidement des mesures fermes sans dévier de notre cap. Le recours à des mesures de surstimulation n’est pas une option pour nous, et nous avons veillé à trouver le point d’équilibre dans l’application des politiques à gros budget.
注重用改革和创新办法，助企纾困和激发活力并举，帮助受冲击最直接且量大面广的中小微企业和个体工商户渡难关。|||Nous avons tenu à privilégier la réforme et l’innovation pour aider un grand nombre d’entreprises présentes dans les secteurs les plus variés à surmonter leurs difficultés et à retrouver leur dynamisme. Ainsi les PME, microentreprises et autoentrepreneurs qui avaient été le plus gravement affectés ont pu traverser cette période difficile.
实施阶段性大规模减税降费，与制度性安排相结合，全年为市场主体减负超过2.6万亿元，其中减免社保费1.7万亿元。|||Nous avons procédé temporairement à une réduction massive d’impôts et de charges tout en la mettant en accord avec les arrangements institutionnels. Le montant total des allègements fiscaux pour les acteurs du marché a été de plus de 2 600 milliards de yuans en 2020, dont 1 700 milliards de yuans pour la baisse ou l’exonération des cotisations patronales à la sécurité sociale.
创新宏观政策实施方式，对新增2万亿元中央财政资金建立直达机制，省级财政加大资金下沉力度，共同为市县基层落实惠企利民政策及时补充财力。|||Nous avons adopté de nouveaux modes d’application de nos politiques macroéconomiques. Un mécanisme d’acheminement direct a été mis en place pour les 2 000 milliards de yuans supplémentaires débloqués par les finances centrales, et les finances provinciales ont aussi alloué davantage de fonds aux échelons inférieurs, dans le but d’aider ensemble les villes et les districts à mieux concrétiser les politiques en faveur des entreprises et de la population.
支持银行定向增加贷款并降低利率水平，对中小微企业贷款延期还本付息，大型商业银行普惠小微企业贷款增长50%以上，金融系统向实体经济让利1.5万亿元。|||Les banques ont été encouragées à accorder, de manière ciblée, davantage de crédits, à baisser leur taux d’intérêts et à appliquer un moratoire sur le service de la dette à l’égard des PME et des microentreprises. Les grandes banques commerciales publiques ont augmenté de plus de 50 % les crédits préférentiels octroyés aux PEMIC, et le système financier a cédé à l’économie réelle 1 500 milliards de yuans de ses bénéfices.
对大企业复工复产加强“点对点”服务。|||Des services individualisés ont été mis en place pour faciliter la reprise des activités des grandes entreprises.
经过艰苦努力，我们率先实现复工复产，经济恢复好于预期，全年国内生产总值增长2.3%，宏观调控积累了新的经验，以合理代价取得较大成效。|||Grâce à ces efforts ardus, nous avons été les premiers à reprendre la production. La reprise économique a été meilleure que prévu, et la croissance du PIB chinois pour l’année 2020 a été de 2,3 %. Nous avons renouvelé notre expérience dans la maîtrise des instruments du macrocontrôle. Tous ces résultats ont été obtenus à un prix raisonnable.
二是优先稳就业保民生，人民生活得到切实保障。|||Deuxièmement, nous avons donné la priorité à la stabilisation de l’emploi et à la garantie du bien-être de la population, si bien que le niveau de vie de la population a été assuré.
就业是最大的民生，保市场主体也是为稳就业保民生。|||L’emploi touche au bien-être essentiel de la population, et maintenir le dynamisme des acteurs du marché, c’est aussi pour stabiliser l’emploi et garantir le bien-être de la population.
各地加大稳岗扩岗激励力度，企业和员工共同克服困难。|||Les autorités à tous les échelons ont déployé plus d’efforts pour stabiliser l’emploi, voire stimuler la création d’emplois, et encouragé les entreprises et leurs employés à lutter ensemble pour surmonter leurs difficultés.
多渠道做好重点群体就业工作，支持大众创业万众创新带动就业。|||Nous avons mené à bien, par divers moyens, l’embauche des groupes prioritaires et fait jouer à l’entrepreneuriat et à l’innovation de masse leur rôle de soutien à l’emploi.
新增市场主体恢复快速增长，创造了大量就业岗位。城镇新增就业1186万人，年末全国城镇调查失业率降到5.2%。|||Le nombre de nouveaux acteurs du marché a retrouvé une croissance rapide, permettant de créer de nombreux emplois. 11,86 millions de nouveaux postes ont été créés dans les villes, et le taux de chômage au sens du recensement de la population est tombé à 5,2 % en fin d’année.
作为最大发展中国家，在巨大冲击下能够保持就业大局稳定，尤为难能可贵。|||Garantir l’emploi face à une situation aussi difficile représente un véritable exploit, d’autant que la Chine demeure le plus grand pays en voie de développement dans le monde.
加强生活必需品保供稳价，居民消费价格上涨2.5%。|||Nous avons assuré l’approvisionnement des produits de première nécessité et stabilisé leurs prix, et l’indice des prix à la consommation a augmenté de 2,5 %.
线上办公、网络购物、无接触配送等广泛开展。|||Le télétravail, les achats en ligne et les livraisons sans contact ont été largement pratiqués.
大幅度扩大失业保险保障范围。|||La couverture de l’assurance chômage a été grandement étendue.
对因疫情遇困群众及时给予救助，新纳入低保、特困供养近600万人，实施临时救助超过800万人次。|||Des aides ont été immédiatement apportées aux populations dont la vie quotidienne avait été embarrassée par l’épidémie. Près de 6 millions de personnes ont été fraîchement inscrites au minimum vital ou à la prise en charge des plus démunis, et une assistance temporaire a été apportée à plus de 8 millions de personnes.
抵御严重洪涝、台风等自然灾害，全力应急抢险救援，妥善安置受灾群众，保障了人民群众生命财产安全和基本生活。|||Des efforts ont été déployés pour lutter contre les calamités naturelles telles que les inondations graves et les typhons, et nous avons tout fait pour traiter les urgences, mener à bien les opérations de secours et aider les sinistrés à retourner à une vie normale, de sorte que la sécurité des personnes et des biens ainsi que les moyens d’existence des sinistrés ont été garantis.
三是坚决打好三大攻坚战，主要目标任务如期完成。|||Troisièmement, nous avons mené avec détermination les trois grandes batailles, et les principaux objectifs et tâches ont été accomplis dans les délais prévus.
较大幅度增加财政扶贫资金投入。|||Les fonds budgétaires destinés à la lutte contre la pauvreté se sont accrus de manière significative.
对工作难度大的贫困县和贫困村挂牌督战，精准落实各项帮扶措施。|||Le gouvernement central a enjoint aux autorités locales d’éliminer la pauvreté dans les districts et les villages pauvres où la tâche est particulièrement lourde, et fait en sorte que les mesures d’assistance soient effectivement mises en place.
优先支持贫困劳动力稳岗就业，帮助返乡贫困劳动力再就业，努力稳住务工收入。|||Notre soutien est d’abord allé à l’emploi des personnes démunies et à la réinsertion professionnelle des travailleurs démunis retournés à la campagne, et nous nous sommes efforcés de maintenir le niveau des revenus des travailleurs migrants.
加大产业扶贫力度，深入开展消费扶贫。|||Nous avons redoublé d’efforts pour lutter contre la pauvreté via l’assistance industrielle et la promotion de la consommation.
加强易返贫致贫人口监测和帮扶。|||Nous avons renforcé le suivi et apporté une aide personnalisée aux personnes qui risquaient de tomber ou retomber dans la pauvreté.
年初剩余的551万农村贫困人口全部脱贫、52个贫困县全部摘帽。|||Les 5,51 millions d’habitants des zones rurales et les 52 districts qui étaient encore dans la pauvreté au début de l’année en sont tous sortis.
继续打好蓝天、碧水、净土保卫战，完成污染防治攻坚战阶段性目标任务。|||La campagne « ciel bleu, eaux limpides, terre propre » a été poursuivie, et les objectifs de la lutte contre la pollution pour l’étape actuelle ont été atteints.
长江、黄河、海岸带等重要生态系统保护和修复重大工程深入实施，生态建设得到加强。|||La mise en œuvre des projets d’importance majeure pour la protection et la reconstitution des écosystèmes essentiels du Changjiang et du Huanghe et des zones côtières a gagné en profondeur, et la construction écologique a été renforcée.
