携手共建人类卫生健康共同体|||BÂTIR ENSEMBLE UNE COMMUNAUTÉ DE SANTÉ POUR TOUS
——在全球健康峰会上的讲话|||Allocution au Sommet mondial sur la Santé
（2021年5月21日，北京）|||Beijing, 21 mai 2021
中华人民共和国主席 习近平|||Monsieur Xi Jinping, Président de la République populaire de Chine
尊敬的德拉吉总理，|||Monsieur le Premier Ministre Mario Draghi,
尊敬的冯德莱恩主席，|||Madame la Présidente Ursula von der Leyen,
各位同事：|||Chers Collègues,
很高兴出席全球健康峰会。|||C’est un grand plaisir pour moi de participer au Sommet mondial sur la Santé.
去年，二十国集团成功举行了应对新冠肺炎特别峰会和利雅得峰会，就推动全球团结抗疫、助力世界经济恢复达成许多重要共识。|||L’année dernière, le G20 a tenu avec succès le Sommet extraordinaire sur la réponse à la COVID-19 et le Sommet de Riyad. D’importants consensus ont été dégagés sur la promotion de la solidarité internationale face à l’épidémie et le renforcement de la reprise mondiale.
一年多来，疫情起伏反复，病毒频繁变异，百年来最严重的传染病大流行仍在肆虐。|||Depuis plus d’un an, avec des recrudescences et l’apparition de variants du virus, la pandémie la plus grave depuis un siècle continue de se propager.
早日战胜疫情、恢复经济增长，是国际社会的首要任务。|||Vaincre rapidement la COVID-19 et relancer la croissance sont la première priorité de la communauté internationale.
二十国集团成员应该在全球抗疫合作中扛起责任，同时要总结正反两方面经验，抓紧补短板、堵漏洞、强弱项，着力提高应对重大突发公共卫生事件能力和水平。|||Les membres du G20 doivent assumer leurs responsabilités dans la coopération internationale contre l’épidémie, et en même temps, faire le bilan des expériences positives et négatives, redoubler d’efforts pour combler les insuffisances, les lacunes et les faiblesses, et renforcer les capacités de réponse aux urgences majeures de santé publique.
下面，我想谈5点意见。|||À cet égard, je voudrais partager avec vous mes réflexions en cinq points.
第一，坚持人民至上、生命至上。|||Premièrement, nous devons placer les peuples et leur vie au-dessus de tout.
抗击疫情是为了人民，也必须依靠人民。|||La lutte contre l’épidémie est un combat pour le peuple et par le peuple.
