中国共产党章程|||STATUTS DU PARTI COMMUNISTE CHINOIS
（中国共产党第十九次全国代表大会部分修改，2017年10月24日通过）|||(Projet de révision, adopté le 24 octobre 2017 par le XIXe Congrès du Parti communiste chinois)
总纲|||PROGRAMME GÉNÉRAL
中国共产党是中国工人阶级的先锋队，同时是中国人民和中华民族的先锋队，是中国特色社会主义事业的领导核心，代表中国先进生产力的发展要求，代表中国先进文化的前进方向，代表中国最广大人民的根本利益。|||Le Parti communiste chinois est le détachement d’avant-garde de la classe ouvrière chinoise, en même temps que celui du peuple et de la nation chinois, ainsi que le noyau dirigeant de la cause du socialisme à la chinoise ; en tant que tel, il incarne les exigences du développement des forces productives avancées en Chine, l’orientation du progrès de la culture chinoise avancée et il incarne enfin les intérêts fondamentaux de l’immense majorité de la population de notre pays.
党的最高理想和最终目标是实现共产主义。|||L’idéal suprême et le but final du Parti résident dans l’accomplissement du communisme.
中国共产党以马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观、习近平新时代中国特色社会主义思想作为自己的行动指南。|||Le Parti communiste chinois fait du marxisme-léninisme, de la pensée de Mao Zedong, de la théorie de Deng Xiaoping, de la pensée importante de la « Triple Représentation », du concept de développement scientifique et de la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère le guide de son action.
马克思列宁主义揭示了人类社会历史发展的规律，它的基本原理是正确的，具有强大的生命力。|||Le marxisme-léninisme met en lumière les lois du mouvement de l’histoire de la société humaine, ses principes fondamentaux sont justes et doués d’un puissant dynamisme.
中国共产党人追求的共产主义最高理想，只有在社会主义社会充分发展和高度发达的基础上才能实现。|||Le communisme, en tant qu’idéal suprême souhaité par les communistes chinois, ne peut être réalisé que sur la base d’une société socialiste évoluée et hautement développée.
社会主义制度的发展和完善是一个长期的历史过程。|||Le développement et le perfectionnement du régime socialiste constituent un long processus historique.
坚持马克思列宁主义的基本原理，走中国人民自愿选择的适合中国国情的道路，中国的社会主义事业必将取得最终的胜利。|||En persévérant dans l’application des principes fondamentaux du marxisme-léninisme, tout en suivant la voie que le peuple chinois a choisie de son plein gré et qui est parfaitement adaptée à la situation particulière de ce pays, la cause du socialisme chinois finira par triompher.
以毛泽东同志为主要代表的中国共产党人，把马克思列宁主义的基本原理同中国革命的具体实践结合起来，创立了毛泽东思想。|||Les communistes chinois, avec le camarade Mao Zedong comme principal représentant, ont créé la pensée de Mao Zedong en combinant les principes fondamentaux du marxisme-léninisme avec les expériences concrètes de la révolution chinoise.
