二十载命运与共，新时代再攀高峰|||VINGT ANS DE PARCOURS COMMUN VERS DE NOUVEAUX SUCCÈS DANS LA NOUVELLE ÈRE
——纪念中非合作论坛成立20周年|||— En commémoration du 20e anniversaire du Forum sur la Coopération sino-africaine
国务委员兼外交部长 王毅|||Wang Yi, Conseiller d’État et Ministre des Affaires étrangères
（2020年10月15日）|||15 octobre 2020
2020年是中非合作论坛成立20年。|||L’année 2020 marque le 20e anniversaire du Forum sur la Coopération sino-africaine (FCSA).
10月12日，习近平主席同论坛现任非方共同主席国、塞内加尔总统萨勒共致贺电庆祝这一重要事件。|||Le 12 octobre, le Président Xi Jinping et le Président Macky Sall du Sénégal, pays coprésident du Forum, ont envoyé conjointement un message de félicitations pour cet anniversaire important.
20年前，中国和非洲兄弟迎着新世纪的曙光，顺应和平与发展时代主题，高举合作共赢的大旗，倡议成立了中非合作论坛。|||Il y a 20 ans, à l’aube du nouveau siècle, la Chine et l’Afrique, unies par une amitié fraternelle, ont créé le Forum sur la Coopération sino-africaine, en suivant la tendance de la paix et du développement de notre temps et en portant haut levé le drapeau de la coopération mutuellement bénéfique.
中非友好大家庭从此有了属于自己的集体对话平台和务实合作机制，中非关系迈入了新的历史发展阶段。|||Depuis lors, la grande famille Chine-Afrique possède sa propre plateforme de dialogue collectif et son propre mécanisme de coopération pragmatique, et les relations sino-africaines sont entrées dans une nouvelle phase de développement.
20年风雨兼程，20年春华秋实。|||Les 20 ans écoulés sont marqués par des engagements communs et des résultats concrets.
在中非合作论坛引领下，中非高层互动日益频繁，政治互信持续深化，中非关系完成了“新型伙伴关系”、“新型战略伙伴关系”、“全面战略合作伙伴关系”三级跳。|||Sous l’orientation du FCSA, la Chine et l’Afrique ont vu leurs échanges de haut niveau s’intensifier de jour en jour et leur confiance politique mutuelle gagner sans cesse en profondeur. Les relations sino-africaines se sont hissées au niveau de partenariat de type nouveau, puis à celui de partenariat stratégique de type nouveau avant d’être portées aujourd’hui au niveau de partenariat de coopération stratégique global.
中非合作举世瞩目。|||La Chine et l’Afrique ont développé une coopération remarquable :
