在联合国生物多样性峰会上的讲话|||ALLOCUTION AU SOMMET DES NATIONS UNIES SUR LA BIODIVERSITÉ
（2020年9月30日，北京）|||Beijing, 30 septembre 2020
中华人民共和国主席 习近平|||M. XI JINPING, PRÉSIDENT DE LA RÉPUBLIQUE POPULAIRE DE CHINE
主席先生，|||Monsieur le Président,
各位同事：|||Chers Collègues,
在联合国成立75周年之际，在各国致力于抗击新冠肺炎疫情、推动经济高质量复苏这一特殊时刻，联合国举办生物多样性峰会，大家共同探讨保护生物多样性、促进可持续发展的重大课题，具有现实而深远的意义。|||En ce moment particulier où l’ONU fête ses 75 ans et où les divers pays se battent contre la COVID-19 et œuvrent pour une reprise économique de haute qualité, notre Organisation a convoqué ce sommet sur la biodiversité. Il nous offre l’occasion d’avoir des échanges sur les thèmes majeurs de la conservation de la biodiversité et de la promotion du développement durable et est d’une grande pertinence actuelle et revêt une portée lointaine.
中国将于明年在昆明举办《生物多样性公约》第十五次缔约方大会，同各方共商全球生物多样性治理新战略。|||L’année prochaine, la Chine accueillera la quinzième réunion de la Conférence des Parties à la Convention sur la diversité biologique à Kunming, qui sera l’occasion pour les parties d’adopter de nouvelles stratégies pour la gouvernance mondiale de la biodiversité.
当前，全球物种灭绝速度不断加快，生物多样性丧失和生态系统退化对人类生存和发展构成重大风险。|||Actuellement, l’extinction des espèces dans le monde s’accélère. La perte de la biodiversité et la dégradation des écosystèmes représentent un risque majeur pour la survie et le développement de l’humanité.
新冠肺炎疫情告诉我们，人与自然是命运共同体。|||La COVID-19 nous rappelle l’interdépendance entre l’homme et la nature.
我们要同心协力，抓紧行动，在发展中保护，在保护中发展，共建万物和谐的美丽家园。|||Nous devons agir ensemble et sans tarder à la fois pour la protection et le développement, afin de faire de notre planète un beau foyer où tous les êtres vivent en harmonie.
我建议：|||À cette fin, je voudrais avancer les propositions suivantes :
第一，坚持生态文明，增强建设美丽世界动力。|||Premièrement, nous devons promouvoir la civilisation écologique et donner une plus grande dynamique à la construction d’un monde plus beau.
生物多样性关系人类福祉，是人类赖以生存和发展的重要基础。|||La biodiversité touche au bien-être de l’humanité et constitue une base importante pour sa survie et son développement.
工业文明创造了巨大物质财富，但也带来了生物多样性丧失和环境破坏的生态危机。|||La civilisation industrielle a permis de créer des richesses considérables, mais a aussi causé des crises écologiques entraînant la perte de la biodiversité et la dégradation de l’environnement.
生态兴则文明兴。|||Un écosystème sain est essentiel à la prospérité des civilisations.
我们要站在对人类文明负责的高度，尊重自然、顺应自然、保护自然，探索人与自然和谐共生之路，促进经济发展与生态保护协调统一，共建繁荣、清洁、美丽的世界。|||Nous devons nous hisser à la hauteur de nos responsabilités envers la civilisation humaine, respecter la nature, suivre sa loi et la protéger. Nous devons rechercher une voie qui nous permet de vivre en harmonie avec la nature, concilier et coordonner le développement économique et la protection écologique, pour construire ensemble un monde prospère, propre et beau.
第二，坚持多边主义，凝聚全球环境治理合力。|||Deuxièmement, nous devons poursuivre le multilatéralisme et dégager une synergie en faveur de la gouvernance environnementale mondiale.
联合国成立以来，国际社会积极推进全球环境治理。|||Depuis la fondation de l’ONU, la communauté internationale a activement œuvré à la gouvernance environnementale mondiale.
《生物多样性公约》、《联合国气候变化框架公约》及其《巴黎协定》等国际条约是相关环境治理的法律基础，也是多边合作的重要成果，得到各方广泛支持和参与。|||Les instruments internationaux, dont la Convention sur la diversité biologique, la Convention-cadre des Nations Unies sur les changements climatiques et l’Accord de Paris, en constituent la base juridique. Ils sont des acquis importants de la coopération multilatérale et bénéficient d’un soutien et d’une adhésion larges de la communauté internationale.
面对全球环境风险挑战，各国是同舟共济的命运共同体，单边主义不得人心，携手合作方为正道。|||Face aux multiples risques et défis planétaires en matière d’environnement, les différents pays sont à bord d’un même bateau et forment une communauté d’avenir partagé. L’unilatéralisme ne trouve pas de soutien, et la coopération est la bonne voie à suivre.
我们要坚定捍卫以联合国为核心的国际体系，维护国际规则尊严和权威，提升全球环境治理水平。|||Nous devons défendre fermement le système international centré sur l’ONU, préserver l’inviolabilité et l’autorité des règles internationales et renforcer la gouvernance environnementale mondiale.
第三，保持绿色发展，培育疫后经济高质量复苏活力。|||Troisièmement, nous devons poursuivre le développement vert et donner une impulsion à la reprise économique de haute qualité pour l’après-COVID-19.
新冠肺炎疫情对全球经济社会发展造成全面冲击，我们要着眼长远，保持定力，坚持绿色、包容、可持续发展。|||Cette épreuve sanitaire a impacté le développement économique et social sur tous les aspects à l’échelle mondiale. Nous devons adopter une vision de long terme, faire preuve de détermination et maintenir le cap du développement vert, inclusif et durable.
联合国发布的《2030年可持续发展议程》为各国发展指明了方向，生物多样性既是可持续发展基础，也是目标和手段。|||Le Programme de développement durable à l’horizon 2030 des Nations Unies a fixé l’orientation à suivre et identifié la biodiversité comme une base et un objectif du développement durable et aussi un moyen pour le réaliser.
我们要以自然之道，养万物之生，从保护自然中寻找发展机遇，实现生态环境保护和经济高质量发展双赢。|||Conscients que « nos solutions sont dans la nature », nous devons chercher des opportunités de développement à travers la protection de la nature et promouvoir à la fois la protection de l’environnement et un développement économique de haute qualité.
第四，增强责任心，提升应对环境挑战行动力。|||Quatrièmement, nous devons renforcer notre sens des responsabilités et accroître nos capacités d’action face aux défis environnementaux.
