团结抗疫　共克时艰|||VAINCRE LA COVID-19 PAR LA SOLIDARITÉ ET LA COOPÉRATION
——在中非团结抗疫特别峰会上的主旨讲话|||Allocution au Sommet extraordinaire Chine-Afrique sur la solidarité contre la COVID-19
（2020年6月17日，北京）|||Beijing, 17 juin 2020
中华人民共和国主席　习近平|||Monsieur Xi Jinping, Président de la République populaire de Chine
尊敬的拉马福萨总统，|||Monsieur le Président Cyril Ramaphosa,
尊敬的萨勒总统，|||Monsieur le Président Macky Sall,
尊敬的各位国家元首、政府首脑，|||Messieurs les Chefs d’État et de gouvernement,
尊敬的非洲联盟委员会主席法基先生，|||Monsieur le Président de la Commission de l’Union Africaine Moussa Faki Mahamat,
尊敬的联合国秘书长古特雷斯先生，|||Monsieur le Secrétaire général des Nations Unies António Guterres,
尊敬的世界卫生组织总干事谭德塞先生，|||Monsieur le Directeur général de l’Organisation mondiale de la Santé Dr Tedros Adhanom Ghebreyesus,
在全球抗击新冠肺炎疫情的重要时刻，我们举行这次中非特别峰会，同各位新老朋友通过视频相聚，共商团结抗疫大计，共叙中非兄弟情谊。|||Nous organisons aujourd’hui ce sommet extraordinaire Chine-Afrique à un moment important où les pays du monde se battent contre la COVID-19. Nous nous réunissons par visioconférence entre amis anciens et nouveaux pour échanger sur une lutte solidaire et consolider l’amitié fraternelle sino-africaine.
感谢拉马福萨总统、萨勒总统同我一道倡议举办这次会议，感谢各位同事出席会议。|||Je tiens à remercier le Président Cyril Ramaphosa et le Président Macky Sall d’avoir pris ensemble avec moi l’initiative de tenir cette conférence. Et je remercie tous les collègues qui sont présents au sommet.
我也向未出席会议的非洲各国领导人表示诚挚的问候！|||Je voudrais aussi exprimer mes salutations cordiales aux dirigeants africains qui ne sont pas avec nous aujourd’hui.
这次疫情突如其来，给世界各国带来严重冲击，夺走数十万人宝贵生命。|||La COVID-19 survenue soudainement a gravement impacté les différents pays du monde et coûté la vie à des centaines de milliers de personnes.
在此，我提议，我们为在疫情中的不幸罹难者默哀，向他们的亲人表示慰问。|||Je propose que nous observions un moment de silence en mémoire des personnes décédées et adressions nos sentiments de sympathie à leurs familles.
——面对疫情，中国和非洲经受了严峻考验。|||— Face à ce défi sanitaire, la Chine et l’Afrique ont résisté à une rude épreuve.
