携手抗疫　共克时艰|||ŒUVRONS ENSEMBLE À COMBATTRE L’ÉPIDÉMIE DE COVID-19
——在二十国集团领导人特别峰会上的发言|||—Allocution au Sommet extraordinaire du G20
（2020年3月26日，北京）|||Beijing, le 26 mars 2020
中华人民共和国主席　习近平|||Monsieur Xi Jinping, Président de la République populaire de Chine
尊敬的萨勒曼国王，|||Votre Majesté le Roi Salman Bin Abdulaziz Al Saud,
各位同事：|||Chers Collègues,
大家好！|||Je suis heureux de vous voir tous.
首先，我谨对萨勒曼国王和沙特方面为这次会议所做的大量沟通协调工作，表示衷心的感谢！|||Tout d’abord, je tiens à remercier sincèrement Sa Majesté le Roi Salman et l’Arabie saoudite d’avoir fait un travail considérable de communication et de coordination en vue du Sommet d’aujourd’hui.
面对突如其来的新冠肺炎疫情，中国政府、中国人民不畏艰险，始终把人民生命安全和身体健康摆在第一位，按照坚定信心、同舟共济、科学防治、精准施策的总要求，坚持全民动员、联防联控、公开透明，打响了一场抗击疫情的人民战争。|||Face à l’épidémie de COVID-19 qui est survenue avec une telle soudaineté, le gouvernement et le peuple chinois n’ont pas reculé devant les difficultés. Accordant dès le début la première priorité à la vie et à la santé du peuple, nous avons agi avec confiance et unité, et adopté une approche scientifique et des mesures ciblées. La nation tout entière a été mobilisée. Des mécanismes intégrés de contrôle et de traitement ont été mis en place et l’esprit d’ouverture et de transparence a guidé nos actions. C’est une guerre populaire qui a été lancée contre l’épidémie.
经过艰苦努力，付出巨大牺牲，目前中国国内疫情防控形势持续向好，生产生活秩序加快恢复，但我们仍然丝毫不能放松警惕。|||Avec des efforts opiniâtres et des sacrifices énormes, la situation en Chine continue de s’améliorer, et la vie et l’activité économique reviennent rapidement à la normale. Cela dit, aucun relâchement n’est permis.
在中方最困难的时候，国际社会许多成员给予中方真诚帮助和支持，我们会始终铭记并珍视这份友谊。|||Au moment le plus difficile dans notre lutte, un grand nombre de membres de la communauté internationale nous ont accordé leurs aide et soutien sincères. Ces témoignages d’amitié sont fort appréciés et resteront à jamais gravés dans nos cœurs.
重大传染性疾病是全人类的敌人。|||Les maladies infectieuses majeures sont un ennemi commun de toute l’humanité.
新冠肺炎疫情正在全球蔓延，给人民生命安全和身体健康带来巨大威胁，给全球公共卫生安全带来巨大挑战，形势令人担忧。|||L’épidémie de COVID-19 se propage dans le monde entier. C’est une menace grave pour la vie et la santé des populations et un défi énorme pour la santé publique mondiale. La situation est inquiétante.
当前，国际社会最需要的是坚定信心、齐心协力、团结应对，全面加强国际合作，凝聚起战胜疫情强大合力，携手赢得这场人类同重大传染性疾病的斗争。|||À l’heure actuelle, ce dont la communauté internationale a le plus besoin, c’est d’une confiance renforcée, d’efforts concertés et d’une réponse collective par un renforcement de la coopération internationale sur tous les plans et la création d’une forte synergie, de manière à gagner ce combat de l’homme contre une maladie infectieuse majeure.
在此，我愿提出以下4点倡议。|||À cet égard, je voudrais avancer quatre propositions :
第一，坚决打好新冠肺炎疫情防控全球阻击战。|||Premièrement, mener une lutte internationale déterminée contre l’épidémie de COVID-19.
国际社会应该加紧行动起来，坚决遏制疫情蔓延势头。|||La communauté internationale doit se mobiliser davantage pour freiner résolument la propagation du virus.
我愿在此提议，尽早召开二十国集团卫生部长会议，加强信息分享，开展药物、疫苗研发、防疫合作，有效防止疫情跨境传播。|||Je propose donc la tenue au plus tôt d’une réunion des ministres de la Santé du G20 pour renforcer le partage des informations, engager une coopération sur les médicaments, la mise au point des vaccins et le contrôle de l’épidémie, et endiguer efficacement la propagation transfrontalière de l’épidémie.
要携手帮助公共卫生体系薄弱的发展中国家提高应对能力。|||Nous devons travailler ensemble pour aider les pays en développement ayant un système de santé publique fragile à renforcer leurs capacités de réaction.
我建议发起二十国集团抗疫援助倡议，在世界卫生组织支持下加强信息沟通、政策协调、行动配合。|||Je propose de lancer une initiative du G20 sur l’aide à la lutte contre l’épidémie en vue d’un meilleur échange d’informations et d’une meilleure coordination de politiques et d’actions avec le soutien de l’Organisation mondiale de la Santé (OMS).
中方秉持人类命运共同体理念，愿同各国分享防控有益做法，开展药物和疫苗联合研发，并向出现疫情扩散的国家提供力所能及的援助。|||Portant la vision d’une communauté d’avenir partagé pour l’humanité, la Chine est prête à partager avec les autres pays ses bonnes pratiques, à mener des recherches et développements conjoints sur les médicaments et les vaccins et à fournir, autant que possible, des aides aux pays touchés par l’épidémie.
第二，有效开展国际联防联控。|||Deuxièmement, apporter une réponse collective et efficace en engageant des actions de contrôle et de traitement synergiques à l’échelle internationale.
病毒无国界。疫情是我们的共同敌人。|||Le virus ne connaît pas de frontières et l’épidémie est un ennemi commun pour nous tous.
各国必须携手拉起最严密的联防联控网络。|||Les pays doivent œuvrer main dans la main pour créer un réseau mondial de contrôle et de traitement de l’épidémie aussi puissant que possible.
中方已经建立新冠肺炎疫情防控网上知识中心，向所有国家开放。|||La Chine a mis en place un centre de connaissances en ligne sur la lutte contre le COVID-19 ouvert à tous les pays.
要集各国之力，共同合作加快药物、疫苗、检测等方面科研攻关，力争早日取得惠及全人类的突破性成果。|||Il faut que les différents pays conjuguent leurs efforts pour accélérer la recherche sur les médicaments, les vaccins et le dépistage afin de réaliser rapidement des percées au bénéfice de l’humanité tout entière.
要探讨建立区域公共卫生应急联络机制，提高突发公共卫生事件应急响应速度。|||Il convient d’envisager la création de mécanismes de liaison régionaux pour les urgences de santé publique en vue d’une réaction plus rapide en cas d’urgences sanitaires.
第三，积极支持国际组织发挥作用。|||Troisièmement, soutenir activement le rôle des organisations internationales.
中方支持世界卫生组织发挥领导作用，制定科学合理防控措施，尽力阻止疫情跨境传播。|||La Chine soutient le rôle leader de l’OMS dans l’élaboration d’approches de contrôle de l’épidémie scientifiques et raisonnables pour freiner, autant que possible, la propagation transfrontalière du virus.
我建议，二十国集团依托世界卫生组织加强疫情防控信息共享，推广全面系统有效的防控指南。|||Je propose aux membres du G20 de s’appuyer sur l’OMS pour renforcer le partage des informations sur la lutte contre l’épidémie et généraliser des guides de contrôle et de traitement complets, systématiques et efficaces.
要发挥二十国集团的沟通协调作用，加强政策对话和交流，适时举办全球公共卫生安全高级别会议。|||Il faut faire valoir le rôle de communication et de coordination du G20 pour intensifier le dialogue et les échanges sur les politiques et organiser en temps opportun une réunion de haut niveau sur la sécurité sanitaire mondiale.
