国家主席习近平发表二〇二二年新年贺词|||Allocution du Président Xi Jinping pour le Nouvel An 2022
大家好，2022年即将到来。|||Bonjour à tous. L’année 2022 va bientôt débuter.
我在北京向大家致以新年祝福！|||Je vous adresse depuis Beijing mes meilleurs vœux du Nouvel An.
回首这一年，意义非凡。|||L’année qui s’achève est d’une importance exceptionnelle.
我们亲历了党和国家历史上具有里程碑意义的大事。|||Nous avons vécu de grands événements qui ont marqué un jalon dans l’histoire du Parti et de l’État.
“两个一百年”奋斗目标历史交汇，我们开启了全面建设社会主义现代化国家新征程，正昂首阔步行进在实现中华民族伟大复兴的道路上。|||À la convergence historique des objectifs des deux centenaires, nous avons entamé une nouvelle marche vers la construction d’un pays socialiste moderne sur tous les plans et nous avançons désormais avec confiance sur le chemin vers le grand renouveau de la nation chinoise.
从年头到年尾，农田、企业、社区、学校、医院、军营、科研院所......|||Durant toute l’année, le peuple chinois a fait preuve d’une grande assiduité au travail, que ce soit dans les champs, les entreprises, les quartiers d’habitation, les écoles, les hôpitaux, les casernes ou les instituts de recherche.
大家忙了一整年，付出了，奉献了，也收获了。|||C’est pour nous une année d’effort, de contribution et de récolte.
在飞逝的时光里，我们看到的、感悟到的中国，是一个坚韧不拔、欣欣向荣的中国。|||À travers le temps qui court, nous avons vu et éprouvé une Chine résiliente et dynamique.
这里有可亲可敬的人民，有日新月异的发展，有赓续传承的事业。|||Une Chine avec un peuple adorable et admirable, un développement vigoureux et des progrès continus dans toutes ses œuvres.
七月一日，我们隆重庆祝中国共产党成立一百周年。|||Le 1er juillet dernier, nous avons célébré solennellement le 100e anniversaire de la fondation du Parti communiste chinois (PCC).
站在天安门城楼上感慨系之，历史征程风云激荡，中国共产党人带领亿万人民经千难而百折不挠、历万险而矢志不渝，成就了百年大党的恢宏气象。|||À la Porte Tian’anmen, chacun d’entre nous a été rempli de vives émotions en se rappelant le chemin extraordinaire qu’a parcouru notre grand Parti. Nous, communistes chinois, avons conduit les centaines de millions de Chinois à braver les multiples épreuves et défis avec une détermination inébranlable, et réalisé des accomplissements spectaculaires et épiques au cours des cent ans écoulés.
不忘初心，方得始终。|||Pour réussir notre mission, nous devons rester fidèles à notre engagement initial.
我们唯有踔厉奋发、笃行不怠，方能不负历史、不负时代、不负人民。|||Ce n’est qu’en poursuivant vigoureusement et résolument nos efforts que nous pouvons être à la hauteur de l’Histoire, de notre époque et des attentes de notre peuple.
党的十九届六中全会通过了党的第三个历史决议。|||Le 6e plénum du XIXe Comité central du PCC a adopté la troisième résolution du Parti sur les questions historiques.
百年成就使人振奋，百年经验给人启迪。|||Les accomplissements des cent ans écoulés nous encouragent et les expériences des cent ans écoulés nous inspirent.
