2021年中国外交：|||LA DIPLOMATIE CHINOISE EN 2021 :
秉持天下胸怀，践行为国为民|||EMBRASSER UNE VISION GLOBALE ET SERVIR LE PAYS ET LE PEUPLE
——在2021年国际形势与中国外交研讨会上的演讲|||Discours au Séminaire sur la situation internationale et les relations extérieures de Chine
国务委员兼外交部长 王毅|||M. Wang Yi, Conseiller d’État et Ministre des Affaires étrangères
（2021年12月20日，北京）|||Beijing, 20 décembre 2021
各位专家，|||Mesdames et Messieurs les spécialistes,
各位朋友：|||Chers Amis,
大家好！|||Bonjour.
很高兴与各位专家学者再次相聚，共同盘点今年的国际形势与中国外交。|||C’est un grand plaisir pour moi de vous retrouver pour faire ensemble le bilan de la situation internationale et de la diplomatie chinoise de cette année.
首先，我要对大家长期以来对外交工作的关心支持表示感谢，也真诚欢迎大家继续为中国外交提出真知灼见。|||Je voudrais tout d’abord exprimer ma gratitude pour l’intérêt et le soutien que vous avez toujours accordés à la diplomatie chinoise, avec le souhait de pouvoir continuer de bénéficier de vos précieux conseils.
纵观2021年世界形势，全球疫情跌宕蔓延，百年变局加速演进，世界进入动荡变革期。|||En 2021, la COVID-19 a continué de se propager dans le monde et les changements inédits depuis un siècle se sont accélérés. Le monde est entré dans une période de turbulences et de transformations.
面对前所未有的挑战，各国都在探索应对之道，人类需要作出正确抉择。|||Face aux défis sans précédent, tous les pays sont à la recherche de solutions, et l’humanité a besoin de faire le bon choix.
站在时代的十字路口，我们看到了两种截然不同的取向。一种是重拾冷战思维，挑动分裂对立，制造集团对抗。|||À la croisée des chemins de notre époque, nous avons vu deux tendances tout à fait différentes : Certains reprennent la mentalité de la Guerre froide, incitent à la division et à l’antagonisme et provoquent la confrontation des blocs.
而另一种则是从人类共同福祉出发，致力团结合作，倡导开放共赢，践行平等尊重。|||Les autres, gardant au cœur le bien-être de toute l’humanité, œuvrent à la solidarité et à la coopération, favorisent l’ouverture et le bénéfice pour tous et traduisent en actes l’esprit d’égalité et de respect.
两种取向、两大趋势的博弈和较量，必将深刻影响人类和地球的未来。|||La compétition entre ces deux tendances aura des impacts profonds sur l’avenir de l’humanité et de la planète.
中国，始终站在历史正确的一边，站在人类进步的一边，站在国际公平正义一边，站在广大发展中国家一边。|||La Chine se tient toujours du bon côté de l’Histoire, du côté du progrès de l’humanité, de l’équité et de la justice internationales, et du côté des nombreux pays en développement.
我们从党的百年奋斗历程中汲取经验智慧，在大潮流大格局大历史中把握前进方向。|||Nous avons su puiser des expériences et sagesses des cent ans de lutte de notre Parti et tenir le cap avec une grande vision de la tendance générale, de l’échiquier international et de l’Histoire.
坚持合作、不搞对抗；坚持开放、不搞封闭；坚持互利共赢、反对零和博弈；坚持平等相待、反对强权霸凌，同所有爱好和平的国家和人民一道，推动人类发展的车轮向着光明的前途迈进。|||Nous avons choisi la coopération et non la confrontation, l’ouverture et non le repli sur soi, les bénéfices partagés et non le jeu à somme nulle, et l’égalité et non l’intimidation ni la loi du plus fort, et travaillons avec tous les pays et peuples épris de paix pour que l’humanité se dirige vers un avenir plus radieux.
盘点2021年中国外交，我们在以习近平同志为核心的党中央坚强领导下，秉持天下胸怀，践行为国为民，在全球变局中开创新局，在世界乱局中化危为机，在斗争与合作中勇毅前行。|||En 2021, sous la ferme direction du Comité central du Parti communiste chinois (PCC) rassemblé autour du Camarade Xi Jinping, la diplomatie chinoise, en embrassant une vision globale et en servant le pays et le peuple, a ouvert de nouvelles perspectives face aux changements dans le monde, transformé les crises en opportunités sur fond de bouleversements mondiaux et avancé vaillamment dans la lutte et la coopération.
