习近平同俄罗斯总统普京举行视频会晤|||Le Président Xi Jinping s’est entretenu en visioconférence avec le Président russe Vladimir Poutine
国家主席习近平12月15日下午在北京同俄罗斯总统普京举行视频会晤。|||Dans l’après-midi du 15 décembre 2021, le Président Xi Jinping s’est entretenu en visioconférence à Beijing avec le Président russe Vladimir Poutine.
习近平指出，很高兴在岁末之际同你举行今年第二次视频会晤，这也是2013年以来我们的第三十七次会晤。|||Le Président Xi Jinping s’est dit heureux d’avoir en fin d’année le deuxième entretien en visioconférence en 2021 avec le Président Poutine, qui est aussi leur 37e entretien depuis 2013.
你在多个场合称赞中俄关系是“21世纪国家间协作的典范”，坚定支持中方捍卫本国核心利益，反对离间中俄的企图。我对此高度赞赏，愿同你一道，全面总结今年双边关系发展新成果，对各领域合作作出新规划，推动两国关系持续高质量发展。|||Rappelant que le Président Poutine a qualifié à plusieurs occasions les relations sino-russes de modèle de la coordination entre pays au 21e siècle, soutenu fermement les efforts de la Chine visant à défendre ses intérêts vitaux et rejeté les tentatives de semer la discorde entre la Chine et la Russie, il a exprimé sa haute appréciation et s’est dit prêt à travailler avec le Président Poutine pour faire un bilan global des nouveaux acquis obtenus cette année dans le développement des relations sino-russes, planifier la coopération bilatérale dans différents domaines et promouvoir un développement soutenu et de haute qualité des relations entre les deux pays.
习近平强调，当前，世界百年变局和世纪疫情交织影响，世界进入动荡变革期。|||Le Président Xi Jinping a souligné que le monde traversait aujourd’hui des changements et une épidémie inédits depuis un siècle et était entré dans une période de turbulences et de transformations.
中俄关系经受住各种风浪考验，展示出新的生机活力。|||Les relations sino-russes, a-t-il dit, ont résisté à toutes sortes d’épreuves et affichent une nouvelle vitalité.
我同总统先生通过多种方式就重大议题保持沟通和协调，共同为中俄关系把舵领航。|||Il a rappelé qu’il avait entretenu la communication et la coordination sous différentes formes avec le Président Poutine sur les grands sujets pour tenir ensemble le cap des relations sino-russes.
双方正式宣布《中俄睦邻友好合作条约》延期并赋予其新的时代内涵，在涉及彼此核心利益问题上坚定相互支持，捍卫了各自国家尊严和两国共同利益。|||Les deux pays, a-t-il poursuivi, ont annoncé officiellement la reconduction du Traité de bon voisinage et de coopération d’amitié sino-russe en l’enrichissant avec de nouvelles dimensions de l’ère nouvelle, et se sont prêté mutuellement un soutien ferme sur les questions touchant aux intérêts vitaux de part et d’autre, ce qui leur a permis de défendre la dignité nationale et les intérêts communs.
习近平指出，中俄全方位务实合作展现出巨大政治优势和机遇优势。|||Le Président Xi Jinping a indiqué que la coopération pragmatique sur tous les plans entre la Chine et la Russie présentait d’énormes atouts politiques et offrait des opportunités considérables :
双边贸易额在前三个季度首次突破千亿美元大关，全年有望再创新高。中俄科技创新年圆满闭幕，一系列战略性大项目顺利实施，共建“一带一路”同欧亚经济联盟对接顺利推进。|||Le volume des échanges commerciaux bilatéraux a dépassé pour la première fois les 100 milliards de dollars américains pour les trois premiers trimestres de l’année 2021 et pourrait atteindre un nouveau record sur l’ensemble de l’année ; L’Année sino-russe de l’innovation scientifique et technologique s’est clôturée avec un grand succès ; Une série de grands projets d’importance stratégique ont été mis en œuvre dans d’heureuses conditions ; Des progrès se poursuivent dans la synergie entre l’Initiative « la Ceinture et la Route » et l’Union économique eurasiatique.
两国积极展现大国担当，团结国际社会抗击疫情，阐述民主和人权的正确内涵，成为践行真正的多边主义、维护国际公平正义的中流砥柱。|||Les deux pays, a-t-il affirmé, ont assumé activement leurs responsabilités de grands pays, favorisé une réponse solidaire internationale à la COVID-19, présenté le vrai sens de la démocratie et des droits de l’homme, et sont devenus piliers dans la concrétisation du véritable multilatéralisme et la préservation de l’équité et de la justice internationales.
习近平指出，明年，中国共产党将召开二十大，俄罗斯将进入落实《2030年前国家发展目标》的关键时期。|||Le Président Xi Jinping a souligné qu’en 2022, le Parti communiste chinois (PCC) tiendrait son XXe Congrès et la Russie entrerait dans une phase cruciale de la mise en œuvre des Objectifs de développement national à l’horizon 2030.
双方应该坚持互予共享开放机遇，坚持推动全球发展议程，为建设新型国际关系、构建人类命运共同体发挥作用。|||Il a invité les deux parties à partager les opportunités dans l’ouverture, à promouvoir l’agenda mondial de développement et à jouer leur rôle dans l’instauration d’un nouveau type de relations internationales et la construction d’une communauté d’avenir partagé pour l’humanité.
习近平强调，再过一个多月，你即将访华并出席北京冬奥会开幕式，以实际行动展示对中方办会的支持。|||Le Président Xi Jinping a souligné que dans moins de deux mois, le Président Poutine viendrait en visite en Chine et assisterait à la cérémonie d’ouverture des Jeux Olympiques d’hiver de Beijing, affichant par là son soutien concret à la Chine dans l’organisation de cet événement.
北京即将成为世界上首个既举办过夏季奥运会、又举办过冬季奥运会的城市。|||Beijing deviendra, a-t-il dit, la première ville au monde à avoir accueilli les Jeux Olympiques d’été et les Jeux Olympiques d’hiver.
目前，我们正按照“简约、安全、精彩”的原则全力筹备，各项工作已经基本就绪。|||Il a indiqué que la Chine était pleinement mobilisée pour organiser une édition simplifiée, sûre et splendide des Jeux Olympiques d’hiver, et que les préparatifs étaient presque tous accomplis.
我们将实现奥运互访，明后两年中俄还将举办中俄体育交流年。要以此为契机，让体育交流成为增进两国人民相互了解和友谊的桥梁和纽带。|||Il a invité les deux parties à saisir les opportunités offertes par les visites croisées des deux Présidents à l’occasion des Jeux Olympiques et les Années croisées du sport Chine-Russie dans les deux prochaines années pour faire de leurs échanges sportifs un pont et un trait d’union permettant de renforcer la connaissance mutuelle et l’amitié entre les deux peuples.
你这次访华也将是我们近两年来首次线下会晤。我期待同你届时就双边关系、重大国际和地区问题进行深入交流，相信我们将达成更多新的重要共识。|||Affirmant que la prochaine visite du Président Poutine sera leur première rencontre face à face depuis près de deux ans, il a exprimé son souhait d’avoir des échanges de vues approfondis sur les relations bilatérales et les grandes questions internationales et régionales, et d’obtenir davantage de nouveaux consensus importants.
