政府工作报告|||RAPPORT D’ACTIVITÉ DU GOUVERNEMENT
——2020年5月22日在第十三届全国人民代表大会第三次会议上|||Présenté le 22 mai 2020 à la troisième session de la XIIIe Assemblée populaire nationale
国务院总理　李克强|||Li Keqiang Premier ministre du Conseil des affaires d’État
各位代表：|||Mesdames et Messieurs les députés,
现在，我代表国务院，向大会报告政府工作，请予审议，并请全国政协委员提出意见。|||Au nom du Conseil des affaires d’État, j’ai l’honneur de soumettre à l’examen de la présente session de l’Assemblée le rapport d’activité du gouvernement. J’invite par la même occasion les membres du Comité national de la Conférence consultative politique du peuple chinois (CCPPC), qui assistent aux travaux de la présente session, à nous faire part de leurs remarques sur ce rapport.
这次新冠肺炎疫情，是新中国成立以来我国遭遇的传播速度最快、感染范围最广、防控难度最大的重大突发公共卫生事件。|||Que ce soit par la vitesse de propagation, l’étendue de la contamination ou la difficulté du contrôle, le COVID-19 est la plus sérieuse urgence majeure de santé publique que la Chine nouvelle ait jamais connue depuis sa fondation.
在以习近平同志为核心的党中央坚强领导下，经过全国上下和广大人民群众艰苦卓绝努力并付出牺牲，疫情防控取得重大战略成果。|||Sous la ferme direction du Comité central du Parti rassemblé autour du camarade Xi Jinping, et grâce aux efforts ardus et aux sacrifices de tout le pays et de tous les Chinois, le contrôle et le traitement du COVID-19 ont enregistré des résultats stratégiques majeurs.
当前，疫情尚未结束，发展任务异常艰巨。|||Cependant, à cette heure, l’épidémie n’est toujours pas terminée, et les tâches de développement que nous avons à accomplir sont extrêmement lourdes.
要努力把疫情造成的损失降到最低，努力完成今年经济社会发展目标任务。|||Nous œuvrerons à limiter le plus possible les dommages causés par le COVID-19 tout en ne ménageant aucun effort pour réaliser les objectifs de développement économique et social de l’année.
一、2019年和今年以来工作回顾|||BILAN DU TRAVAIL ACCOMPLI DEPUIS 2019
去年，我国发展面临诸多困难挑战。世界经济增长低迷，国际经贸摩擦加剧，国内经济下行压力加大。|||En 2019, le développement de notre pays a été confronté à de multiples difficultés et défis : le marasme de l’économie mondiale, l’aggravation des frictions économiques et commerciales internationales, l’accentuation des pressions à la baisse sur l’économie chinoise.
以习近平同志为核心的党中央团结带领全国各族人民攻坚克难，完成全年主要目标任务，为全面建成小康社会打下决定性基础。|||Cependant, sous la direction du Comité central du Parti rassemblé autour du camarade Xi Jinping, notre peuple multiethnique est resté étroitement uni, parvenant à remplir les principaux objectifs de l’année malgré les difficultés de toutes sortes, ce qui nous a permis de jeter la base décisive pour le parachèvement de l’édification intégrale de la société de moyenne aisance.
——经济运行总体平稳。|||— L’économie a progressé à un rythme régulier.
国内生产总值达到99.1万亿元，增长6.1%。城镇新增就业1352万人，调查失业率在5.3%以下。|||Le PIB a connu une croissance de 6,1 % pour atteindre 99 100 milliards de yuans. 13,52 millions d’emplois ont été créés dans les agglomérations urbaines, tandis que le taux de chômage au sens du recensement de la population a été inférieur à 5,3 %.
居民消费价格上涨2.9%。|||La hausse des prix à la consommation des ménages a été de 2,9 %.
国际收支基本平衡。|||L’équilibre global de la balance des paiements internationaux a été maintenu.
——经济结构和区域布局继续优化。|||— L’optimisation de la structure et de la répartition géographique de l’économie s’est poursuivie.
社会消费品零售总额超过40万亿元，消费持续发挥主要拉动作用。|||Le volume global des ventes au détail des produits de consommation a dépassé 40 000 milliards de yuans, et la consommation a continué à jouer son rôle d’entraînement principal dans la croissance économique.
先进制造业、现代服务业较快增长。|||L’industrie manufacturière de pointe et le secteur des services modernes ont connu un développement relativement rapide.
粮食产量1.33万亿斤。|||La production céréalière s’est chiffrée à 665 millions de tonnes.
