共同构建地球生命共同体|||BÂTIR ENSEMBLE UNE COMMUNAUTÉ DE TOUTES LES VIES SUR LA TERRE
——在《生物多样性公约》第十五次缔约方大会领导人峰会上的主旨讲话|||Discours au Sommet des dirigeants de la quinzième réunion de la Conférence des Parties à la Convention sur la diversité biologique
（2021年10月12日）|||12 octobre 2021
中华人民共和国主席 习近平|||Monsieur Xi Jinping, Président de la République populaire de Chine
尊敬的各位同事，|||Chers Collègues,
女士们，先生们，|||Mesdames et Messieurs,
朋友们：|||Chers Amis,
大家好！|||Bonjour à toutes et tous.
很高兴同大家以视频方式相聚昆明，共同出席《生物多样性公约》第十五次缔约方大会。|||C’est pour moi un grand plaisir de me retrouver parmi vous par vidéo à Kunming et de participer à la quinzième réunion de la Conférence des Parties à la Convention sur la diversité biologique (COP15).
我谨代表中国政府和中国人民，并以我个人的名义，对各位嘉宾表示热烈的欢迎！|||Au nom du gouvernement et du peuple chinois et en mon nom personnel, je tiens à souhaiter une chaleureuse bienvenue à tous les invités.
“万物各得其和以生，各得其养以成。”|||Comme dit un adage chinois : « C’est dans l’harmonie que vivent tous les êtres.
生物多样性使地球充满生机，也是人类生存和发展的基础。|||C’est grâce à la générosité de la nature qu’ils prospèrent. » La biodiversité fait la vitalité de notre planète Terre et est la base pour la survie et le développement de l’homme.
保护生物多样性有助于维护地球家园，促进人类可持续发展。|||Sa conservation aide à protéger la Terre, notre foyer commun, et à promouvoir le développement durable de l’humanité.
昆明大会以“生态文明：共建地球生命共同体”为主题，推动制定“2020年后全球生物多样性框架”，为未来全球生物多样性保护设定目标、明确路径，具有重要意义。|||La COP15 de Kunming, placée sous le thème « Civilisation écologique, bâtir un avenir partagé pour toutes les vies sur la Terre », revêt une importance majeure. C’est l’occasion de conclure le cadre mondial de la biodiversité pour l’après-2020 et de fixer les objectifs et les orientations à suivre dans l’avenir pour la conservation de la biodiversité dans le monde.
国际社会要加强合作，心往一处想、劲往一处使，共建地球生命共同体。|||La communauté internationale doit renforcer la coopération, consolider le consensus et unir les efforts afin de bâtir une communauté de toutes les vies sur la Terre.
人与自然应和谐共生。|||L’homme et la nature doivent coexister dans l’harmonie.
当人类友好保护自然时，自然的回报是慷慨的；当人类粗暴掠夺自然时，自然的惩罚也是无情的。|||La nature est généreuse quand l’homme la protège. Elle le punit sans merci si l’homme l’exploite sans retenue.
我们要深怀对自然的敬畏之心，尊重自然、顺应自然、保护自然，构建人与自然和谐共生的地球家园。|||Nous devons avoir toujours à cœur un sentiment de révérence pour la nature, la respecter, suivre ses lois et la protéger pour construire une planète Terre où l’homme et la nature coexistent en harmonie.
绿水青山就是金山银山。|||La nature vaut son pesant d’or.
良好生态环境既是自然财富，也是经济财富，关系经济社会发展潜力和后劲。|||Un environnement bien protégé est non seulement une richesse naturelle, mais aussi une richesse économique, qui met en jeu le potentiel et la dynamique du développement économique et social.
