彻底消除种族主义，建设人人平等的世界|||ÉLIMINER DÉFINITIVEMENT LE RACISME ET BÂTIR UN MONDE MARQUÉ PAR L’ÉGALITÉ DE TOUS
——在联大纪念《德班宣言和行动纲领》通过20周年高级别会议上的讲话|||Intervention à la Réunion de haut niveau consacrée à la commémoration du 20e anniversaire de l’adoption de la Déclaration et du Programme d’action de Durban
中华人民共和国国务委员兼外交部长 王毅|||M. Wang Yi, Conseiller d’État et Ministre des Affaires étrangères de la République populaire de Chine
（2021年9月22日）|||22 septembre 2021
主席先生：|||Monsieur le Président,
消除一切形式的种族主义，让人人平等享有尊严和权利，这是联合国宪章的精神，也是国际公平正义的体现。|||Éliminer le racisme sous toutes ses formes et assurer à tous la jouissance égale de la dignité et des droits, tel est l’esprit de la Charte des Nations Unies et une illustration de l’équité et de la justice internationales.
《德班宣言和行动纲领》是世界反种族主义的旗帜，也是各国的共同承诺。|||La Déclaration et le Programme d’action de Durban (DDPA) portent l’étendard de la lutte contre le racisme dans le monde et incarnent les engagements communs de tous les pays.
在这份纲领性文件通过20周年之际，联大举行纪念会议，十分及时和重要。|||À l’occasion du 20e anniversaire de l’adoption de ce document d’orientation, l’Assemblée générale a lancé l’initiative pertinente et importante d’organiser cette réunion de commémoration.
中国表示热烈欢迎和坚定支持。|||La Chine le salue chaleureusement et y apporte son soutien ferme.
奴隶贸易、殖民主义是种族主义的主要根源。|||La traite des esclaves et le colonialisme constituent une principale source du racisme.
非洲裔和亚洲裔人民以及土著人，当年是这些行径的受害者，现在仍然是其后果的承担者。|||Les personnes d’ascendance africaine, de même que les personnes d’ascendance asiatique et les peuples autochtones ont été victimes de ces actes et continuent d’en subir les conséquences.
有关国家至少要有勇气正视这段不光彩的历史，采取措施消除这些行径造成的苦难，更有责任带头抵制一切形式的种族主义。|||Les pays concernés doivent au moins avoir le courage de regarder en face cette sombre histoire et prendre des mesures pour mettre fin aux souffrances causées par ces actes. Ils ont aussi et surtout la responsabilité de donner l’exemple en rejetant toute forme de racisme.
中国敦促各国秉持“零容忍”态度，建立健全打击种族主义的法律框架，全面认真执行联大、人权理事会相关决议，特别是切实解决系统性种族主义和执法暴力问题，禁止煽动种族仇恨，杜绝有罪不罚现象。|||La Chine exhorte tous les pays à faire preuve de tolérance zéro, à créer et perfectionner le cadre juridique contre le racisme, à appliquer intégralement et scrupuleusement les résolutions pertinentes de l’Assemblée générale et du Conseil des droits de l’homme des Nations Unies, en particulier à régler effectivement les questions du racisme systémique et des violences liées à l’application de la loi, à interdire l’incitation à la haine raciale et à mettre fin à l’impunité.
中国主张加强不同种族、不同文化的对话交流，摒弃基于种族、肤色、语言的傲慢和偏见，培育尊重、包容和平等的文化，努力打造免于歧视的社会环境。|||La Chine est d’avis qu’il faut renforcer les dialogues et les échanges entre différentes ethnies et cultures, rejeter l’arrogance et les préjugés fondés sur la race, la couleur et la langue, développer une culture du respect, de la tolérance et de l’égalité, et œuvrer à créer un environnement social exempt de discrimination.
政治人物和媒体尤其要担负起特殊责任。|||Les hommes politiques et les médias ont notamment une responsabilité particulière à assumer.
中国呼吁确保人人享有发展的权利，铲除贫困、边缘化、社会排斥和经济差距等种族主义产生的土壤，打破社会不公与种族主义相互加剧的恶性循环。|||La Chine appelle à assurer à tous le droit au développement, à éradiquer le terreau du racisme que sont la pauvreté, la marginalisation, l’exclusion sociale et les disparités économiques et à en finir avec le cercle vicieux où l’injustice sociale et le racisme se renforcent mutuellement.
为此，要加快落实联合国2030年可持续发展议程，不要让一个国家一个人掉队。|||Pour ce faire, il faut accélérer la mise en œuvre du Programme de développement durable à l’horizon 2030 des Nations Unies et travailler pour qu’aucun pays ni aucun individu ne soit laissé pour compte.
中国是《德班宣言和行动纲领》的支持者，也将继续做践行者，与各国一道，为彻底消除种族主义、建设人人平等的世界不懈努力。|||La Chine soutient la DDPA et poursuivra ses efforts pour sa mise en œuvre. Elle déploiera des efforts inlassables avec les autres pays du monde pour éradiquer définitivement le racisme et bâtir un monde marqué par l’égalité de tous.
谢谢。|||Je vous remercie.
