坚定信心 共克时艰 共建更加美好的世界|||RAFFERMIR LA CONFIANCE ET AFFRONTER ENSEMBLE LES ÉPREUVES POUR BÂTIR UN MONDE MEILLEUR
——在第七十六届联合国大会一般性辩论上的讲话|||— Discours au débat général de la 76e session de l’Assemblée générale des Nations Unies
（2021年9月21日）|||21 septembre 2021
中华人民共和国主席　习近平|||M. Xi Jinping, Président de la République populaire de Chine
主席先生：|||Monsieur le Président,
2021年对中国人民是一个极其特殊的年份。|||L’année 2021 est une année tout à fait exceptionnelle pour le peuple chinois.
今年是中国共产党成立100周年。|||Elle marque le centenaire de la fondation du Parti communiste chinois.
今年也是中华人民共和国恢复在联合国合法席位50周年，中国将隆重纪念这一历史性事件。|||Elle marque également le cinquantenaire du rétablissement de la République populaire de Chine dans son siège légitime aux Nations Unies, un événement historique qui sera solennellement commémoré en Chine.
我们将继续积极推动中国同联合国合作迈向新台阶，为联合国崇高事业不断作出新的更大贡献。|||Nous continuerons de travailler activement pour porter notre coopération avec l’ONU à un niveau plus élevé et apporter une contribution toujours plus grande à la noble cause des Nations Unies.
主席先生！|||Monsieur le Président,
一年前，各国领导人共同出席了联合国成立75周年系列峰会，发表了政治宣言，承诺合作抗击疫情，携手应对挑战，坚持多边主义，加强联合国作用，构建今世后代的共同未来。|||Il y a un an, lors des réunions de haut niveau consacrées au 75e anniversaire des Nations Unies, les dirigeants des différents pays du monde ont publié une déclaration, s’engageant à lutter dans la solidarité contre la COVID-19, à relever ensemble les défis, à défendre le multilatéralisme, à renforcer le rôle de l’ONU et à bâtir un avenir commun pour les générations actuelles et futures.
一年来，世界百年未有之大变局和新冠肺炎疫情全球大流行交织影响。|||Depuis un an, le monde a fait face à des changements et à une pandémie jamais connus depuis un siècle.
各国人民对和平发展的期盼更加殷切，对公平正义的呼声更加强烈，对合作共赢的追求更加坚定。|||Dans tous les pays du monde, les peuples aspirent plus que jamais à la paix et au développement, avec un appel plus fort à l’équité et à la justice et une détermination plus ferme à poursuivre la coopération gagnant-gagnant.
当前，疫情仍在全球肆虐，人类社会已被深刻改变。|||Actuellement, la COVID-19 continue de sévir dans le monde et la société humaine a profondément changé.
世界进入新的动荡变革期。|||Notre monde est entré dans une période de turbulences et de transformations nouvelles.
每一个负责任的政治家都必须以信心、勇气、担当，回答时代课题，作出历史抉择。|||Tout homme politique responsable doit répondre aux questions de notre époque et faire un choix historique avec confiance, courage et sens de l’engagement.
第一，我们必须战胜疫情，赢得这场事关人类前途命运的重大斗争。|||Premièrement, nous devons vaincre la COVID-19 et gagner ce grand combat, crucial pour l’avenir de l’humanité.
一部世界文明史也是同瘟疫斗争的历史，人类总是在不断战胜挑战中实现更大发展和进步。|||L’histoire de la civilisation humaine est aussi une histoire de lutte contre les pandémies. C’était toujours en surmontant les défis que l’humanité a réalisé un développement et des progrès plus grands.
这次疫情虽然来势凶猛，我们终将战而胜之。|||Malgré la férocité de la COVID-19, nous finirons par en triompher.
我们要坚持人民至上、生命至上，呵护每个人的生命、价值、尊严。|||Nous devons placer le peuple et la vie humaine au-dessus de tout et protéger la vie, la valeur et la dignité de chacun.
要弘扬科学精神、秉持科学态度、遵循科学规律，统筹常态化精准防控和应急处置，统筹疫情防控和经济社会发展。|||Nous devons travailler dans le respect de la science, adopter une attitude scientifique et suivre les lois scientifiques. Nous devons à la fois bien appliquer les mesures sanitaires régulières et assurer la gestion des urgences, et faire progresser en même temps la lutte sanitaire et le développement économique et social.
要加强国际联防联控，最大限度降低疫情跨境传播风险。|||Il est nécessaire de renforcer la réponse coordonnée au niveau international pour réduire autant que possible les risques de transmission transfrontalière.
疫苗是战胜疫情的利器。|||Les vaccins sont une arme puissante contre le virus.
我多次强调，要把疫苗作为全球公共产品，确保发展中国家的可及性和可负担性，当务之急是要在全球范围内公平合理分配疫苗。|||J’ai souligné à plusieurs occasions la nécessité de faire des vaccins un bien public mondial et d’en assurer l’accessibilité et l’abordabilité pour les pays en développement. L’urgence, c’est d’assurer une distribution juste et équitable des vaccins à l’échelle mondiale.
中国将努力全年对外提供20亿剂疫苗，在向“新冠疫苗实施计划”捐赠1亿美元基础上，年内再向发展中国家无偿捐赠1亿剂疫苗。|||Cette année, la Chine s’efforcera de fournir au total deux milliards de doses au monde. En plus du don de 100 millions de dollars américains fait à la Facilité COVAX, elle fera don de 100 millions de doses supplémentaires aux autres pays en développement cette année.
中国将继续支持和参与全球科学溯源，坚决反对任何形式的政治操弄。|||La Chine continuera d’apporter son soutien et de participer au travail d’identification scientifique des origines du virus dans le monde, et elle s’oppose fermement à toute forme de manipulation politique de cette question.
第二，我们必须复苏经济，推动实现更加强劲、绿色、健康的全球发展。|||Deuxièmement, nous devons relancer l’économie et promouvoir un développement mondial plus fort, plus vert et plus sain.
发展是实现人民幸福的关键。|||Le développement est crucial pour le bonheur du peuple.
面对疫情带来的严重冲击，我们要共同推动全球发展迈向平衡协调包容新阶段。|||Face aux graves impacts de la COVID-19, nous devons œuvrer ensemble à orienter le développement mondial vers une nouvelle phase de croissance équilibrée, coordonnée et inclusive.
在此，我愿提出全球发展倡议：|||À cette occasion, je voudrais proposer une Initiative pour le Développement Mondial :
——坚持发展优先。|||— Il faut accorder la priorité au développement.
将发展置于全球宏观政策框架的突出位置，加强主要经济体政策协调，保持连续性、稳定性、可持续性，构建更加平等均衡的全球发展伙伴关系，推动多边发展合作进程协同增效，加快落实联合国2030年可持续发展议程。|||Nous devons accorder une place prioritaire au développement dans le cadre macropolitique mondial et renforcer la coordination des politiques entre les principales économies du monde, pour assurer la continuité, la stabilité et la soutenabilité des politiques. Nous devons bâtir des partenariats mondiaux pour le développement marqué par plus d’égalité et d’équilibre, promouvoir la synergie entre les différents processus de coopération multilatérale pour le développement, et accélérer la mise en œuvre du Programme de développement durable à l’horizon 2030 des Nations Unies.
——坚持以人民为中心。|||— Il faut placer le peuple au cœur de nos préoccupations.
在发展中保障和改善民生，保护和促进人权，做到发展为了人民、发展依靠人民、发展成果由人民共享，不断增强民众的幸福感、获得感、安全感，实现人的全面发展。|||Nous devons garantir et améliorer le bien-être de la population et protéger et promouvoir les droits de l’homme à travers le développement, et œuvrer à un développement pour le peuple, par le peuple et au profit du peuple, de manière à renforcer son sentiment de bonheur, de satisfaction et de sécurité et à réaliser le plein épanouissement de l’homme.
——坚持普惠包容。|||— Il faut œuvrer au bénéfice pour tous.
关注发展中国家特殊需求，通过缓债、发展援助等方式支持发展中国家尤其是困难特别大的脆弱国家，着力解决国家间和各国内部发展不平衡、不充分问题。|||Nous devons porter une grande attention aux besoins particuliers des pays en développement, soutenir les pays en développement, notamment ceux qui sont fragiles et en grandes difficultés, par la suspension de la dette, l’aide au développement et d’autres moyens, et veiller à régler le problème du développement déséquilibré et insuffisant dans les différents pays et entre eux.
——坚持创新驱动。|||— Il faut promouvoir le développement par l’innovation.
抓住新一轮科技革命和产业变革的历史性机遇，加速科技成果向现实生产力转化，打造开放、公平、公正、非歧视的科技发展环境，挖掘疫后经济增长新动能，携手实现跨越发展。|||Nous devons saisir les opportunités historiques offertes par la nouvelle révolution scientifique et industrielle pour accélérer la conversion des acquis scientifiques et technologiques en forces productives réelles, créer un environnement ouvert, impartial, équitable et non discriminatoire pour le développement des sciences et technologies, explorer de nouveaux moteurs de croissance économique pour l’après-COVID-19, et réaliser main dans la main un développement rapide et vigoureux.
——坚持人与自然和谐共生。|||— Il faut veiller à la coexistence harmonieuse entre l’homme et la nature.
完善全球环境治理，积极应对气候变化，构建人与自然生命共同体。|||Nous devons améliorer la gouvernance environnementale mondiale, lutter activement contre le changement climatique, et construire un avenir partagé pour l’homme et la nature.
加快绿色低碳转型，实现绿色复苏发展。|||Il faut accélérer la transition verte et réaliser une reprise et un développement verts.
中国将力争2030年前实现碳达峰、2060年前实现碳中和，这需要付出艰苦努力，但我们会全力以赴。|||La Chine s’efforcera d’atteindre le pic des émissions de CO2 avant 2030 et de réaliser la neutralité carbone avant 2060. Ces objectifs nécessitent des efforts ardus, et la Chine y consacrera toutes ses forces.
中国将大力支持发展中国家能源绿色低碳发展，不再新建境外煤电项目。|||La Chine soutiendra vigoureusement le développement des énergies vertes et bas carbone des pays en développement. Elle ne construira plus de nouveaux projets de centrales à charbon à l’étranger.
——坚持行动导向。|||—Il faut adopter des actions concrètes.
加大发展资源投入，重点推进减贫、粮食安全、抗疫和疫苗、发展筹资、气候变化和绿色发展、工业化、数字经济、互联互通等领域合作，加快落实联合国2030年可持续发展议程，构建全球发展命运共同体。|||Nous devons accroître les investissements dans le développement, promouvoir en priorité la coopération sur la réduction de la pauvreté, la sécurité alimentaire, la riposte sanitaire et les vaccins, le financement du développement, le changement climatique et le développement vert, l’industrialisation, l’économie numérique, l’interconnexion et dans d’autres domaines. Il faut accélérer la mise en œuvre du Programme de développement durable à l’horizon 2030 et construire une communauté d’avenir partagé pour le développement mondial.
中国已宣布未来3年内再提供30亿美元国际援助，用于支持发展中国家抗疫和恢复经济社会发展。|||La Chine a annoncé l’octroi dans les trois ans à venir des aides supplémentaires de trois milliards de dollars américains pour épauler les autres pays en développement dans la lutte contre la COVID-19 et la reprise du développement économique et social.
第三，我们必须加强团结，践行相互尊重、合作共赢的国际关系理念。|||Troisièmement, nous devons renforcer la solidarité et mettre en pratique le concept des relations internationales marquées par le respect mutuel et la coopération gagnant-gagnant.
一个和平发展的世界应该承载不同形态的文明，必须兼容走向现代化的多样道路。|||Un monde de paix et de développement, c’est un monde où coexistent des civilisations aux formes variées et des voies différentes vers la modernisation.
民主不是哪个国家的专利，而是各国人民的权利。|||La démocratie n’est pas la propriété exclusive d’un pays quelconque, mais un droit de tous les peuples.
近期国际形势的发展再次证明，外部军事干涉和所谓的民主改造贻害无穷。|||L’évolution récente de la situation internationale prouve une fois de plus que l’intervention militaire extérieure et la prétendue transformation démocratique ne conduisent qu’à des conséquences désastreuses.
我们要大力弘扬和平、发展、公平、正义、民主、自由的全人类共同价值，摒弃小圈子和零和博弈。|||Nous devons travailler énergiquement pour faire rayonner les valeurs communes de l’humanité que sont la paix, le développement, l’équité, la justice, la démocratie et la liberté, et rejeter les mentalités des blocs exclusifs et du jeu à somme nulle.
国与国难免存在分歧和矛盾，但要在平等和相互尊重基础上开展对话合作。|||Les différences et les problèmes, difficiles à éviter, doivent être traités par voie de dialogue et de coopération sur la base de l’égalité et du respect mutuel.
一国的成功并不意味着另一国必然失败，这个世界完全容得下各国共同成长和进步。|||Le succès d’un pays ne signifie pas forcément l’échec d’un autre, et notre monde est suffisamment grand pour permettre à tous les pays de se développer et réaliser la prospérité.
我们要坚持对话而不对抗、包容而不排他，构建相互尊重、公平正义、合作共赢的新型国际关系，扩大利益汇合点，画出最大同心圆。|||Nous devons préconiser le dialogue et l’inclusion, et rejeter la confrontation et l’exclusion, construire un nouveau type de relations internationales caractérisées par le respect mutuel, l’équité, la justice et la coopération gagnant-gagnant, élargir les convergences d’intérêts, et trouver le terrain d’entente le plus grand possible.
中华民族传承和追求的是和平和睦和谐理念。|||La nation chinoise transmet et poursuit les concepts de paix, de bonne entente et d’harmonie.
我们过去没有，今后也不会侵略、欺负他人，不会称王称霸。|||Jamais la Chine n’a envahi ou opprimé les autres nations ni n’a prétendu à l’hégémonie, et elle ne le fera jamais.
中国始终是世界和平的建设者、全球发展的贡献者、国际秩序的维护者、公共产品的提供者，将继续以中国的新发展为世界提供新机遇。|||Elle est depuis toujours un bâtisseur de la paix mondiale, un contributeur au développement dans le monde, un défenseur de l’ordre international et un fournisseur de biens publics. Elle continuera d’offrir de nouvelles opportunités au monde par son développement.
第四，我们必须完善全球治理，践行真正的多边主义。|||Quatrièmement, nous devons améliorer la gouvernance mondiale et pratiquer le véritable multilatéralisme.
