坚持多边主义，谋求共同安全|||PRÉSERVER LE MULTILATÉRALISME ET RECHERCHER LA SÉCURITÉ COLLECTIVE
——王毅国务委员兼外长|||Monsieur Wang Yi, Conseiller d’État et Ministre des Affaires étrangères
在日内瓦裁军谈判会议上的视频讲话|||Allocution à la Conférence du Désarmement
（2021年6月11日）|||11 juin 2021
尊敬的艾赫特大使，|||Excellence Monsieur l’Ambassadeur Salomon Eheth,
瓦罗瓦娅秘书长，|||Excellence Madame la Secrétaire générale Tatiana Valovaya,
各位代表，|||Mesdames et Messieurs les Représentants,
女士们、先生们：|||Mesdames et Messieurs,
日内瓦裁谈会承载了人类铸剑为犁、和平发展的共同期盼，在国际军控与裁军的历史进程中发挥了重要作用，也为维护国际和平与安全作出了历史性贡献。|||La Conférence du Désarmement porte notre aspiration commune à forger des hoyaux de nos glaives et à réaliser la paix et le développement. Elle a joué un rôle important dans le processus historique de contrôle des armements et de désarmement au niveau international et a apporté une contribution historique à la préservation de la paix et de la sécurité dans le monde.
值此百年变局和世纪疫情之际，裁谈会应当直面当前国际安全形势出现的深刻复杂变化，发出坚定维护全球战略稳定，坚定促进国际军控进程，坚定捍卫多边主义的明确信息。|||Au moment où notre monde traverse des changements et une épidémie jamais connus depuis un siècle, la Conférence du Désarmement est appelée à faire face aux changements profonds et complexes dans l’actuelle situation sécuritaire internationale et à envoyer un message clair de préserver fermement la stabilité stratégique mondiale, de promouvoir fermement le processus de contrôle des armements au niveau international et de défendre fermement le multilatéralisme.
主席先生，|||Monsieur le Président,
今年1月，中国国家主席习近平在世界经济论坛“达沃斯议程”对话会上旗帜鲜明地提出，“让多边主义火炬照亮人类前行之路”。|||En janvier dernier, à l’édition virtuelle de l’Agenda de Davos du Forum économique mondial, le Président Xi Jinping a clairement affirmé qu’il fallait que le flambeau du multilatéralisme éclaire la marche en avant de l’humanité.
多边主义是人间正道，各国应当坚定地在这条路上走下去，奉行共同、综合、合作、可持续的新安全观，努力推进国际军控、裁军与防扩散进程。|||Le multilatéralisme est la bonne voie que tous les pays ont à suivre fermement pour promouvoir la nouvelle vision de la sécurité commune, globale, coopérative et durable et faire progresser le processus de contrôle des armements, de désarmement et de non-prolifération au niveau international.
我们要坚持合作共赢，以合作谋和平、以合作促安全，坚决抵制冷战思维和零和博弈，致力于实现共同安全。|||Nous devons développer la coopération gagnant-gagnant, rechercher la paix et la sécurité par la coopération et rejeter fermement la mentalité de la guerre froide et le jeu à somme nulle, en vue de réaliser la sécurité commune.
我们要坚守公平正义，加强以联合国为核心的多边裁军机制的权威性和有效性，摒弃例外主义和双重标准，致力于实现普遍安全。|||Nous devons préserver l’équité et la justice, renforcer l’autorité et l’efficacité des mécanismes multilatéraux de désarmement centrés sur les Nations Unies et rejeter l’exceptionnalisme et le deux poids deux mesures, en vue de réaliser la sécurité universelle.
我们要坚持综合治理，既要着力应对当前突出的安全挑战，又要综合施策，消弭潜在安全威胁，致力于实现持久安全。|||Nous devons mettre en place une gouvernance intégrée en adoptant une approche globale pour affronter les grands défis sécuritaires contemporains et éliminer les menaces potentielles, en vue de réaliser la sécurité durable.
主席先生，|||Monsieur le Président,
今年是中华人民共和国恢复联合国合法席位50周年。|||Cette année marque le 50e anniversaire du rétablissement de la Chine dans son siège légitime aux Nations Unies.
50年来，中国全面参与联合国事务，为世界和平与发展作出重要贡献。|||Au cours des 50 ans écoulés, la Chine a participé sur tous les plans aux activités dans le cadre des Nations Unies et apporté une contribution importante à la paix et au développement dans le monde.
中国数千年积累的历史智慧是“国霸必衰”，而不是“国强必霸”。|||La sagesse plusieurs fois millénaire de la Chine estime que la recherche de l’hégémonie conduit au déclin et qu’aucun pays puissant ne doit y prétendre.
中国坚定走和平发展道路，坚持独立自主和平外交政策，始终不渝奉行防御性国防政策。|||La Chine poursuit résolument la voie du développement pacifique, la politique extérieure d’indépendance et de paix et la politique de défense nationale à caractère défensif.
中国的核政策在所有核武器国家中最具稳定性、连续性和可预见性。|||La Chine poursuit la politique nucléaire la plus stable, la plus cohérente et la plus prévisible parmi tous les pays dotés d’armes nucléaires.
