勠力同心，结伴前行，共创中非关系更加美好的明天|||TRAVAILLONS ENSEMBLE À BÂTIR UN AVENIR PLUS RADIEUX POUR LES RELATIONS SINO-AFRICAINES
——王毅国务委员兼外长|||M. Wang Yi, Conseiller d’État et Ministre des Affaires étrangères
在庆祝“非洲日”招待会上的致辞|||Allocution à la réception offerte à l’occasion de la Journée de l’Afrique
（2021年5月25日，钓鱼台芳菲苑）|||Beijing, 25 mai 2021
尊敬的非洲驻华使团长马丁·姆帕纳大使阁下，|||Excellence Monsieur l’Ambassadeur Martin Mpana, Doyen du Corps diplomatique africain en Chine,
尊敬的非盟驻华代表拉赫曼塔拉·奥斯曼大使阁下，|||Excellence Monsieur l’Ambassadeur Rahamtalla Mohamed Osman Elnor, Représentant permanent de l’Union Africaine en Chine,
尊敬的各位使节，|||Excellences Mesdames et Messieurs les Ambassadeurs,
女士们，先生们，|||Mesdames et Messieurs,
朋友们：|||Chers Amis,
很高兴出席今天的招待会，同非洲的兄弟姐妹们一起庆祝第58个“非洲日”。|||C’est un grand plaisir pour moi de participer à la réception d’aujourd’hui pour célébrer ensemble avec mes frères et sœurs africains la 58e Journée de l’Afrique.
我谨代表中国政府，向各位非洲驻华使节，向兄弟的非洲国家和人民致以节日的祝贺！在此，也衷心感谢各位使节为深化中非友谊、推进中非合作作出的重要贡献。|||Au nom du gouvernement chinois, je tiens à adresser mes chaleureuses félicitations à vous, Mesdames et Messieurs les Ambassadeurs, et aux pays et peuples africains frères. Je tiens également à vous exprimer tous mes remerciements pour votre contribution importante à l’approfondissement de l’amitié et à la promotion de la coopération entre la Chine et l’Afrique.
“非洲日”是非洲人民争取独立、加强团结的重要纪念日。|||La Journée de l’Afrique est l’occasion importante pour commémorer la lutte des peuples africains pour l’indépendance et l’unité.
非常感谢非洲驻华使团长热情洋溢的讲话和非盟委员会法基主席发来的贺电。|||Je tiens à vous remercier, Excellence Monsieur le Doyen, de prononcer cette allocution chaleureuse et de donner lecture de la déclaration de S.E.M. Moussa Faki Mahamat, Président de la Commission de l’Union Africaine. Je voudrais commencer par vous dire que la Journée de l’Afrique est aussi la Journée de la Chine.
首先我想说的是，“非洲日”就是“中国日”，是中非双方共同的节日，值得我们每年共同纪念和庆祝！58年前，在泛非主义旗帜引领下，非洲统一组织应运而生，开启了非洲联合自强、发展振兴的新征程。|||C’est une fête commune à célébrer ensemble par la Chine et l’Afrique chaque année. II y a 58 ans, porteuse des idéaux du panafricanisme, l’Organisation de l’Unité africaine a été créée, inaugurant une nouvelle marche de l’Afrique vers l’intégration, le développement et le redressement.
近年来，非洲团结合作、和平发展的势头不断增强，非洲自贸区正式实施，一体化建设取得重要进展，非洲国家的集体影响力显著提升，在国际事务中发挥越来越重要的作用。|||Ces dernières années, l’Afrique a connu une dynamique renforcée de solidarité, de coopération, de paix et de développement. La Zone de libre-échange continentale africaine (ZLECAf) a été officiellement lancée. Les efforts d’intégration ont enregistré des progrès importants. Les pays africains ont vu leur influence collective s’accroître considérablement et ils jouent un rôle de plus en plus important dans les affaires internationales.
各位使节，|||Excellences,
朋友们：|||Chers Amis,
加强同非洲国家的团结合作，始终是中国外交优先方向。|||Renforcer la solidarité et la coopération avec les pays africains est depuis toujours une priorité de la diplomatie chinoise.
中非双方在争取国家独立、维护民族尊严的伟大斗争中并肩战斗，在发展经济、改善民生的宏伟征程中结伴同行，在涉及彼此核心利益和重大关切问题上相互支持。|||La Chine et l’Afrique ont combattu côte à côte dans la lutte pour l’indépendance et la dignité nationales, avancé main dans la main sur la voie du développement économique et de l’amélioration du bien-être social et se sont mutuellement soutenues sur les questions touchant aux intérêts vitaux et aux préoccupations majeures de l’une et de l’autre.
无论国际风云如何变幻，中非友谊始终坚如磐石、历久弥新。|||Quels que soient les aléas internationaux, l’amitié sino-africaine a toujours été indéfectible et affiche un nouveau dynamisme.
——面对疫情挑战，我们互施援手，共克时艰。|||—Face au défi de la COVID-19, nous nous sommes entraidés pour surmonter les difficultés.
疫情发生后，非洲国家和非盟在中国抗疫的艰难时刻给予我们坚定支持，中方铭记于心。|||Les pays africains et l’UA ont accordé un soutien ferme à la Chine dans les heures difficiles de sa lutte contre la COVID-19. La Chine ne l’oubliera jamais.
习近平主席心系非洲疫情，去年6月倡议召开中非团结抗疫特别峰会，同11位非方领导人通话，展现了中非双方患难与共的特殊情谊。|||Le Président Xi Jinping suit de très près la situation sanitaire en Afrique. Il a pris l’initiative de tenir en juin dernier le Sommet extraordinaire Chine-Afrique sur la solidarité contre la COVID-19 et s’est entretenu par téléphone avec 11 dirigeants africains, donnant par là une belle illustration de l’amitié exceptionnelle entre la Chine et l’Afrique qui se sont soutenues face au défi commun.
