团结起来　践行真正的多边主义|||ENSEMBLE, CONSTRUISONS UN VRAI MULTILATÉRALISME
——在安理会“维护国际和平与安全：维护多边主义和以联合国为核心的国际体系”高级别会议上的发言|||―Intervention à la Visioconférence de haut niveau du Conseil de Sécurité « Maintien de la paix et de la sécurité internationales : défendre le multilatéralisme et le système international centré sur l’Organisation des Nations Unies »
中华人民共和国国务委员兼外长 王毅|||M. Wang Yi, Conseiller d’État et Ministre des Affaires étrangères de la République populaire de Chine
（2021年5月7日，北京）|||Beijing, 7 mai 2021
联大主席先生，|||Monsieur le Président de l’Assemblée générale,
各位同事，|||Chers Collègues,
去年9月，中国国家主席习近平出席联合国成立75周年系列高级别会议，深刻阐释了多边主义内涵，明确指出要坚持多边主义道路。|||En septembre 2020, le Président chinois Xi Jinping a participé aux réunions de haut niveau organisées à l’occasion de la célébration du 75e anniversaire de l’ONU, lors desquelles il a expliqué en profondeur ce que c’est que le multilatéralisme et indiqué clairement l’importance de poursuivre fermement la voie du multilatéralisme.
各国领导人在《政治宣言》中也重申，多边主义不是一种选择，而是必须。|||Les dirigeants des différents pays ont réaffirmé, dans la déclaration faite à cette occasion, que le multilatéralisme n’était pas une option, mais une nécessité.
联合国是多边主义的旗帜。|||L’ONU est l’étendard du multilatéralisme.
坚持多边主义，就必须维护以联合国宪章宗旨和原则为基石的国际关系基本准则，维护联合国的权威和地位，维护联合国在国际事务中的核心作用。|||Pour défendre le multilatéralisme, il faut préserver les normes fondamentales régissant les relations internationales, fondées sur les buts et principes de la Charte des Nations Unies, défendre l’autorité et la place de l’ONU et maintenir son rôle central dans les affaires internationales.
这是当代践行多边主义的应有之义，与单边主义绝不相容。|||C’est ce qui doit être fait aujourd’hui pour promouvoir le multilatéralisme et bannir l’unilatéralisme.
面对世纪疫情和百年变局，我们应当坚定走携手合作、互利共赢之路，践行真正的多边主义。|||Face à une épidémie et à des transformations jamais connues depuis un siècle, nous devons poursuivre fermement la voie de la coopération mutuellement bénéfique et construire un vrai multilatéralisme.
中方主张：|||Voici les propositions de la Chine :
要合作共赢，不要零和博弈。|||Nous devons poursuivre la coopération gagnant-gagnant et rejeter le jeu à somme nulle.
全球性问题越复杂，越需要群策群力。全人类挑战越棘手，越需要勠力同心。|||Plus les problèmes planétaires sont complexes, et les défis pour l’humanité, épineux, plus la sagesse collective et la coopération solidaire s’avèrent nécessaires.
各国要在平等和相互尊重基础上开展对话合作。|||Les pays ont à dialoguer et à coopérer sur la base de l’égalité et du respect mutuel, et aucun ne doit miser sur l’échec d’autrui.
任何国家都不应盼着别人输，而要致力于同他国一道赢，实现普遍安全、共同繁荣。|||Il faut travailler ensemble pour assurer le bien de tous, la sécurité universelle et la prospérité commune.
要公平正义，不要霸凌霸道。|||Nous devons plaider pour l’équité et la justice et dire non aux agissements intimidants et hégémoniques.
核心是推动国际关系民主化，由各国共担治理责任，共促和平发展。|||L’essentiel est de promouvoir la démocratisation des relations internationales et de faire en sorte que les pays assument tous les responsabilités de la gouvernance mondiale et qu’ils contribuent ensemble à la paix et au développement.
关键是推动国际关系法治化，恪守普遍公认的国际法则，信守共同商定的国际协定。|||La clé est de favoriser l’état de droit dans les relations internationales, d’observer scrupuleusement le droit international universellement reconnu et de respecter fidèlement les accords internationaux convenus par tous.
国际规则应该以国际法为基础，由大家一起制定，不是少数国家的专利和特权；应该由各国共同遵守，不能搞例外主义和双重标准。|||Les règles internationales doivent se baser sur le droit international et être élaborées par tous. Elles ne doivent pas être l’apanage ou le privilège de quelques-uns. Elles sont à respecter par tous. L’exceptionnalisme et le deux poids deux mesures ne sont pas permis.
要聚焦行动，不要坐而论道。|||Nous devons mettre l’accent sur l’action au lieu de parler creux.
多边主义要起而行之，聚焦问题，解决问题，否则就立不住、走不远。|||Pour promouvoir le multilatéralisme, il faut passer à l’action, identifier les problèmes et les résoudre. Sinon, le multilatéralisme ne sera ni tenable ni viable.
我们的行动不能短视，要共计天下之利，将本国利益寓于全球利益之中。|||Nous ne devons pas agir avec une vision de courte vue. Il faut œuvrer dans l’intérêt de tous et associer les intérêts de nos pays respectifs et ceux du monde entier.
要兼顾当下和长远，不能为一时之需，损及世界持续和平和全球可持续发展。|||Nous devons ménager les intérêts de court et de long terme et nous garder de satisfaire les besoins immédiats au détriment de la paix et du développement durables dans le monde.
大国尤要发挥表率作用，带头提供全球公共产品。|||Les grands pays doivent notamment donner l’exemple et fournir des biens publics mondiaux.
要尊重多样，不要唯我独尊。|||Nous devons respecter la diversité et rejeter la recherche de la suprématie.
各国都有自己独一无二的历史文化，都需要走符合本国国情的发展道路。|||Chaque pays est unique en termes d’histoire et de culture et chaque pays doit suivre une voie de développement adaptée à ses réalités.
这种多样性与和平、发展、公平、正义、民主、自由的全人类共同价值追求相结合，将迸发出多边主义的强大力量。|||La diversité, associée avec les valeurs communes poursuivies par toute l’humanité, à savoir la paix, le développement, l’équité, la justice, la démocratie et la liberté, fera jaillir la grande force du multilatéralisme.
以意识形态割裂世界，与多边主义的精神背道而驰，是历史的倒退。|||Diviser le monde par le clivage idéologique va à l’encontre de l’esprit de multilatéralisme. C’est de faire marche arrière dans l’histoire.
各位同事，|||Chers Collègues,
多边主义行不行、好不好，联合国是一面镜子，也是一个标杆。|||Pour juger si le multilatéralisme marche et fonctionne, l’ONU est un miroir et une référence.
