共同构建人与自然生命共同体|||CONSTRUIRE ENSEMBLE UN AVENIR PARTAGÉ POUR L’HOMME ET LA NATURE
——在“领导人气候峰会”上的讲话|||Allocution au Sommet des dirigeants sur le climat
（2021年4月22日，北京）|||Beijing, 22 avril 2021
中华人民共和国主席 习近平|||M. Xi Jinping, Président de la République populaire de Chine
尊敬的拜登总统，|||Monsieur le Président Joe Biden,
尊敬的各位同事：|||Chers Collègues,
很高兴在“世界地球日”到来之际出席领导人气候峰会，感谢拜登总统的邀请。|||C’est un grand plaisir pour moi de participer, au Jour de la Terre, au Sommet des dirigeants sur le climat. Je remercie le Président Biden pour son invitation.
借此机会，我愿同大家就气候变化问题深入交换意见，共商应对气候变化挑战之策，共谋人与自然和谐共生之道。|||J’aimerais à cette occasion avoir des échanges de vues approfondis avec vous sur le changement climatique, pour rechercher ensemble des réponses au défi climatique et trouver une voie vers la coexistence harmonieuse entre l’homme et la nature.
人类进入工业文明时代以来，在创造巨大物质财富的同时，也加速了对自然资源的攫取，打破了地球生态系统平衡，人与自然深层次矛盾日益显现。|||Depuis l’ère de la civilisation industrielle, tout en créant d’énormes richesses, l’homme a accéléré le prélèvement des ressources naturelles. L’équilibre des écosystèmes sur Terre a été détruit, et les contradictions profondes entre l’homme et la nature se sont exacerbées.
近年来，气候变化、生物多样性丧失、荒漠化加剧、极端气候事件频发，给人类生存和发展带来严峻挑战。|||Ces dernières années, le changement climatique, la perte de la diversité biologique, l’aggravation de la désertification et la multiplication des phénomènes climatiques extrêmes ont posé des défis sérieux à la survie et au développement de l’humanité.
新冠肺炎疫情持续蔓延，使各国经济社会发展雪上加霜。|||À cela s’ajoute la propagation continue de la COVID-19 qui pèse sur différents pays dans leur développement économique et social.
面对全球环境治理前所未有的困难，国际社会要以前所未有的雄心和行动，勇于担当，勠力同心，共同构建人与自然生命共同体。|||Face à ces difficultés inédites dans la gouvernance environnementale mondiale, la communauté internationale doit avoir une ambition et un engagement sans précédent, se hisser à la hauteur de ses responsabilités et agir de concert pour construire ensemble un avenir partagé pour l’homme et la nature.
——坚持人与自然和谐共生。|||— Nous devons rechercher l’harmonie entre l’homme et la nature.
“万物各得其和以生，各得其养以成。”|||Un philosophe de la Chine antique disait : « C’est dans l’harmonie que vivent tous les êtres, c’est grâce à la générosité de la nature qu’ils prospèrent. »
大自然是包括人在内一切生物的摇篮，是人类赖以生存发展的基本条件。|||Berceau de l’humanité et de tous les autres êtres vivants, la nature est essentielle à notre survie et à notre développement.
大自然孕育抚养了人类，人类应该以自然为根，尊重自然、顺应自然、保护自然。|||Nourri par la nature, l’homme doit s’enraciner dans la nature, la respecter, suivre ses lois et la protéger.
不尊重自然，违背自然规律，只会遭到自然报复。|||Agir au mépris de la nature et de ses lois n’aura pour conséquence que de provoquer ses vengeances.
自然遭到系统性破坏，人类生存发展就成了无源之水、无本之木。|||Une destruction systématique de la nature privera l’humanité de ressources et de fondement pour sa survie et son développement.
我们要像保护眼睛一样保护自然和生态环境，推动形成人与自然和谐共生新格局。|||Nous avons tous la responsabilité de protéger la nature et l’environnement comme nous le faisons pour nos propres yeux et d’ouvrir de nouvelles perspectives pour la coexistence harmonieuse entre l’homme et la nature.
——坚持绿色发展。|||— Nous devons poursuivre un développement vert.
绿水青山就是金山银山。|||La nature vaut son pesant d’or.
保护生态环境就是保护生产力，改善生态环境就是发展生产力，这是朴素的真理。|||Protéger l’environnement, c’est protéger les forces productives ; améliorer l’environnement, c’est développer les forces productives. Voilà une simple vérité.
我们要摒弃损害甚至破坏生态环境的发展模式，摒弃以牺牲环境换取一时发展的短视做法。|||Il est impératif de rejeter les modes de développement qui endommagent, voire détruisent l’environnement et les pratiques qui visent des intérêts de court terme au détriment de l’environnement.
