同舟共济克时艰，命运与共创未来|||SURMONTER ENSEMBLE LES DÉFIS ET BÂTIR L’AVENIR PARTAGÉ POUR TOUS
——在博鳌亚洲论坛2021年年会开幕式上的视频主旨演讲|||Discours à la Conférence annuelle 2021 du Forum de Boao pour l’Asie
（2021年4月20日，北京）|||20 avril 2021
中华人民共和国主席 习近平|||Monsieur Xi Jinping, Président de la République populaire de Chine
尊敬的各位国家元首、政府首脑，|||Mesdames et Messieurs les Chefs d’État et de gouvernement,
尊敬的各位国际组织负责人，|||Mesdames et Messieurs les responsables d’Organisations internationales,
尊敬的各位博鳌亚洲论坛理事，|||Mesdames et Messieurs les membres du Conseil d’Administration du Forum de Boao pour l’Asie,
各位来宾，|||Distingués Invités,
女士们，先生们，|||Mesdames et Messieurs,
朋友们：|||Chers Amis,
“与君远相知，不道云海深。”|||« La vraie amitié efface la longue distance. »
很高兴出席博鳌亚洲论坛2021年年会，同大家在“云端”相聚。|||C’est un grand plaisir pour moi de vous retrouver en ligne à la Conférence annuelle 2021 du Forum de Boao pour l’Asie.
首先，我代表中国政府和中国人民，并以我个人的名义，对出席会议的线上线下所有嘉宾，表示热烈的欢迎！对各位新老朋友，表示诚挚的问候和美好的祝愿！|||Tout d’abord, au nom du gouvernement et du peuple chinois et en mon nom personnel, je voudrais souhaiter une chaleureuse bienvenue à tous les invités, en présentiel ou en ligne, et adresser mes salutations cordiales et mes meilleurs vœux aux amis anciens et nouveaux.
今年是论坛成立20周年。|||Cette année marque le 20e anniversaire du Forum de Boao.
20年来，亚洲国家深入推动区域经济一体化，协力促进经济社会发展，推动亚洲成为全球经济最具活力和增长潜力的地区。|||Au cours des 20 ans écoulés, les pays asiatiques ont travaillé à approfondir l’intégration économique régionale et à promouvoir le développement économique et social, faisant de l’Asie la région la plus dynamique et la plus prometteuse dans l’économie mondiale.
亚洲和世界各国携手应对恐怖主义、印度洋海啸、国际金融危机、新冠肺炎疫情等传统安全和非传统安全威胁，努力维护地区稳定和安全。|||L’Asie a œuvré avec le reste du monde à répondre au terrorisme, au tsunami de l’océan Indien, à la crise financière internationale, à la COVID-19 et aux autres menaces sécuritaires conventionnelles et non conventionnelles, pour préserver la stabilité et la sécurité dans la région.
作为亚洲大家庭重要成员，中国不断深化改革开放，积极推动地区合作，与亚洲同进步，与世界共发展。|||La Chine, en tant que membre important de la grande famille asiatique, n’a cessé d’approfondir la réforme et l’ouverture et de promouvoir activement la coopération régionale pour progresser ensemble avec l’Asie et le monde.
论坛见证了中国、亚洲、世界走过的不平凡历程，为促进亚洲和世界发展发挥了重要影响力、推动力。|||Le Forum est en effet témoin du parcours extraordinaire de la Chine, de l’Asie et du monde, et a donné une forte impulsion au développement de l’Asie et au-delà.
女士们，先生们，|||Mesdames et Messieurs,
朋友们！|||Chers Amis,
本届年会是在特殊背景下召开的。|||La conférence de cette année se tient dans un contexte particulier.
年会以“世界大变局：共襄全球治理盛举，合奏‘一带一路’强音”为主题，恰逢其时，具有重要现实意义。|||Placée sous le thème « Le monde en changement : Travailler ensemble à renforcer la gouvernance mondiale et à promouvoir la coopération dans le cadre de l’Initiative “ la Ceinture et la Route ” », cette conférence se tient à un moment opportun et est d’une grande pertinence aujourd’hui.
当前，百年变局和世纪疫情交织叠加，世界进入动荡变革期，不稳定性不确定性显著上升。|||Des changements inédits et une épidémie jamais vue depuis un siècle ont fait entrer le monde dans une période de turbulences et de transformations. Les instabilités et incertitudes se sont nettement accrus.
人类社会面临的治理赤字、信任赤字、发展赤字、和平赤字有增无减，实现普遍安全、促进共同发展依然任重道远。|||L’humanité fait face à un déficit croissant de gouvernance, de confiance, de développement et de paix. Le chemin est encore long pour réaliser la sécurité universelle et le développement commun.
同时，世界多极化趋势没有根本改变，经济全球化展现出新的韧性，维护多边主义、加强沟通协作的呼声更加强烈。|||Cela dit, la tendance vers un monde multipolaire n’a pas fondamentalement changé, la mondialisation économique affiche une nouvelle résilience et l’appel à la préservation du multilatéralisme et au renforcement de la communication et de la coordination est plus fort.
我们所处的是一个充满挑战的时代，也是一个充满希望的时代。|||Nous vivons une époque de défis, mais aussi une époque d’espoir.
人类社会应该向何处去？|||Où doit aller l’humanité ?
我们应该为子孙后代创造一个什么样的未来？|||Quel avenir devons-nous bâtir pour nos enfants ?
对这一重大命题，我们要从人类共同利益出发，以负责任态度作出明智选择。|||Pour répondre à ces questions majeures, nous devons garder à l’esprit les intérêts communs de l’humanité et faire des choix responsables et sages.
中方倡议，亚洲和世界各国要回应时代呼唤，携手共克疫情，加强全球治理，朝着构建人类命运共同体方向不断迈进。|||La Chine invite les pays de l’Asie et du monde entier à répondre à l’appel de notre époque, à combattre ensemble le virus, à renforcer la gouvernance mondiale et à œuvrer sans cesse à la construction d’une communauté d’avenir partagé pour l’humanité.
——我们要平等协商，开创共赢共享的未来。|||— Nous devons poursuivre les consultations d’égal à égal pour créer un avenir marqué par les bénéfices partagés.
全球治理应该符合变化了的世界政治经济格局，顺应和平发展合作共赢的历史趋势，满足应对全球性挑战的现实需要。|||La gouvernance mondiale doit refléter l’évolution de l’échiquier politique et économique mondial, suivre la tendance historique à la paix, au développement et à la coopération gagnant-gagnant et répondre aux besoins réels pour relever les défis planétaires.
我们应该秉持共商共建共享原则，坚持真正的多边主义，推动全球治理体系朝着更加公正合理的方向发展。|||Nous devons poursuivre le principe d’amples consultations, de contribution conjointe et de bénéfices partagés, défendre le véritable multilatéralisme et faire évoluer le système de gouvernance mondiale dans un sens plus juste et plus équitable.
要维护以联合国为核心的国际体系，维护以国际法为基础的国际秩序，维护以世界贸易组织为核心的多边贸易体制。|||Nous devons préserver le système international centré sur l’ONU, l’ordre international basé sur le droit international et le système commercial multilatéral centré sur l’OMC.
国际上的事应该由大家共同商量着办，世界前途命运应该由各国共同掌握，不能把一个或几个国家制定的规则强加于人，也不能由个别国家的单边主义给整个世界“带节奏”。|||Les affaires internationales doivent être gérées à travers d’amples consultations, et l’avenir du monde, décidé par tous les pays. Les règles établies par un ou quelques pays ne doivent pas être imposées aux autres, et l’unilatéralisme prôné par quelques pays ne doit pas donner le ton pour le monde entier.
世界要公道，不要霸道。|||Dans le monde d’aujourd’hui, nous avons besoin de la justice et non de l’hégémonie.
大国要有大国的样子，要展现更多责任担当。|||Les grands pays doivent être à la hauteur de leur grandeur et faire preuve d’un plus grand sens des responsabilités.
——我们要开放创新，开创发展繁荣的未来。|||— Nous devons poursuivre l’ouverture et l’innovation pour créer un avenir marqué par le développement et la prospérité.
开放是发展进步的必由之路，也是促进疫后经济复苏的关键。|||L’ouverture est essentielle au développement et au progrès. Elle est aussi la clé pour la reprise économique post-COVID-19.
我们要推动贸易和投资自由化便利化，深化区域经济一体化，巩固供应链、产业链、数据链、人才链，构建开放型世界经济。|||Nous devons promouvoir la libéralisation et la facilitation du commerce et de l’investissement, approfondir l’intégration économique régionale et consolider les chaînes industrielles, d’approvisionnement, de données et de ressources humaines en vue d’une économie mondiale ouverte.
要深化互联互通伙伴关系建设，推进基础设施联通，畅通经济运行的血脉和经络。|||Nous devons approfondir les partenariats pour la connectivité et promouvoir l’interconnexion des infrastructures pour assurer un fonctionnement sain de l’activité économique.
要抓住新一轮科技革命和产业变革的历史机遇，大力发展数字经济，在人工智能、生物医药、现代能源等领域加强交流合作，使科技创新成果更好造福各国人民。|||Nous avons à saisir les opportunités historiques offertes par la nouvelle révolution technologique et la transformation industrielle, à développer énergiquement l’économie numérique et à intensifier les échanges et la coopération sur l’intelligence artificielle, la biomédecine et les énergies modernes pour que les fruits de l’innovation technologique bénéficient davantage à tous les peuples du monde.
在经济全球化时代，开放融通是不可阻挡的历史趋势，人为“筑墙”、“脱钩”违背经济规律和市场规则，损人不利己。|||À cette ère de la globalisation économique, l’ouverture et l’intégration sont une tendance historique irrésistible. Ériger des murs ou recourir au découplage vont à l’encontre de la loi économique et des règles du marché. Ces tentatives nuisent à autrui sans apporter aucun bénéfice à soi-même.
——我们要同舟共济，开创健康安全的未来。|||— Nous devons poursuivre la solidarité pour créer un avenir marqué par la santé et la sécurité.
