李克强总理出席记者会并回答中外记者提问|||Conférence de presse du Premier Ministre Li Keqiang Transcription intégrale
十三届全国人大四次会议11日下午在人民大会堂举行记者会，国务院总理李克强应大会发言人张业遂的邀请出席记者会，并回答中外记者提问。|||La 4e session de la XIIIe Assemblée populaire nationale a tenu une conférence de presse au Grand Palais du Peuple le 11 mars 2021 dans l’après-midi. Le Premier Ministre Li Keqiang a rencontré la presse et répondu aux questions des journalistes chinois et étrangers sur l’invitation du porte-parole de la présente session Zhang Yesui.
记者会开始时，李克强说，很高兴同媒体的朋友们见面，感谢大家对中国两会报道所付出的辛劳。|||Dans ses remarques d’ouverture, le Premier Ministre Li Keqiang a salué et remercié les amis de la presse d’avoir couvert les sessions de l’APN et de la CCPPC.
今年我们还是继续通过视频进行交流，请大家提问。|||Il a ensuite ouvert la session qui se tient en visioconférence.
美国消费者新闻与商业频道记者：李总理，新冠肺炎疫情对许多工作完成的方式和地点都产生了影响，疫情暴发一年了，请问中国就业质量和收入有什么明显的变化，中方将采取什么具体的措施改善这种状况？特别是在人口老龄化背景下，对消费需求特别是国外品牌消费有什么影响？|||CNBC : Monsieur le Premier Ministre, l’épidémie de COVID-19 a eu des impacts sur les modalités et les lieux de travail. L’année dernière, quels sont les changements de la qualité de l’emploi et des revenus en Chine ? Quelles seront les mesures concrètes que prendra la Chine pour améliorer la situation ? Dans le contexte de vieillissement de la population, quels sont les impacts sur la consommation et les marques étrangères ?
李克强：就业对一个国家、对一个家庭可以说都是天大的事。|||Premier Ministre Li Keqiang : L’emploi est primordial pour tous les pays et tous les ménages.
去年在疫情肆虐的时候，很多街面上都见不到行人了，多数店铺都关了，当时我们最担心的就是出现大规模的失业。|||En 2020, au plus fort de l’épidémie, il n’y avait presque personne dans les rues. La plupart des commerces ont dû fermer leurs portes. Ce qui me préoccupait le plus, c’était un éventuel chômage massif dans le pays.
记得后来我到地方考察，看了不少店铺。|||J’ai effectué ensuite des visites en province et je me suis rendu dans plusieurs boutiques.
在一个小店，店主跟我说，3个月没有营业了，因为政府减免税费，支持减免房租、水电费，稳岗补贴资金到位，我们没有裁员，挺过来了。|||Je me souviens que le patron d’un petit commerce fermé pendant trois mois m’a dit que sa boutique a pu tenir et personne n’a été licencié grâce aux mesures prises par le gouvernement pour réduire et exonérer des impôts, des frais, des loyers et des tarifs de l’eau et de l’électricité et aux subventions accordées pour la stabilisation de l’emploi.
我问员工的工资怎么办？|||Je lui ai demandé comment il a fait pour le salaire de ses employés.
他说当时只发生活费了。|||Il m’a dit qu’il n’avait pu leur donner que des rémunérations de base.
在场的20多位员工都说，店里管吃管住，不让我们下岗，还有什么说的。|||Et une vingtaine d’employés sur place m’ont répondu qu’ils n’avaient rien à plaindre car la boutique avait pris en charge la nourriture et le logement pour ne licencier personne.
企业和员工都明白，只要保住了企业、稳住了岗位，一复工复市，生意就会旺起来。|||L’employeur et les employés ont tous compris que lorsque l’entreprise et les emplois sont sauvegardés, les affaires reviendront une fois que l’activité repart.
去年我们在制定宏观政策的时候，因为不确定因素太多，没有制定经济增长的预期目标。|||L’année dernière, lorsque nous élaborions la politique macroéconomique, il y avait beaucoup de facteurs d’incertitude. C’est la raison pour laquelle nous ne nous sommes pas fixé d’objectif chiffré pour le PIB.
