政府工作报告|||RAPPORT D'ACTIVITÉ DU GOUVERNEMENT
——2019年3月5日在第十三届全国人民代表大会第二次会议上|||Présenté le 5 mars 2019 à la deuxième session de la XIIIe Assemblée populaire nationale
国务院总理　李克强|||Li Keqiang Premier ministre du Conseil des affaires d'État
各位代表：|||Mesdames et Messieurs les députés,
现在，我代表国务院，向大会报告政府工作，请予审议，并请全国政协委员提出意见。|||Au nom du Conseil des affaires d'État, j'ai l'honneur de soumettre à l'examen de la présente session de l'Assemblée le rapport d'activité du gouvernement. J'invite par la même occasion les membres du Comité national de la Conférence consultative politique du peuple chinois (CCPPC), qui assistent aux travaux de la présente session, à nous faire part de leurs remarques sur ce rapport.
一、2018年工作回顾|||I. BILAN DU TRAVAIL ACCOMPLI EN 2018
过去一年是全面贯彻党的十九大精神开局之年，是本届政府依法履职第一年。|||L'année 2018 a amorcé la traduction dans les faits de l'esprit du XIXe Congrès du Parti et est la première année du mandat du gouvernement actuel.
我国发展面临多年少有的国内外复杂严峻形势，经济出现新的下行压力。|||Confrontés à une situation complexe et difficile sur les plans intérieur et extérieur, comme on en a rarement connu depuis de nombreuses années, nous avons vu notre économie subir de nouvelles pressions à la baisse.
在以习近平同志为核心的党中央坚强领导下，全国各族人民以习近平新时代中国特色社会主义思想为指导，砥砺奋进，攻坚克难，完成全年经济社会发展主要目标任务，决胜全面建成小康社会又取得新的重大进展。|||Cependant, notre peuple multiethnique, sous la ferme direction du Comité central du Parti rassemblé autour du camarade Xi Jinping et guidé par la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère, est vaillamment allé de l'avant en surmontant toutes sortes de difficultés, a réussi à réaliser les principaux objectifs du développement économique et social prévus pour 2018, et fait de nouveaux progrès importants dans ses efforts pour parachever l'édification intégrale de la société de moyenne aisance.
——经济运行保持在合理区间。|||-- L'activité économique chinoise s'est maintenue dans une fourchette raisonnable.
国内生产总值增长6.6%，总量突破90万亿元。|||Le PIB a connu une croissance de 6,6 % pour dépasser 90 000 milliards de yuans.
经济增速与用电、货运等实物量指标相匹配。|||La croissance économique est alignée sur les indices quantitatifs en matière de consommation d'électricité et de volume du transport de marchandises.
居民消费价格上涨2.1%。国际收支基本平衡。城镇新增就业1361万人、调查失业率稳定在5%左右的较低水平。|||La hausse des prix à la consommation des ménages a été de 2,1 % ; l'équilibre global de la balance des paiements internationaux a été maintenu ; 13,61 millions de nouveaux emplois ont été créés dans les agglomérations urbaines, tandis que le taux de chômage au sens du recensement de la population a été maintenu à un niveau relativement bas de 5 % environ.
近14亿人口的发展中大国，实现了比较充分就业。|||Pour un pays en voie de développement qui compte près de 1,4 milliard d'habitants, il est capital de réaliser le quasi-plein emploi.
——经济结构不断优化。|||-- La structure économique n'a cessé de s'améliorer.
消费拉动经济增长作用进一步增强。|||La consommation a joué un rôle d'entraînement accru dans la croissance économique.
服务业对经济增长贡献率接近60%，高技术产业、装备制造业增速明显快于一般工业，农业再获丰收。|||La contribution du secteur des services a été de près de 60 % ; l'industrie de haute technologie et l'industrie équipementière ont connu un rythme de croissance plus rapide que celui des autres secteurs de l'industrie ; et une bonne récolte de céréales a été à nouveau enregistrée.
单位国内生产总值能耗下降3.1%。|||La consommation d'énergie par unité de PIB a baissé de 3,1 %.
质量和效益继续提升。|||Enfin, la qualité et le rendement ont continué à s'améliorer.
——发展新动能快速成长。|||-- La formation de nouveaux moteurs de développement s'est accélérée.
嫦娥四号等一批重大科技创新成果相继问世。|||Des succès d'importance majeure en matière d'innovation, dont la sonde lunaire Chang'e 4, ont été obtenus dans le secteur scientifique et technologique.
新兴产业蓬勃发展，传统产业加快转型升级。|||Les industries émergentes ont connu un grand essor, la transformation et la montée en gamme des industries traditionnelles se sont accélérées.
大众创业万众创新深入推进，日均新设企业超过1.8万户，市场主体总量超过1亿户。|||L'innovation et l'entrepreneuriat de masse ont continué à se développer : le nombre moyen d'entreprises nouvellement crées est supérieur à 18 000 par jour, alors que le nombre total d'acteurs sur le marché a dépassé la barre des 100 millions.
新动能正在深刻改变生产生活方式、塑造中国发展新优势。|||Les nouveaux moteurs de développement sont en train de modifier profondément les modes de production et de vie, donnant à la Chine de nouveaux atouts pour son développement.
——改革开放取得新突破。国务院及地方政府机构改革顺利实施。|||-- La réforme et l'ouverture ont réalisé de nouvelles percées.
重点领域改革迈出新的步伐，市场准入负面清单制度全面实行，简政放权、放管结合、优化服务改革力度加大，营商环境国际排名大幅上升。|||La restructuration du Conseil des affaires d'État et des gouvernements locaux a été mise en œuvre dans de bonnes conditions. La réforme des secteurs clés a fait de nouveaux progrès ; le système de la liste négative pour l'accès au marché a été appliqué sur toute la ligne ; de grands efforts ont été faits pour approfondir la réforme visant à promouvoir la décentralisation et la simplification administratives, tout en conciliant contrôle et laissez-faire et en améliorant les services. Tout cela a permis à l'environnement des affaires dans notre pays de progresser à grandes enjambées dans le classement mondial.
对外开放全方位扩大，共建“一带一路”取得重要进展。|||Notre ouverture sur l'extérieur s'est élargie tous azimuts, alors que la réalisation commune du projet « la Ceinture et la Route » a fait d'importants progrès.
首届中国国际进口博览会成功举办，海南自贸试验区启动建设。|||La première édition de l'Exposition internationale d'importation de la Chine a été couronnée de succès, et le projet de la zone pilote de libre-échange de Hainan a démarré.
货物进出口总额超过30万亿元，实际使用外资1383亿美元、稳居发展中国家首位。|||Le volume global de l'import-export de marchandises a dépassé 30 000 milliards de yuans, alors que le montant des investissements étrangers réellement utilisés s'est chiffré à 138,3 milliards de dollars américains, ce qui a permis à la Chine de conserver la première place parmi les pays en voie de développement.
——三大攻坚战开局良好。|||-- Les trois grandes batailles[ Il s'agit de la prévention et de la résorption des risques majeurs, de l'élimination ciblée de la pauvreté et de la lutte contre la pollution. -- N.D.T.] ont bien débuté.
防范化解重大风险，宏观杠杆率趋于稳定，金融运行总体平稳。|||Des efforts ont été faits pour prévenir et résorber les risques majeurs : le ratio de la dette au PIB n'a pas beaucoup évolué, et le secteur financier est resté stable dans l'ensemble.
