让多边主义的火炬照亮人类前行之路|||Que le flambeau du multilatéralisme éclaire la marche en avant de l’humanité
——在世界经济论坛“达沃斯议程”对话会上的特别致辞|||Allocution à l’édition virtuelle de l’Agenda de Davos du Forum économique mondial
（2021年1月25日，北京）|||25 janvier 2021
中华人民共和国主席 习近平|||M. Xi Jinping, Président de la République populaire de Chine
尊敬的施瓦布主席，|||Professeur Klaus Schwab,
女士们，先生们，|||Mesdames et Messieurs,
朋友们：|||Chers Amis,
过去一年，突如其来的新冠肺炎疫情肆虐全球，全球公共卫生面临严重威胁，世界经济陷入深度衰退，人类经历了史上罕见的多重危机。|||L’année 2020 a été marquée par l’éclatement soudain de la pandémie de COVID-19. La santé publique mondiale a fait face à une menace grave et l’économie mondiale a plongé dans une récession profonde. L’humanité a affronté de multiples crises rarement vues dans l’histoire.
这一年，各国人民以巨大的决心和勇气，同病魔展开殊死搏斗，依靠科学理性的力量，弘扬人道主义精神，全球抗疫取得初步成效。|||L’année 2020 a aussi été témoin de la détermination et du courage extraordinaires de tous les peuples du monde dans la lutte contre le coronavirus. Guidée par la science, la raison et l’esprit humanitaire, cette lutte mondiale a enregistré de premiers résultats.
现在，疫情还远未结束，近期又出现反弹，抗疫仍在继续，但我们坚信，寒冬阻挡不了春天的脚步，黑夜遮蔽不住黎明的曙光。|||Aujourd’hui, l’épidémie est loin d’être terminée. La récente résurgence de l’épidémie nous rappelle qu’il faut poursuivre l’effort. Mais nous sommes convaincus que l’hiver ne saurait jamais empêcher l’arrivée du printemps et que l’obscurité sera chassée par le soleil levant.
人类一定能够战胜疫情，在同灾难的斗争中成长进步、浴火重生。|||L’humanité vaincra le virus et sortira plus forte de l’épreuve.
女士们，先生们，|||Mesdames et Messieurs,
朋友们：|||Chers Amis,
历史总在不断前进，世界回不到从前。|||L’Histoire est en marche et le monde ne sera jamais comme avant.
我们今天所作的每一个抉择、采取的每一项行动，都将决定世界的未来。|||Chaque décision, chaque action que nous prenons aujourd’hui façonnera l’avenir du monde.
我们要解决好这个时代面临的四大课题。|||Il est important pour nous d’accomplir quatre tâches majeures de notre époque.
第一，加强宏观经济政策协调，共同推动世界经济强劲、可持续、平衡、包容增长。|||La première est de renforcer la coordination des politiques macroéconomiques et de promouvoir ensemble une croissance forte, durable, équilibrée et inclusive de l’économie mondiale.
人类正在遭受第二次世界大战结束以来最严重的经济衰退，各大经济板块历史上首次同时遭受重创，全球产业链供应链运行受阻，贸易和投资活动持续低迷。|||Nous traversons aujourd’hui la récession la plus grave depuis la fin de la Seconde Guerre mondiale. Pour la première fois dans l’histoire, les économies de toutes les régions ont été durement touchées en même temps. Les chaînes industrielles et d’approvisionnement mondiales sont entravées, le commerce et l’investissement restent faibles.
各国出台数万亿美元经济救助措施，但世界经济复苏势头仍然很不稳定，前景存在很大不确定性。|||Malgré les milliers de milliards de dollars dégagés par les divers pays dans leurs plans de relance, la reprise mondiale est peu solide, et les perspectives, incertaines.
我们既要把握当下，统筹疫情防控和经济发展，加强宏观经济政策支持，推动世界经济早日走出危机阴影，更要放眼未来，下决心推动世界经济动力转换、方式转变、结构调整，使世界经济走上长期健康稳定发展的轨道。|||Nous devons être à la hauteur du moment pour promouvoir de manière coordonnée la réponse sanitaire et le développement économique, renforcer le soutien des politiques macroéconomiques et sortir rapidement l’économie mondiale de la crise. Et plus important encore, nous devons avoir une vision d’avenir et une détermination réelle pour faire émerger de nouveaux moteurs et modes de croissance de l’économie mondiale et perfectionner sa structure, de sorte à mettre l’économie mondiale sur une voie de développement sain et régulier sur le long terme.
第二，摒弃意识形态偏见，共同走和平共处、互利共赢之路。|||La deuxième est de rejeter les préjugés idéologiques et de poursuivre ensemble une voie de coexistence pacifique, de bénéfice mutuel et de coopération gagnant-gagnant.
世界上没有两片完全相同的树叶，也没有完全相同的历史文化和社会制度。|||Il n’existe pas deux feuilles d’arbre identiques, et il n’existe pas non plus les mêmes histoires, cultures ou systèmes sociaux.
各国历史文化和社会制度各有千秋，没有高低优劣之分，关键在于是否符合本国国情，能否获得人民拥护和支持，能否带来政治稳定、社会进步、民生改善，能否为人类进步事业作出贡献。|||Chaque pays est unique avec son histoire, sa culture et son système social. Aucun n’est supérieur aux autres. L’essentiel, c’est de savoir s’ils s’adaptent aux conditions nationales du pays, s’ils sont soutenus par le peuple, s’ils apportent la stabilité politique, le progrès social et la vie meilleure et s’ils contribuent au progrès de l’humanité.
各国历史文化和社会制度差异自古就存在，是人类文明的内在属性。|||Les différences en termes d’histoire, de culture et de système social existent depuis toujours. Elles sont une caractéristique inhérente à la civilisation humaine.
没有多样性，就没有人类文明。多样性是客观现实，将长期存在。|||Il n’y a pas de civilisation humaine sans diversité, et cette diversité existe et existera pour toujours.
差异并不可怕，可怕的是傲慢、偏见、仇视，可怕的是想把人类文明分为三六九等，可怕的是把自己的历史文化和社会制度强加给他人。|||Ce qui est à craindre, ce n’est pas la différence, c’est l’arrogance, le préjugé et la haine ; c’est la tentative de créer une hiérarchie des civilisations et d’imposer l’histoire, la culture et le système social de l’un aux autres.
各国应该在相互尊重、求同存异基础上实现和平共处，促进各国交流互鉴，为人类文明发展进步注入动力。|||Les pays doivent rechercher une coexistence pacifique sur la base du respect mutuel et de l’élargissement du terrain d’entente par-delà les différences, et ils doivent promouvoir les échanges et l’inspiration mutuelle pour insuffler de l’impulsion au développement de la civilisation humaine.
第三，克服发达国家和发展中国家发展鸿沟，共同推动各国发展繁荣。|||La troisième est de réduire le fossé entre pays développés et pays en développement et de promouvoir ensemble le progrès et la prospérité pour tous.
当前，公平问题日益突出，南北差距有待弥合，可持续发展事业面临严峻挑战。|||Aujourd’hui, les inégalités s’accroissent, l’écart Nord-Sud se creuse, et le développement durable fait face à de sérieux défis.
疫情之下，各国经济复苏表现分化，南北发展差距面临扩大甚至固化风险。|||Vu les impacts de l’épidémie, la reprise économique des pays suit des trajectoires différentes et l’écart Nord-Sud risque de se creuser davantage et de s’installer durablement.
广大发展中国家普遍期望获得更多发展资源和空间，要求在全球经济治理中享有更多代表性和发言权。|||Les pays en développement souhaitent avoir accès à plus de ressources et d’espace de développement, et revendiquent le renforcement de la représentation et du droit à la parole dans la gouvernance économique mondiale.
应该看到，发展中国家发展起来了，整个世界繁荣稳定就会有更加坚实的基础，发达国家也将从中受益。|||Nous devons reconnaître que le développement des pays en développement permettra de consolider la base de la prospérité et de la stabilité mondiales, et profitera aussi aux pays développés.
国际社会应该着眼长远、落实承诺，为发展中国家发展提供必要支持，保障发展中国家正当发展权益，促进权利平等、机会平等、规则平等，让各国人民共享发展机遇和成果。|||La communauté internationale doit, avec une vision de long terme, honorer ses engagements d’accorder un soutien nécessaire aux pays en développement, de garantir leurs intérêts de développement légitimes, et de promouvoir l’égalité des droits, des chances et des règles, pour que tous les pays puissent bénéficier des opportunités et des fruits de développement.
第四，携手应对全球性挑战，共同缔造人类美好未来。|||La quatrième est de travailler ensemble à surmonter les défis planétaires et de bâtir un meilleur avenir pour l’humanité.
在经济全球化时代，类似新冠肺炎疫情的突发公共卫生事件绝不会是最后一次，全球公共卫生治理亟待加强。|||À l’ère de la mondialisation économique, les urgences de santé publique comme la COVID-19 pourraient réapparaître. La gouvernance mondiale de santé publique doit être renforcée.
地球是人类赖以生存的唯一家园，加大应对气候变化力度，推动可持续发展，关系人类前途和未来。|||La planète Terre est notre seul foyer. Nous devons intensifier l’effort pour lutter contre le changement climatique et promouvoir un développement durable. Car c’est l’avenir de l’humanité qui est en jeu.
人类面临的所有全球性问题，任何一国想单打独斗都无法解决，必须开展全球行动、全球应对、全球合作。|||Aucun problème mondial ne peut être réglé par un seul pays. Il est impératif d’avoir l’action mondiale, la réponse mondiale et la coopération mondiale.
女士们，先生们，|||Mesdames et Messieurs,
朋友们！|||Chers Amis,
世界上的问题错综复杂，解决问题的出路是维护和践行多边主义，推动构建人类命运共同体。|||Les problèmes auxquels le monde est confronté sont complexes et compliqués. Pour en sortir, il est essentiel de porter le multilatéralisme et de bâtir une communauté d’avenir partagé pour l’humanité.
——我们要坚持开放包容，不搞封闭排他。|||Premièrement, nous devons poursuivre l’ouverture et l’inclusion et rejeter la fermeture et l’exclusion.
多边主义的要义是国际上的事由大家共同商量着办，世界前途命运由各国共同掌握。|||Le multilatéralisme signifie que les affaires internationales doivent être gérées avec les consultations, et que l’avenir du monde, déterminé conjointement par tous.
在国际上搞“小圈子”、“新冷战”，排斥、威胁、恐吓他人，动不动就搞脱钩、断供、制裁，人为造成相互隔离甚至隔绝，只能把世界推向分裂甚至对抗。|||Créer de petits cercles ou déclencher une nouvelle guerre froide, chercher à exclure, à menacer et à intimider, recourir arbitrairement au découplage, à la rupture d’approvisionnement ou aux sanctions, et créer l’éloignement ou l’isolement ne peuvent entraîner le monde que dans la division, voire dans la confrontation.
一个分裂的世界无法应对人类面临的共同挑战，对抗将把人类引入死胡同。|||Nous ne pouvons pas relever les défis communs dans un monde divisé, et la confrontation nous conduira à l’impasse.
在这个问题上，人类付出过惨痛代价。|||Voilà une leçon douloureusement acquise.
殷鉴不远，我们决不能再走那条老路。|||Elle résonne encore. Nous ne devons jamais reprendre le chemin du passé.
我们要秉持人类命运共同体理念，坚守和平、发展、公平、正义、民主、自由的全人类共同价值，摆脱意识形态偏见，最大程度增强合作机制、理念、政策的开放性和包容性，共同维护世界和平稳定。|||La bonne approche est de poursuivre la vision de la communauté d’avenir partagé pour l’humanité. Nous devons porter les valeurs communes de l’humanité, à savoir la paix, le développement, l’équité, la justice, la démocratie et la liberté, se débarrasser des préjugés idéologiques, rendre les mécanismes, principes et politiques de coopération les plus ouverts et les plus inclusifs possible et préserver ensemble la paix et la stabilité dans le monde.
要建设开放型世界经济，坚定维护多边贸易体制，不搞歧视性、排他性标准、规则、体系，不搞割裂贸易、投资、技术的高墙壁垒。|||Il nous faut bâtir une économie mondiale ouverte, sauvegarder le système commercial multilatéral, rejeter les normes, règles et systèmes discriminatoires et exclusifs, et briser les barrières dans le commerce, l’investissement et les échanges technologiques.
