在二十国集团领导人利雅得峰会“守护地球”主题边会上的致辞|||ALLOCUTION À LA RÉUNION THÉMATIQUE « SAUVEGARDER LA PLANÈTE » DU SOMMET DU G20 À RIYAD
（2020年11月22日，北京）|||22 novembre 2020
中华人民共和国主席 习近平|||M. XI JINPING, PRÉSIDENT DE LA RÉPUBLIQUE POPULAIRE DE CHINE
各位同事，|||Chers Collègues,
朋友们：|||Chers Amis,
地球是我们的共同家园。|||La planète Terre est notre foyer commun.
我们要秉持人类命运共同体理念，携手应对气候环境领域挑战，守护好这颗蓝色星球。|||Nous devons porter la vision de la communauté d’avenir partagé pour l’humanité et travailler main dans la main pour répondre aux défis climatiques et environnementaux afin de préserver cette Planète bleue.
在此，我愿分享几点看法。|||Sur ce sujet, j’aimerais partager avec vous quelques-unes de mes réflexions.
第一，加大应对气候变化力度。|||Premièrement, renforcer la lutte contre le changement climatique.
二十国集团要继续发挥引领作用，在《联合国气候变化框架公约》指导下，推动应对气候变化《巴黎协定》全面有效实施。|||Le G20 doit continuer à jouer son rôle leader et promouvoir, à la lumière de la Convention-cadre des Nations Unies sur les changements climatiques, la mise en œuvre intégrale et effective de l’Accord de Paris.
不久前，我宣布中国将提高国家自主贡献力度，力争二氧化碳排放2030年前达到峰值，2060年前实现碳中和。|||J’ai annoncé récemment l’initiative de la Chine d’augmenter ses contributions déterminées au niveau national pour atteindre le pic des émissions de CO2 avant 2030 et réaliser la neutralité carbone d’ici 2060.
中国言出必行，将坚定不移加以落实。|||La Chine honorera ses engagements en y œuvrant avec détermination.
第二，深入推进清洁能源转型。|||Deuxièmement, approfondir la transition vers les énergies propres.
中方赞赏沙特提出碳循环经济理念，支持后疫情时代能源低碳转型，实现人人享有可持续能源目标。|||La Chine salue l’initiative de l’Arabie Saoudite sur l’économie circulaire du carbone et soutient la transition énergétique bas carbone dans l’après-COVID-19 afin d’atteindre les objectifs de l’initiative Énergie durable pour tous.
中国建成了全球最大的清洁能源系统，新能源汽车产销量连续5年居世界首位。|||La Chine a mis en place le plus grand système d’énergie propre dans le monde, et occupé depuis cinq ans consécutifs le premier rang mondial en terme de production et de vente de véhicules à énergies nouvelles.
根据“十四五”规划和2035年远景目标建议，中国将推动能源清洁低碳安全高效利用，加快新能源、绿色环保等产业发展，促进经济社会发展全面绿色转型。|||Conformément aux Recommandations sur l’élaboration du 14e Plan quinquennal pour le développement économique et social et des Objectifs à long terme pour 2035, la Chine œuvrera à promouvoir l’utilisation propre, bas carbone, sûre et efficace des énergies et à accélérer le développement des énergies nouvelles et des industries vertes, en vue d’une transition verte dans tous les domaines du développement économique et social.
第三，构筑尊重自然的生态系统。|||Troisièmement, protéger l’écosystème dans le respect de la nature.
中方支持二十国集团在减少土地退化、保护珊瑚礁、应对海洋塑料垃圾等领域深化合作，打造更牢固的全球生态安全屏障。|||La Chine soutient une coopération approfondie au sein du G20 pour réduire la dégradation des sols, conserver les récifs coralliens et lutter contre les déchets plastiques en mer, afin de bâtir un rempart de la sécurité écologique mondiale plus solide.
《生物多样性公约》第十五次缔约方大会将于明年5月在中国昆明举行，中方诚挚欢迎各方出席，期待大会为未来一个时期全球生物多样性保护设定目标，采取行动。|||La 15e réunion de la Conférence des Parties à la Convention sur la diversité biologique se tiendra en mai prochain à Kunming en Chine. La Chine souhaite la bienvenue à toutes les parties à cet événement qui, nous espérons, sera l’occasion de fixer des objectifs et de prendre des actions pour la conservation de la biodiversité mondiale dans les années à venir.
让我们携起手来，共同建设清洁美丽的世界！|||À nous de travailler main dans la main pour construire un monde propre et beau.
谢谢大家。|||Je vous remercie.
