守望相助共克疫情 携手同心推进合作|||TRAVAILLONS MAIN DANS LA MAIN POUR VAINCRE LA COVID-19 ET PROMOUVOIR LA COOPÉRATION
——在金砖国家领导人第十二次会晤上的讲话|||―Allocution au 12e Sommet des BRICS
（2020年11月17日，北京）|||Beijing, 17 novembre 2020
中华人民共和国主席 习近平|||M. Xi Jinping, Président de la République populaire de Chine
尊敬的普京总统，|||Excellence, Monsieur le Président Vladimir Poutine,
尊敬的莫迪总理，|||Excellence, Monsieur le Premier Ministre Narendra Modi,
尊敬的拉马福萨总统，|||Excellence, Monsieur le Président Cyril Ramaphosa,
尊敬的博索纳罗总统：|||Excellence, Monsieur le Président Jair Bolsonaro,
首先，感谢普京总统和俄罗斯政府为这次金砖国家领导人会晤所做精心安排。|||Tout d’abord, je tiens à remercier le Président Poutine et le gouvernement russe pour les dispositions attentionnées qui ont été prises pour ce sommet.
当前，世纪疫情和百年变局交织，国际格局深刻演变。|||Actuellement, le monde est confronté à une épidémie et à des changements jamais connus depuis un siècle, et la situation internationale traverse de profondes transformations.
在这样一个重要时刻，我们举行这次会晤，共商抗疫合作大计，共绘金砖发展蓝图，具有特殊重要意义。|||Le présent sommet, organisé à ce moment crucial, nous offre l’occasion d’échanger sur la coopération contre la COVID-19 et de planifier le développement des BRICS, et revêt donc une signification particulière et importante.
环顾全球，疫情使各国人民生命安全和身体健康遭受巨大威胁，全球公共卫生体系面临严峻考验，人类社会正在经历百年来最严重的传染病大流行。|||Partout dans le monde, la COVID-19 menace gravement la vie et la santé des peuples, et met à rude épreuve le système mondial de santé publique. La société humaine vit la pandémie la plus grave du siècle.
国际贸易和投资急剧萎缩，人员、货物流动严重受阻，不稳定不确定因素层出不穷，世界经济正在经历上世纪30年代大萧条以来最严重的衰退。|||Le commerce et les investissements internationaux reculent fortement, la mobilité humaine et la circulation des marchandises sont gravement entravées, et des facteurs d’instabilité et d’incertitude ne cessent de s’accroître. L’économie mondiale est plongée dans la plus grave récession depuis la Grande Dépression des années 1930.
单边主义、保护主义、霸凌行径愈演愈烈，治理赤字、信任赤字、发展赤字、和平赤字有增无减。|||Les pratiques unilatéralistes, protectionnistes et d’intimidation se multiplient et les déficits de la gouvernance, de la confiance, du développement et de la paix se creusent chaque jour davantage.
同时，我们坚信，和平与发展的时代主题没有改变，世界多极化和经济全球化的时代潮流也不可能逆转。|||Cela dit, nous sommes toujours convaincus que la paix et le développement demeurent le thème de notre temps et que le courant historique de la multipolarisation et de la mondialisation économique est irréversible.
我们要为人民福祉着想，秉持人类命运共同体理念，用实际行动为建设美好世界作出应有贡献。|||Nous devons veiller au bien-être de nos peuples, œuvrer à la construction d’une communauté d’avenir partagé pour l’humanité, et contribuer par des actions concrètes à l’avènement d’un monde meilleur.
——我们要坚持多边主义，维护世界和平稳定。|||― Nous aurons à poursuivre le multilatéralisme et à préserver la paix et la stabilité dans le monde.
历史昭示我们，恪守多边主义，追求公平正义，战乱冲突可以避免；搞单边主义、强权政治，纷争对抗将愈演愈烈。|||L’histoire nous enseigne que la poursuite du multilatéralisme, de l’équité et de la justice permet d’éviter les conflits, tandis que la pratique de l’unilatéralisme et de la politique du plus fort accentue les confrontations.
如果无视规则和法治，继续大搞单边霸凌、“退群毁约”，不仅违背世界人民普遍愿望，也是对各国正当权利和尊严的践踏。|||Faire fi des règles et de l’état de droit, et s’obstiner dans l’unilatéralisme, l’intimidation et le désengagement vont à l’encontre de la volonté des peuples et bafouent les droits et intérêts légitimes et la dignité de tous les pays du monde.
面对多边和单边、公道和霸道之争，金砖国家要坚定维护国际公平正义，高举多边主义旗帜，捍卫联合国宪章宗旨和原则，维护以联合国为核心的国际体系，维护以国际法为基础的国际秩序。|||Placés devant le choix entre le multilatéralisme et l’unilatéralisme, entre la justice et l’hégémonie, les pays des BRICS ont le devoir de défendre fermement la justice et l’équité internationales et de porter haut levé l’étendard du multilatéralisme. Nous devons défendre les buts et principes de la Charte des Nations Unies, le système international centré sur l’ONU et l’ordre international basé sur le droit international.
各国应该超越意识形态，尊重彼此根据自身国情选择的社会制度、经济模式、发展道路。|||Il est important pour tous les pays de transcender les différences idéologiques et de respecter le système social, le modèle économique et la voie de développement choisis par chacun en fonction de ses réalités nationales.
要倡导共同、综合、合作、可持续的安全观，通过协商和谈判化解分歧，反对干涉内政，反对单边制裁和“长臂管辖”，共同营造和平稳定的发展环境。|||Il faut promouvoir le concept de sécurité commune, globale, coopérative et durable, aplanir les divergences par consultations et négociations, rejeter l’ingérence dans les affaires intérieures d’autrui, les sanctions unilatérales et l’application extraterritoriale des lois nationales, pour créer un environnement de développement pacifique et stable.
——我们要坚持团结协作，合力克服疫情挑战。|||― Nous aurons à poursuivre la solidarité et la coopération et à relever ensemble les défis posés par la COVID-19.
当前，病毒仍在全球肆虐，疫情还在不断反复，夺取全球抗疫胜利仍需付出艰苦努力。|||Le virus sévit dans le monde et ressurgit sans cesse. Il faut redoubler d’efforts pour en triompher.
经过近一年的抗疫斗争，许多国家在疫情防控方面积累了宝贵经验，在药物和疫苗研发上取得了显著进展。|||À travers près d’un an de combat, beaucoup de pays ont accumulé de précieuses expériences de contrôle et de traitement et réalisé des progrès notables dans le développement de médicaments et de vaccins.
近一年的抗疫实践证明，只要团结一心、科学防治，病毒传播可以控制，疫情影响能够克服。|||Tous ces mois de lutte prouvent que c’est par des efforts solidaires et des approches scientifiques que nous pourrons endiguer la propagation du virus et surmonter les impacts de l’épidémie.
我们要坚持人民至上、生命至上，调集一切资源、尽一切努力保护人民生命安全和身体健康。|||Le peuple et la vie doivent être placés au-dessus de tout. Nous devons mobiliser toutes les ressources et faire tout notre possible pour protéger la vie et la santé des peuples.
要加强国际联防联控，分享疫情信息，交流抗疫经验，遏制病毒传播。|||Il faut renforcer la réponse collective internationale, partager les informations et échanger les expériences sur la lutte anti-COVID-19 afin d’endiguer la propagation du virus.
要支持世界卫生组织发挥关键领导作用。|||Nous devons soutenir le rôle leader crucial de l’OMS.
中国企业正在同俄罗斯、巴西伙伴合作开展疫苗三期临床试验，我们也愿同南非、印度开展有关合作。|||Des entreprises chinoises coopèrent avec des partenaires russes et brésiliens dans les essais cliniques de phase III de vaccins. Et nous sommes prêts à coopérer avec l’Afrique du Sud et l’Inde dans ce domaine.
中方已经加入“新冠肺炎疫苗实施计划”，将在这个平台上同各国特别是其他发展中国家分享疫苗。|||La Chine a rejoint le mécanisme COVAX et, à travers cette plateforme, partagera les vaccins avec les autres pays, surtout les autres pays en développement.
我们愿积极考虑向有需要的金砖国家提供疫苗。|||Nous envisagerons activement de fournir des vaccins aux pays des BRICS qui en ont besoin.
为推动金砖国家疫苗研发中心建设，中方已经设立疫苗研发中国中心，愿通过线上线下相结合方式，推进五国疫苗联合研发和试验、合作建厂、授权生产、标准互认等工作。|||Pour promouvoir la construction d’un centre des BRICS de R&D de vaccins, nous avons désigné un centre chinois et entendons faire avancer, par des actions en ligne et hors ligne, la coopération entre les pays des BRICS dans la R&D et les essais de vaccins, la construction des usines, la production autorisée, la reconnaissance mutuelle des normes et d’autres domaines.
我倡议五国召开传统医药研讨会，探索传统医药在新冠肺炎防治方面的作用，为全球疫情防控增添有力武器。|||Je propose de tenir un séminaire des BRICS sur les médecines traditionnelles pour explorer leur utilisation dans le traitement de la COVID-19 et en faire une arme puissante pour la lutte internationale contre le virus.
事实证明，将疫情政治化、污名化，搞“甩锅”、推责，干扰的是全球合作抗疫大局。|||Comme les faits l’ont prouvé, les pratiques de politisation et de stigmatisation et le rejet des responsabilités sur autrui ne font que pénaliser la coopération internationale contre la COVID-19.
我们要推动以团结取代分歧，以理性消除偏见，扫除“政治病毒”，凝聚起各国携手抗疫的最大合力。|||Nous devons faire valoir la solidarité et la raison pour transcender les divergences, dissiper les préjugés, éradiquer le « virus politique », et former la plus grande synergie internationale contre la COVID-19.
——我们要坚持开放创新，促进世界经济复苏。|||― Nous aurons à poursuivre l’ouverture et l’innovation et à promouvoir la relance de l’économie mondiale.
根据国际货币基金组织预测，今年世界经济将萎缩4.4%，新兴市场国家和发展中国家将经历60年来首次负增长。|||Selon les prévisions du FMI, l’économie mondiale enregistrerait une contraction de 4,4% cette année, et les pays émergents et les pays en développement connaîtraient une croissance négative pour la première fois depuis 60 ans.
一手防疫情，一手稳经济，是各国刻不容缓的任务。|||Il est urgent pour tous les pays d’assurer à la fois la maîtrise de la situation sanitaire et le développement de l’économie.
我们要在确保安全前提下，积极推进经济复苏，在疫情防控常态化中实现经济社会活动有序开展。|||Avec toutes les précautions prises et en assurant le contrôle régulier de la COVID-19, nous devons travailler activement à la reprise économique et au déroulement normal des activités économiques et sociales.
要加强宏观经济政策协调，推动落实“人员与货物跨境流动便利化倡议”，保障产业链、供应链安全畅通，助力各国复工复产、恢复经济。|||Il faut renforcer la coordination des politiques macroéconomiques, promouvoir la mise en œuvre de l’Initiative pour la facilitation des flux transfrontaliers de personnes et de marchandises et garantir le fonctionnement sûr et sans à-coup des chaînes industrielles et d’approvisionnement, afin de contribuer à la reprise des activités et à la relance économique des différents pays.
利用疫情搞“去全球化”，鼓吹所谓“经济脱钩”、“平行体系”，最终只会损害本国和各国共同利益。|||Ceux qui profitent de la COVID-19 pour pratiquer la « démondialisation » et prêcher les prétendus « découplage économique » et « systèmes parallèles » finiront par compromettre leurs propres intérêts et les intérêts communs de tous.
当前形势下，我们要坚定不移构建开放型世界经济，维护以世界贸易组织为核心的多边贸易体制，反对滥用国家安全之名行保护主义之实。|||Dans le contexte actuel, nous devons œuvrer avec une détermination indéfectible à construire une économie mondiale ouverte, à préserver le système commercial multilatéral centré sur l’OMC et à lutter contre le protectionnisme pratiqué au nom de la sécurité nationale.
要利用好疫情催生的新业态新模式，加强科技创新合作，营造开放、公平、公正、非歧视的营商环境，共同实现更高质量、更具韧性的发展。|||Il faut bien développer les nouveaux secteurs et modes d’activités économiques qui sont apparus dans le contexte de la COVID-19, renforcer la coopération en matière d’innovation scientifique et technologique et créer un environnement d’affaires ouvert, équitable, juste et non discriminatoire, afin de réaliser ensemble un développement plus résilient et de meilleure qualité.
中方愿同各方一道加快建设金砖国家新工业革命伙伴关系。|||La Chine entend travailler avec les autres parties à accélérer la construction du partenariat des BRICS sur la nouvelle révolution industrielle.
我们将在福建省厦门市建立金砖国家新工业革命伙伴关系创新基地，开展政策协调、人才培养、项目开发等领域合作，欢迎金砖国家积极参与。|||Elle mettra en place dans ce cadre une base d’innovation à Xiamen dans la province du Fujian, pour mener une coopération notamment en matière de coordination des politiques, de formation de compétences et de développement de projets, et nous serons heureux de voir les autres pays des BRICS y participer activement.
近期，中方发起了《全球数据安全倡议》，推动共建和平、安全、开放、合作、有序的网络空间，促进数字经济健康发展，希望得到金砖国家支持。|||La Chine a récemment lancé l’Initiative mondiale sur la sécurité des données en vue de promouvoir la construction d’un cyberespace marqué par la paix, la sécurité, l’ouverture, la coopération et l’ordre, et de favoriser le développement sain de l’économie numérique, et nous souhaitons pouvoir bénéficier du soutien des autres pays des BRICS sur ce sujet.
——我们要坚持民生优先，推进全球可持续发展。|||― Nous aurons à accorder la priorité au bien-être de la population et à promouvoir le développement durable dans le monde.
发展是解决一切问题的总钥匙。|||Le développement est la clé à tous les problèmes.
无论是消除疫情影响、重回生活正轨，还是平息冲突动乱、解决人道主义危机，根本上都要靠以人民为中心的发展。|||Un développement centré sur le peuple est fondamental pour venir à bout des conséquences de la COVID-19, reprendre la vie normale, mettre fin aux conflits et troubles et régler les crises humanitaires.
世界银行预测，2020年全球人均收入将下降3.6%，8800万至1.|||Les prévisions de la Banque mondiale font état d’un recul de 3,6% des revenus par habitant dans le monde pour l’année 2020.
15亿人将因疫情陷入极端贫困。|||Entre 88 millions et 115 millions de personnes basculeront dans l’extrême pauvreté à cause de la COVID-19.
我们要直面疫情挑战，推动国际社会将落实《联合国2030年可持续发展议程》置于国际发展合作核心，将消除贫困作为首要目标，让资源更多向减贫、教育、卫生、基础设施建设等领域倾斜。|||Nous devons regarder en face les défis posés par la COVID-19, et œuvrer pour que la communauté internationale fasse de l’application du Programme de développement durable à l’horizon 2030 la mission centrale de la coopération internationale pour le développement, et de l’élimination de la pauvreté l’objectif primordial, et canalise davantage de ressources notamment vers la réduction de la pauvreté, l’éducation, la santé et les infrastructures.
要支持联合国发挥统筹协调作用，推动构建更加平等均衡的全球发展伙伴关系，让发展成果更多惠及发展中国家，更好满足弱势群体需求。|||Il faut soutenir le rôle de coordination des Nations Unies et favoriser l’instauration de partenariats mondiaux de développement plus équitables et plus équilibrés, pour que les fruits du développement profitent davantage aux pays en développement et satisfassent mieux les besoins des groupes vulnérables.
——我们要坚持绿色低碳，促进人与自然和谐共生。|||― Nous aurons à poursuivre le développement vert et sobre en carbone et à favoriser la coexistence harmonieuse entre l’homme et la nature.
全球变暖不会因疫情停下脚步，应对气候变化一刻也不能松懈。|||Le réchauffement de la planète ne s’arrêtera pas pour la COVID-19, et nous ne devons absolument pas nous relâcher, ne serait-ce qu’une minute, dans la lutte contre le changement climatique.
我们要落实好应对气候变化《巴黎协定》，恪守共同但有区别的责任原则，为发展中国家特别是小岛屿国家提供更多帮助。|||Nous avons à bien mettre en œuvre l’Accord de Paris sur le climat, à respecter scrupuleusement le principe des responsabilités communes mais différenciées, et à apporter plus d’assistance aux autres pays en développement, notamment les petits États insulaires en développement.
中国愿承担与自身发展水平相称的国际责任，继续为应对气候变化付出艰苦努力。|||La Chine entend assumer les responsabilités internationales adaptées à son stade de développement et poursuivre ses efforts ardus pour relever le défi climatique.
我不久前在联合国宣布，中国将提高国家自主贡献力度，采取更有力的政策和举措，二氧化碳排放力争于2030年前达到峰值，努力争取2060年前实现碳中和。|||J’ai déclaré récemment aux Nations Unies que la Chine augmenterait ses contributions déterminées au niveau national, adopterait des politiques et mesures plus vigoureuses, et redoublerait d’efforts pour atteindre le pic de ses émissions de CO2 avant 2030 et réaliser la neutralité carbone d’ici 2060.
我们将说到做到！|||Nous tiendrons notre parole.
各位同事！|||Chers Collègues,
不久前，中共十九届五中全会审议通过了关于制定第十四个五年规划的建议，提出全面建成小康社会奋斗目标将如期实现，明年中国将开启全面建设社会主义现代化国家新征程，我们将科学把握新发展阶段，坚定贯彻新发展理念，积极构建以国内大循环为主体、国内国际双循环相互促进的新发展格局。|||La 5e session plénière du Comité central issu du 19e Congrès du Parti communiste chinois, qui s’est tenue récemment, a examiné et adopté les Recommandations sur l’élaboration du 14e Plan quinquennal. La session a souligné que la construction intégrale d’une société de moyenne aisance serait parachevée comme prévu, et que la Chine entamerait l’année prochaine une nouvelle marche vers la construction sur tous les plans d’un pays socialiste moderne. Sur la base d’une analyse scientifique du nouveau stade de développement de la Chine, nous poursuivrons fermement le nouveau concept de développement et travaillerons activement à créer une nouvelle dynamique de développement où le circuit domestique est le pilier principal et que le circuit domestique et le circuit international se renforcent mutuellement.
我们将下大气力扩大内需，全面深化改革，推动科技创新，为国内经济发展增添动力。|||Nous prendrons des mesures énergiques pour élargir la demande intérieure, approfondir la réforme de manière globale et promouvoir l’innovation technologique, afin d’insuffler plus de vitalité à l’économie chinoise.
中国开放的大门不会关闭，只会越开越大。|||La Chine ne refermera pas ses portes, mais les ouvrira toujours davantage.
我们将更加积极地融入全球市场，更加主动地深化对外合作，为世界经济复苏发展创造更多机遇和空间。|||Elle travaillera plus activement à s’intégrer dans le marché mondial et à approfondir la coopération avec le reste du monde, pour apporter plus d’opportunités et de possibilités à la reprise et à la croissance de l’économie mondiale.
我们都在同一艘船上。|||Nous sommes tous dans le même bateau.
风高浪急之时，我们更要把准方向，掌握好节奏，团结合作，乘风破浪，行稳致远，驶向更加美好的明天。|||Quand le vent souffle fort et que les vagues se lèvent, il faut bien tenir le cap et garder le bon rythme. C’est par la solidarité et la coopération que nous braverons toutes sortes d’adversités et avancerons résolument vers un avenir meilleur.
谢谢。|||Je vous remercie.
