政府工作报告|||Rapport d'activité du gouvernement
——2018年3月5日在第十三届全国人民代表大会第一次会议上|||Présenté le 5 mars 2018 à la première session de la XIIIe Assemblée populaire nationale
国务院总理　李克强|||Li Keqiang Premier ministre du Conseil des affaires d'État
各位代表：|||Camarades députés,
现在，我代表国务院，向大会报告过去五年政府工作，对今年工作提出建议，请予审议，并请全国政协委员提出意见。|||Au nom du Conseil des affaires d'État, j'ai l'honneur de soumettre à l'examen de la présente session de l'Assemblée le rapport sur le travail accompli par le gouvernement au cours des cinq dernières années, ainsi que nos propositions concernant le programme de l'année 2018. J'invite par la même occasion les membres du Comité national de la Conférence consultative politique du peuple chinois (CCPPC), qui assistent aux travaux de la présente session, à nous faire part de leurs remarques sur ce rapport.
一、过去五年工作回顾|||I. BILAN DU TRAVAIL ACCOMPLI AU COURS DES CINQ DERNIÈRES ANNÉES
第十二届全国人民代表大会第一次会议以来的五年，是我国发展进程中极不平凡的五年。|||Les cinq années écoulées depuis la première session de la XIIe Assemblée populaire nationale ont été une période exceptionnelle à bien des égards dans notre développement national.
面对极其错综复杂的国内外形势，以习近平同志为核心的党中央团结带领全国各族人民砥砺前行，统筹推进“五位一体”总体布局，协调推进“四个全面”战略布局，改革开放和社会主义现代化建设全面开创新局面。|||Face à une situation intérieure et extérieure extrêmement complexe, le Comité central du Parti rassemblé autour du camarade Xi Jinping a uni et conduit le peuple chinois multiethnique dans sa marche en avant, réussissant à faire progresser de façon planifiée les dispositions d'ensemble dites "Plan global en cinq axes" [édification sur les plans économique, politique, culturel, social et écologique] et les dispositions stratégiques des "Quatre Intégralités" [édification intégrale de la société de moyenne aisance, approfondissement intégral de la réforme, promotion intégrale de la gouvernance de l'État en vertu de la loi, application intégrale d'une discipline rigoureuse dans les rangs du Parti]. De nouvelles perspectives se sont ainsi ouvertes dans tous les domaines de la réforme et de l'ouverture, ainsi que de la modernisation socialiste.
党的十九大确立了习近平新时代中国特色社会主义思想的历史地位，制定了决胜全面建成小康社会、夺取新时代中国特色社会主义伟大胜利的宏伟蓝图和行动纲领，具有重大现实意义和深远历史意义。|||Le XIXe Congrès du Parti a confirmé la position historique de la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère, et fixé les objectifs ambitieux et le plan d'action à réaliser pour remporter la victoire décisive de l'édification intégrale de la société de moyenne aisance et faire triompher le socialisme à la chinoise de la nouvelle ère, ce qui revêt une importance primordiale pour le présent, mais aussi une immense portée historique à long terme.
各地区各部门不断增强政治意识、大局意识、核心意识、看齐意识，深入贯彻落实新发展理念，“十二五”规划胜利完成，“十三五”规划顺利实施，经济社会发展取得历史性成就、发生历史性变革。|||Habitées plus que jamais par la conscience politique, la conscience de l'intérêt général, la conscience du noyau dirigeant et la conscience de l'alignement, les autorités locales et les administrations gouvernementales ont appliqué de façon plus poussée la nouvelle vision de développement. Le XIIe Plan quinquennal a été réalisé victorieusement, et l'exécution du XIIIe Plan quinquennal a commencé dans des conditions favorables. Des succès historiques ont ainsi été remportés dans le développement socioéconomique, ce qui montre également une transformation historique.
五年来，经济实力跃上新台阶。|||Ces cinq dernières années, la puissance économique de notre pays a dépassé un nouveau palier.
国内生产总值从54万亿元增加到82.7万亿元，年均增长7.1%，占世界经济比重从11.4%提高到15%左右，对世界经济增长贡献率超过30%。|||Le PIB a réalisé une croissance annuelle moyenne de 7,1 % pour passer de 54 000 à 82 700 milliards de yuans, occupant une part de 15 % dans l'économie mondiale, contre 11,4 % précédemment, et portant à plus de 30 % notre contribution à la croissance économique mondiale.
财政收入从11.7万亿元增加到17.3万亿元。|||Les recettes budgétaires ont augmenté de 11 700 à 17 300 milliards de yuans.
