为建设更加美好的地球家园贡献智慧和力量|||AVEC NOTRE SAGESSE ET NOTRE FORCE, ŒUVRONS À LA CONSTRUCTION D’UN MONDE MEILLEUR
——在中法全球治理论坛闭幕式上的讲话|||Discours à la clôture du Séminaire sino-français sur la gouvernance mondiale
（2019年3月26日，巴黎）|||Paris, le 26 mars 2019
中华人民共和国主席　习近平|||M. Xi Jinping, Président de la République populaire de Chine
"尊敬的马克龙总统，|||Monsieur le Président Emmanuel Macron,
尊敬的默克尔总理，|||Madame la Chancelière Angela Merkel,
尊敬的容克主席，|||Monsieur le Président Jean-Claude Junker,
女士们，先生们，朋友们："|||Mesdames et Messieurs, Chers Amis,
3月的巴黎，春和景明，生机盎然。|||En ce mois printanier de mars, Paris est plein de dynamisme.
很高兴在我访问法国之际受邀出席中法全球治理论坛闭幕式。|||Pendant ma visite en France, j’ai le grand plaisir d’assister à la cérémonie de clôture du Séminaire sino-français sur la gouvernance mondiale.
昨天，与会代表围绕论坛议题，开展了富有建设性的对话研讨，取得了多方面积极成果。|||Hier, les participants ont eu, sur les sujets de ce séminaire, des discussions constructives qui ont donné des résultats positifs à bien des égards.
首先，我谨向各位参会代表表示诚挚的问候！对论坛取得成功表示衷心的祝贺！|||Je tiens tout d’abord à leur adresser mes salutations cordiales et à exprimer toutes mes félicitations pour le succès des travaux.
昨天，我同马克龙总统会晤时也围绕全球治理深入交换了意见，达成重要共识。|||Pendant nos entretiens d’hier, j’ai eu avec le Président Emmanuel Macron des échanges de vues approfondis sur la gouvernance mondiale et nous sommes parvenus à d’importants consensus.
中法同为全球治理的重要参与者，在维护世界和平安全稳定、维护多边主义和自由贸易、支持联合国发挥积极作用等重大问题上有着广泛政治共识和坚实合作基础。|||La Chine et la France sont toutes les deux acteurs importants dans la gouvernance mondiale. Elles ont une large convergence de vue sur le plan politique et une base de coopération solide en ce qui concerne la préservation de la paix, de la sécurité et de la stabilité internationales, la sauvegarde du multilatéralisme et du libre-échange, le soutien au rôle actif des Nations Unies et d’autres questions majeures.
中法两国坚持互尊互信、平等相待、开放包容、互利共赢，共同维护国际关系基本准则，共同推进全球治理完善，成为维护世界和平稳定、促进人类文明进步的重要力量。|||Les deux pays, fidèles aux principes de respect mutuel, de confiance réciproque, d’égalité, d’ouverture, de tolérance et de bénéfice pour tous, défendent ensemble les normes fondamentales régissant les relations internationales, travaillent ensemble à l’amélioration de la gouvernance mondiale et constituent des forces importantes pour la préservation de la paix et de la stabilité mondiales et la promotion du progrès de l’humanité.
刚刚我同马克龙总统、默克尔总理、容克主席举行了四方会晤，围绕多边主义、中欧战略伙伴关系发展深入探讨，达成了进一步共识。|||Je viens d’avoir une rencontre à quatre parties avec le Président Emmanuel Macron, la Chancelière Angela Merkel et le Président Jean-Claude Junker, et nous avons eu des discussions approfondies sur le multilatéralisme et le développement du partenariat global stratégique sino-européen et dégagé une plus grande convergence de vue.
女士们、先生们、朋友们！|||Mesdames et Messieurs, Chers Amis,
