共抗疫情，共促复苏，共谋和平|||ŒUVRONS ENSEMBLE POUR COMBATTRE LA COVID-19, PROMOUVOIR LA RELANCE ET SAUVEGARDER LA PAIX
——在第三届巴黎和平论坛的致辞|||Allocution à la Cérémonie officielle de la troisième édition du Forum de Paris sur la Paix
（2020年11月12日，北京）|||Beijing, 12 novembre 2020
中华人民共和国主席 习近平|||M. Xi Jinping, Président de la République populaire de Chine
尊敬的马克龙总统，|||Monsieur le Président Emmanuel Macron,
尊敬的各位同事，|||Chers Collègues,
女士们，先生们，朋友们：|||Mesdames et Messieurs, Chers Amis,
很高兴出席第三届巴黎和平论坛。|||C’est un grand plaisir pour moi de participer à la troisième édition du Forum de Paris sur la Paix.
论坛成立以来，为各方增进相互了解、完善全球治理、促进多边主义、维护世界和平提供了重要平台，发挥了积极作用。|||Depuis sa création, le Forum a fourni une plateforme importante aux différentes parties et joué un rôle actif pour renforcer la connaissance mutuelle, perfectionner la gouvernance mondiale, promouvoir le multilatéralisme et sauvegarder la paix dans le monde.
我对马克龙总统和法方作出的努力表示赞赏。|||Je tiens à saluer les efforts déployés par le Président Emmanuel Macron et la partie française.
当前，世界格局加速演变，传统安全和非传统安全威胁层出不穷，国际形势不稳定性不确定性明显上升。|||À l’heure actuelle, l’échiquier mondial évolue à un rythme accéléré, les menaces sécuritaires conventionnelles et non conventionnelles se multiplient et la situation internationale connaît une montée sensible d’instabilités et d’incertitudes.
全球性威胁和挑战需要全球性应对。|||Les menaces et les défis mondiaux appellent une réponse mondiale.
在此，我提3点倡议。|||Je voudrais, à cette occasion, partager avec vous trois propositions :
第一，团结互助，共抗疫情。|||Premièrement, faisons preuve de solidarité pour combattre ensemble la COVID-19.
新冠肺炎疫情仍在全球肆虐。|||Le virus continue de sévir dans le monde.
我们应该坚持人民至上、生命至上理念，以人为本，尊重科学，精准防治，合力应对，充分发挥世界卫生组织关键领导作用，推进国际联防联控。|||Nous devons placer le peuple et la vie humaine au-dessus de tout, donner la priorité au bien-être de la population, respecter la science, et apporter une réponse ciblée et concertée. Il faut valoriser pleinement le rôle leader crucial de l’Organisation mondiale de la Santé en faveur d’une réponse collective à la COVID-19.
中国愿继续同各国分享抗疫经验和诊疗技术，提供必要医护物资，履行中国疫苗作为全球公共产品的承诺，帮助国际社会特别是发展中国家提高应对突发公共卫生事件能力，推动构建人类卫生健康共同体。|||La Chine continuera de partager avec les autres pays ses expériences en matière de lutte contre la COVID-19 ainsi que ses techniques de diagnostic et de traitement, et de leur fournir des matériels médicaux nécessaires. Elle honorera son engagement de faire de ses vaccins un bien public mondial, et contribuera au renforcement des capacités de la communauté internationale, notamment de celles des pays en développement, en matière de réponse aux urgences de santé publique, en vue de construire une communauté de santé pour tous.
第二，开放合作，共促复苏。|||Deuxièmement, valorisons l’ouverture et la coopération pour promouvoir ensemble la relance.
两周前，中共十九届五中全会审议通过了关于制定国民经济和社会发展第十四个五年规划和2035年远景目标的建议，规划了中国未来发展。|||Il y a deux semaines, la cinquième session plénière du Comité central issu du XIXe Congrès du PCC a examiné et adopté les recommandations sur l’élaboration du 14e Plan quinquennal pour le développement économique et social et des Objectifs à long terme pour 2035, afin de planifier le développement futur de la Chine.
中国将践行新发展理念，构建新发展格局，推动高质量发展。|||La Chine poursuivra le nouveau concept de développement, construira une nouvelle dynamique de développement et promouvra un développement de qualité.
为此，我们将坚定不移深化改革、扩大开放，同国际社会一道，维护全球产业链、供应链稳定，构建开放型世界经济。|||Pour ce faire, nous restons déterminés à approfondir la réforme et à élargir l’ouverture, et travaillerons ensemble avec la communauté internationale pour assurer la stabilité des chaînes industrielles et d’approvisionnement mondiales et bâtir une économie mondiale ouverte.
中国将落实好二十国集团“暂缓最贫困国家债务偿还倡议”，积极开展国际发展合作，帮助非洲等发展中国家渡过难关。|||La Chine mettra effectivement en œuvre l’Initiative du G20 sur la suspension du service de la dette pour les pays les plus pauvres, et prendra une part active à la coopération internationale pour le développement, afin d’aider les pays en développement, notamment les pays africains, à surmonter les difficultés du moment.
绿色经济是人类发展的潮流，也是促进复苏的关键。|||L’économie verte représente l’avenir du progrès de l’humanité et constitue la clé de la relance.
中欧都坚持绿色发展理念，致力于落实应对气候变化《巴黎协定》。|||Déterminées à poursuivre un développement vert, la Chine et l’Europe travaillent toutes les deux à la mise en œuvre de l’Accord de Paris sur le changement climatique.
不久前，我提出中国将提高国家自主贡献力度，力争2030年前二氧化碳排放达到峰值，2060年前实现碳中和，中方将为此制定实施规划。|||J’ai annoncé récemment l’initiative de la Chine d’augmenter ses contributions déterminées au niveau national pour atteindre le pic des émissions de CO2 avant 2030 et réaliser la neutralité carbone d’ici 2060. Et des plans de mise en œuvre seront élaborés à ces fins.
我们愿同欧方、法方以明年分别举办生物多样性、气候变化、自然保护国际会议为契机，深化相关合作。|||La Chine entend approfondir la coopération avec l’Europe et la France dans les domaines concernés dans la perspective des conférences internationales sur la biodiversité, le changement climatique et la conservation de la nature qu’elles accueilleront respectivement l’année prochaine.
第三，秉持正义，维护和平。|||Troisièmement, défendons la justice pour préserver ensemble la paix.
我们应该坚持和平共处，尊重各国发展权利，尊重各国自主选择的发展道路和模式，坚持多边主义，反对单边主义、霸权主义、强权政治，反对各种形式的恐怖主义和极端暴力行径，维护世界公平正义和和平安全。|||Nous devons rester attachés à la coexistence pacifique et respecter le droit au développement de tous les pays et les voies et modes de développement librement choisis par chaque pays. Nous devons poursuivre le multilatéralisme, rejeter l’unilatéralisme, l’hégémonisme et la politique du plus fort, nous opposer à toute forme de terrorisme et d’actes extrémistes violents, et défendre l’équité, la justice, la paix et la sécurité dans le monde.
中国和法国同为联合国安理会常任理事国，在维护世界和平方面负有特殊重要的责任。|||La Chine et la France, toutes les deux membres permanents du Conseil de Sécurité des Nations Unies, assument des responsabilités particulières et importantes en matière de maintien de la paix dans le monde.
中国奉行独立自主的和平外交政策，始终不渝走和平发展道路。|||La Chine s’en tient à la politique étrangère d’indépendance et de paix et poursuit résolument la voie du développement pacifique.
我们呼吁各国维护国际法和国际关系基本准则，根据事情的是非曲直决定自己的立场，摒弃意识形态偏见和对立。|||Nous appelons les différents pays à préserver le droit international et les normes fondamentales régissant les relations internationales, à décider de leur position selon la réalité des faits et à rejeter les préjugés et confrontations idéologiques.
中国愿同法国在内的各国加强沟通和协调，为推动政治解决国际和地区问题、维护世界和平稳定作出积极贡献。|||La Chine est prête à intensifier le dialogue et les concertations avec la France et les autres pays, afin de contribuer activement au règlement politique des questions internationales et régionales et à la préservation de la paix et de la stabilité dans le monde.
女士们、先生们、朋友们！|||Mesdames et Messieurs, Chers Amis,
大道之行，天下为公。|||Un adage chinois dit : « la Grande Voie mène au plus grand bien de tous. »
和平与发展是时代主题，也是不可抗拒的历史潮流。|||La paix et le développement sont le thème de notre époque et représentent un courant historique irrésistible.
