单词		词频		占比
，		90		8.0%

		55		4.888888888888889%
。		45		4.0%
的		44		3.911111111111111%
联合国		18		1.6%
、		18		1.6%
多边主义		16		1.4222222222222223%
和		16		1.4222222222222223%
要		13		1.1555555555555554%
发展		13		1.1555555555555554%
是		12		1.0666666666666667%
为		11		0.9777777777777777%
中国		11		0.9777777777777777%
国际		10		0.8888888888888888%
和平		10		0.8888888888888888%
以		10		0.8888888888888888%
全球		10		0.8888888888888888%
不		8		0.7111111111111111%
共同		8		0.7111111111111111%
在		7		0.6222222222222222%
维护		7		0.6222222222222222%
推动		7		0.6222222222222222%
也		6		0.5333333333333333%
问题		6		0.5333333333333333%
行动		6		0.5333333333333333%
践行		5		0.4444444444444444%
与		5		0.4444444444444444%
安全		5		0.4444444444444444%
各国		5		0.4444444444444444%
安理会		4		0.35555555555555557%
核心		4		0.35555555555555557%
高		4		0.35555555555555557%
周年		4		0.35555555555555557%
政治		4		0.35555555555555557%
必须		4		0.35555555555555557%
合作		4		0.35555555555555557%
不要		4		0.35555555555555557%
越		4		0.35555555555555557%
国家		4		0.35555555555555557%
都		4		0.35555555555555557%
实现		4		0.35555555555555557%
解决		4		0.35555555555555557%
世界		4		0.35555555555555557%
可持续		4		0.35555555555555557%
公共		4		0.35555555555555557%
继续		4		0.35555555555555557%
目标		4		0.35555555555555557%
新		4		0.35555555555555557%
全面		4		0.35555555555555557%
50年		4		0.35555555555555557%
为了		4		0.35555555555555557%
体系		3		0.26666666666666666%
级别		3		0.26666666666666666%
会议		3		0.26666666666666666%
上		3		0.26666666666666666%
各位		3		0.26666666666666666%
同事		3		0.26666666666666666%
成立		3		0.26666666666666666%
了		3		0.26666666666666666%
中		3		0.26666666666666666%
关系		3		0.26666666666666666%
作用		3		0.26666666666666666%
之		3		0.26666666666666666%
疫情		3		0.26666666666666666%
我们		3		0.26666666666666666%
走		3		0.26666666666666666%
需要		3		0.26666666666666666%
基础		3		0.26666666666666666%
而		3		0.26666666666666666%
公平		3		0.26666666666666666%
由		3		0.26666666666666666%
治理		3		0.26666666666666666%
应该		3		0.26666666666666666%
能		3		0.26666666666666666%
聚焦		3		0.26666666666666666%
将		3		0.26666666666666666%
本国		3		0.26666666666666666%
产品		3		0.26666666666666666%
历史		3		0.26666666666666666%
这		3		0.26666666666666666%
非		3		0.26666666666666666%
更加		3		0.26666666666666666%
发展中国家		3		0.26666666666666666%
他们		3		0.26666666666666666%
团结		2		0.17777777777777778%
真正		2		0.17777777777777778%
“		2		0.17777777777777778%
：		2		0.17777777777777778%
”		2		0.17777777777777778%
中华		2		0.17777777777777778%
人民		2		0.17777777777777778%
共和国		2		0.17777777777777778%
主席		2		0.17777777777777778%
去年		2		0.17777777777777778%
习近平		2		0.17777777777777778%
出席		2		0.17777777777777778%
75		2		0.17777777777777778%
系列		2		0.17777777777777778%
坚持		2		0.17777777777777778%
道路		2		0.17777777777777778%
《		2		0.17777777777777778%
》		2		0.17777777777777778%
不是		2		0.17777777777777778%
一		2		0.17777777777777778%
旗帜		2		0.17777777777777778%
就		2		0.17777777777777778%
地位		2		0.17777777777777778%
应当		2		0.17777777777777778%
共赢		2		0.17777777777777778%
全人类		2		0.17777777777777778%
尊重		2		0.17777777777777778%
对话		2		0.17777777777777778%
任何		2		0.17777777777777778%
致力于		2		0.17777777777777778%
一道		2		0.17777777777777778%
普遍		2		0.17777777777777778%
正义		2		0.17777777777777778%
协定		2		0.17777777777777778%
远		2		0.17777777777777778%
利益		2		0.17777777777777778%
持续		2		0.17777777777777778%
发挥		2		0.17777777777777778%
提供		2		0.17777777777777778%
通过		2		0.17777777777777778%
热点		2		0.17777777777777778%
等		2		0.17777777777777778%
强制		2		0.17777777777777778%
举措		2		0.17777777777777778%
把		2		0.17777777777777778%
重视		2		0.17777777777777778%
2030年		2		0.17777777777777778%
传统		2		0.17777777777777778%
人类		2		0.17777777777777778%
气候		2		0.17777777777777778%
变化		2		0.17777777777777778%
提高		2		0.17777777777777778%
工作		2		0.17777777777777778%
今年		2		0.17777777777777778%
参与		2		0.17777777777777778%
支持		2		0.17777777777777778%
事业		2		0.17777777777777778%
维和		2		0.17777777777777778%
最		2		0.17777777777777778%
大		2		0.17777777777777778%
落实		2		0.17777777777777778%
宣布		2		0.17777777777777778%
再		2		0.17777777777777778%
！		2		0.17777777777777778%
起来		1		0.08888888888888889%
　		1		0.08888888888888889%
——		1		0.08888888888888889%
发言		1		0.08888888888888889%
国务		1		0.08888888888888889%
委员		1		0.08888888888888889%
兼		1		0.08888888888888889%
外长		1		0.08888888888888889%
王毅		1		0.08888888888888889%
（		1		0.08888888888888889%
2021年		1		0.08888888888888889%
5月		1		0.08888888888888889%
7日		1		0.08888888888888889%
北京		1		0.08888888888888889%
）		1		0.08888888888888889%
联大		1		0.08888888888888889%
先生		1		0.08888888888888889%
9月		1		0.08888888888888889%
国家主席		1		0.08888888888888889%
深刻		1		0.08888888888888889%
阐释		1		0.08888888888888889%
内涵		1		0.08888888888888889%
明确		1		0.08888888888888889%
指出		1		0.08888888888888889%
领导人		1		0.08888888888888889%
宣言		1		0.08888888888888889%
重申		1		0.08888888888888889%
种		1		0.08888888888888889%
选择		1		0.08888888888888889%
而是		1		0.08888888888888889%
宪章		1		0.08888888888888889%
宗旨		1		0.08888888888888889%
原则		1		0.08888888888888889%
基石		1		0.08888888888888889%
基本		1		0.08888888888888889%
准则		1		0.08888888888888889%
权威		1		0.08888888888888889%
事务		1		0.08888888888888889%
这是		1		0.08888888888888889%
当代		1		0.08888888888888889%
应有		1		0.08888888888888889%
义		1		0.08888888888888889%
单边主义		1		0.08888888888888889%
绝不		1		0.08888888888888889%
相容		1		0.08888888888888889%
面对		1		0.08888888888888889%
世纪		1		0.08888888888888889%
百年		1		0.08888888888888889%
变局		1		0.08888888888888889%
坚定		1		0.08888888888888889%
携手		1		0.08888888888888889%
互利		1		0.08888888888888889%
路		1		0.08888888888888889%
中方		1		0.08888888888888889%
主张		1		0.08888888888888889%
零		1		0.08888888888888889%
博弈		1		0.08888888888888889%
全球性		1		0.08888888888888889%
复杂		1		0.08888888888888889%
群策群力		1		0.08888888888888889%
挑战		1		0.08888888888888889%
棘手		1		0.08888888888888889%
勠力		1		0.08888888888888889%
同心		1		0.08888888888888889%
平等		1		0.08888888888888889%
相互		1		0.08888888888888889%
开展		1		0.08888888888888889%
应盼		1		0.08888888888888889%
着		1		0.08888888888888889%
别人		1		0.08888888888888889%
