单词		词频		占比
能源		7		3.3653846153846154%
中国		5		2.403846153846154%
应对		4		1.9230769230769231%
气候		4		1.9230769230769231%
清洁		4		1.9230769230769231%
二十		3		1.4423076923076923%
国		3		1.4423076923076923%
集团		3		1.4423076923076923%
变化		3		1.4423076923076923%
转型		3		1.4423076923076923%
中方		3		1.4423076923076923%
目标		3		1.4423076923076923%
全球		3		1.4423076923076923%
守护		2		0.9615384615384616%
地球		2		0.9615384615384616%
理念		2		0.9615384615384616%
领域		2		0.9615384615384616%
力度		2		0.9615384615384616%
公约		2		0.9615384615384616%
推动		2		0.9615384615384616%
经济		2		0.9615384615384616%
支持		2		0.9615384615384616%
低碳		2		0.9615384615384616%
系统		2		0.9615384615384616%
新		2		0.9615384615384616%
世界		2		0.9615384615384616%
绿色		2		0.9615384615384616%
发展		2		0.9615384615384616%
生态		2		0.9615384615384616%
保护		2		0.9615384615384616%
生物		2		0.9615384615384616%
多样性		2		0.9615384615384616%
大会		2		0.9615384615384616%
领导人		1		0.4807692307692308%
利雅得		1		0.4807692307692308%
峰会		1		0.4807692307692308%
主题		1		0.4807692307692308%
边会		1		0.4807692307692308%
致辞		1		0.4807692307692308%
2020年		1		0.4807692307692308%
11月		1		0.4807692307692308%
22日		1		0.4807692307692308%
北京		1		0.4807692307692308%
中华		1		0.4807692307692308%
共和国		1		0.4807692307692308%
主席		1		0.4807692307692308%
习近平		1		0.4807692307692308%
同事		1		0.4807692307692308%
朋友们		1		0.4807692307692308%
家园		1		0.4807692307692308%
秉持		1		0.4807692307692308%
人类		1		0.4807692307692308%
命运		1		0.4807692307692308%
共同体		1		0.4807692307692308%
携手		1		0.4807692307692308%
环境		1		0.4807692307692308%
挑战		1		0.4807692307692308%
颗		1		0.4807692307692308%
蓝色		1		0.4807692307692308%
星球		1		0.4807692307692308%
愿		1		0.4807692307692308%
分享		1		0.4807692307692308%
几点		1		0.4807692307692308%
看法		1		0.4807692307692308%
第一		1		0.4807692307692308%
加大		1		0.4807692307692308%
发挥		1		0.4807692307692308%
引领		1		0.4807692307692308%
作用		1		0.4807692307692308%
联合国		1		0.4807692307692308%
框架		1		0.4807692307692308%
指导		1		0.4807692307692308%
巴黎		1		0.4807692307692308%
协定		1		0.4807692307692308%
实施		1		0.4807692307692308%
不久前		1		0.4807692307692308%
提高		1		0.4807692307692308%
国家		1		0.4807692307692308%
自主		1		0.4807692307692308%
贡献		1		0.4807692307692308%
力争		1		0.4807692307692308%
二氧化碳		1		0.4807692307692308%
排放		1		0.4807692307692308%
2030年		1		0.4807692307692308%
前		1		0.4807692307692308%
峰值		1		0.4807692307692308%
年前		1		0.4807692307692308%
碳中		1		0.4807692307692308%
言出必行		1		0.4807692307692308%
坚定不移		1		0.4807692307692308%
落实		1		0.4807692307692308%
推进		1		0.4807692307692308%
赞赏		1		0.4807692307692308%
沙特		1		0.4807692307692308%
提出		1		0.4807692307692308%
碳		1		0.4807692307692308%
循环		1		0.4807692307692308%
疫情		1		0.4807692307692308%
时代		1		0.4807692307692308%
享有		1		0.4807692307692308%
可持续		1		0.4807692307692308%
建成		1		0.4807692307692308%
汽车		1		0.4807692307692308%
产销量		1		0.4807692307692308%
连续		1		0.4807692307692308%
年		1		0.4807692307692308%
居		1		0.4807692307692308%
首位		1		0.4807692307692308%
十四五		1		0.4807692307692308%
规划		1		0.4807692307692308%
2035年		1		0.4807692307692308%
远景		1		0.4807692307692308%
建议		1		0.4807692307692308%
高效		1		0.4807692307692308%
利用		1		0.4807692307692308%
加快		1		0.4807692307692308%
环保		1		0.4807692307692308%
产业		1		0.4807692307692308%
社会		1		0.4807692307692308%
第三		1		0.4807692307692308%
构筑		1		0.4807692307692308%
尊重		1		0.4807692307692308%
自然		1		0.4807692307692308%
减少		1		0.4807692307692308%
土地		1		0.4807692307692308%
退化		1		0.4807692307692308%
珊瑚礁		1		0.4807692307692308%
海洋		1		0.4807692307692308%
塑料		1		0.4807692307692308%
垃圾		1		0.4807692307692308%
深化		1		0.4807692307692308%
合作		1		0.4807692307692308%
打造		1		0.4807692307692308%
牢固		1		0.4807692307692308%
屏障		1		0.4807692307692308%
第十五		1		0.4807692307692308%
次		1		0.4807692307692308%
缔约方		1		0.4807692307692308%
明年		1		0.4807692307692308%
5月		1		0.4807692307692308%
昆明		1		0.4807692307692308%
诚挚		1		0.4807692307692308%
各方		1		0.4807692307692308%
出席		1		0.4807692307692308%
期待		1		0.4807692307692308%
未来		1		0.4807692307692308%
时期		1		0.4807692307692308%
设定		1		0.4807692307692308%
携起		1		0.4807692307692308%
手		1		0.4807692307692308%
建设		1		0.4807692307692308%
美丽		1		0.4807692307692308%
谢谢		1		0.4807692307692308%
