单词		词频		占比
de		111		6.303236797274275%
et		86		4.88358886996025%
la		77		4.372515616127201%
,		64		3.634298693923907%
l’		59		3.3503691084611016%
les		44		2.4985803520726857%
à		42		2.385008517887564%
.		42		2.385008517887564%

		41		2.328222600795003%
des		34		1.9307211811470757%
le		34		1.9307211811470757%
d’		31		1.7603634298693924%
afrique		27		1.5332197614991483%
en		27		1.5332197614991483%
pour		25		1.4196479273140261%
africains		24		1.362862010221465%
dans		21		1.192504258943782%
du		17		0.9653605905735378%
paix		13		0.7382169222032936%
pays		13		0.7382169222032936%
coopération		12		0.6814310051107325%
onu		12		0.6814310051107325%
chine		12		0.6814310051107325%
sécurité		11		0.6246450880181714%
une		10		0.5678591709256104%
ua		10		0.5678591709256104%
nous		9		0.5110732538330494%
peuples		9		0.5110732538330494%
aux		9		0.5110732538330494%
sur		8		0.4542873367404884%
développement		8		0.4542873367404884%
soutenir		8		0.4542873367404884%
un		8		0.4542873367404884%
plus		8		0.4542873367404884%
«		7		0.3975014196479273%
-		7		0.3975014196479273%
»		7		0.3975014196479273%
contre		7		0.3975014196479273%
faire		7		0.3975014196479273%
conseil		6		0.34071550255536626%
président		6		0.34071550255536626%
africaine		6		0.34071550255536626%
covid-19		6		0.34071550255536626%
a		6		0.34071550255536626%
ont		6		0.34071550255536626%
leur		6		0.34071550255536626%
sont		6		0.34071550255536626%
avec		6		0.34071550255536626%
initiative		5		0.2839295854628052%
qui		5		0.2839295854628052%
bien		5		0.2839295854628052%
au		5		0.2839295854628052%
il		5		0.2839295854628052%
construire		4		0.2271436683702442%
ensemble		4		0.2271436683702442%
mondiale		4		0.2271436683702442%
matière		4		0.2271436683702442%
renforcer		4		0.2271436683702442%
ses		4		0.2271436683702442%
sans		4		0.2271436683702442%
fin		4		0.2271436683702442%
durable		4		0.2271436683702442%
africaines		4		0.2271436683702442%
travailler		3		0.17035775127768313%
prospérité		3		0.17035775127768313%
niveau		3		0.17035775127768313%
nations		3		0.17035775127768313%
unies		3		0.17035775127768313%
monsieur		3		0.17035775127768313%
secrétaire		3		0.17035775127768313%
général		3		0.17035775127768313%
union		3		0.17035775127768313%
aider		3		0.17035775127768313%
sanitaire		3		0.17035775127768313%
ressources		3		0.17035775127768313%
matériels		3		0.17035775127768313%
système		3		0.17035775127768313%
santé		3		0.17035775127768313%
capacités		3		0.17035775127768313%
taire		3		0.17035775127768313%
armes		3		0.17035775127768313%
construction		3		0.17035775127768313%
promouvoir		3		0.17035775127768313%
mettre		3		0.17035775127768313%
œuvre		3		0.17035775127768313%
doit		3		0.17035775127768313%
s’		3		0.17035775127768313%
autres		3		0.17035775127768313%
gouvernance		3		0.17035775127768313%
ce		3		0.17035775127768313%
solidarité		2		0.1135718341851221%
haut		2		0.1135718341851221%
xi		2		0.1135718341851221%
jinping		2		0.1135718341851221%
2020		2		0.1135718341851221%
entre		2		0.1135718341851221%
antónio		2		0.1135718341851221%
guterres		2		0.1135718341851221%
leurs		2		0.1135718341851221%
impacts		2		0.1135718341851221%
social		2		0.1135718341851221%
activement		2		0.1135718341851221%
surmonter		2		0.1135718341851221%
difficultés		2		0.1135718341851221%
virus		2		0.1135718341851221%
consolidation		2		0.1135718341851221%
rôle		2		0.1135718341851221%
monde		2		0.1135718341851221%
continentale		2		0.1135718341851221%
par		2		0.1135718341851221%
médicaments		2		0.1135718341851221%
expériences		2		0.1135718341851221%
fonds		2		0.1135718341851221%
internationale		2		0.1135718341851221%
avons		2		0.1135718341851221%
vaccins		2		0.1135718341851221%
mondial		2		0.1135718341851221%
canaux		2		0.1135718341851221%
que		2		0.1135718341851221%
groupes		2		0.1135718341851221%
efforts		2		0.1135718341851221%
son		2		0.1135718341851221%
prévention		2		0.1135718341851221%
publique		2		0.1135718341851221%
majeures		2		0.1135718341851221%
communauté		2		0.1135718341851221%
tous		2		0.1135718341851221%
réaliser		2		0.1135718341851221%
y		2		0.1135718341851221%
stabilité		2		0.1135718341851221%
lancé		2		0.1135718341851221%
encourager		2		0.1135718341851221%
se		2		0.1135718341851221%
faut		2		0.1135718341851221%
cadre		2		0.1135718341851221%
intensifier		2		0.1135718341851221%
perfectionner		2		0.1135718341851221%
renforcement		2		0.1135718341851221%
maintien		2		0.1135718341851221%
lutte		2		0.1135718341851221%
force		2		0.1135718341851221%
soutien		2		0.1135718341851221%
actions		2		0.1135718341851221%
programme		2		0.1135718341851221%
horizon		2		0.1135718341851221%
2030		2		0.1135718341851221%
vers		2		0.1135718341851221%
signé		2		0.1135718341851221%
accorder		2		0.1135718341851221%
première		2		0.1135718341851221%
économie		2		0.1135718341851221%
dette		2		0.1135718341851221%
internationales		2		0.1135718341851221%
projets		2		0.1135718341851221%
avenir		2		0.1135718341851221%
règles		2		0.1135718341851221%
mieux		2		0.1135718341851221%
intérêts		2		0.1135718341851221%
apporter		2		0.1135718341851221%
toujours		2		0.1135718341851221%
grand		2		0.1135718341851221%
ici		2		0.1135718341851221%
huit		2		0.1135718341851221%
médicaux		2		0.1135718341851221%
