单词		词频		占比
le		155		8.801817149346961%
de		153		8.68824531516184%
et		86		4.88358886996025%
,		64		3.634298693923907%
l’		59		3.3503691084611016%
à		51		2.8960817717206133%
.		42		2.385008517887564%

		41		2.328222600795003%
africain		32		1.8171493469619535%
d’		31		1.7603634298693924%
un		27		1.5332197614991483%
en		27		1.5332197614991483%
Afrique		26		1.4764338444065872%
pour		25		1.4196479273140261%
dans		21		1.192504258943782%
avoir		16		0.9085746734809768%
paix		13		0.7382169222032936%
pays		13		0.7382169222032936%
coopération		12		0.6814310051107325%
ONU		12		0.6814310051107325%
Chine		12		0.6814310051107325%
sécurité		11		0.6246450880181714%
UA		10		0.5678591709256104%
soutenir		10		0.5678591709256104%
être		10		0.5678591709256104%
nous		9		0.5110732538330494%
peuple		9		0.5110732538330494%
sur		8		0.4542873367404884%
leur		8		0.4542873367404884%
développement		8		0.4542873367404884%
plus		8		0.4542873367404884%
«		7		0.3975014196479273%
-		7		0.3975014196479273%
»		7		0.3975014196479273%
contre		7		0.3975014196479273%
conseil		6		0.34071550255536626%
président		6		0.34071550255536626%
initiative		6		0.34071550255536626%
covid-19		6		0.34071550255536626%
mondial		6		0.34071550255536626%
son		6		0.34071550255536626%
il		6		0.34071550255536626%
avec		6		0.34071550255536626%
travailler		5		0.2839295854628052%
qui		5		0.2839295854628052%
aider		5		0.2839295854628052%
bien		5		0.2839295854628052%
renforcer		5		0.2839295854628052%
faire		5		0.2839295854628052%
devoir		5		0.2839295854628052%
au		5		0.2839295854628052%
mettre		5		0.2839295854628052%
partager		5		0.2839295854628052%
construire		4		0.2271436683702442%
ce		4		0.2271436683702442%
sanitaire		4		0.2271436683702442%
matière		4		0.2271436683702442%
international		4		0.2271436683702442%
capacité		4		0.2271436683702442%
sans		4		0.2271436683702442%
fin		4		0.2271436683702442%
durable		4		0.2271436683702442%
ensemble		3		0.17035775127768313%
prospérité		3		0.17035775127768313%
niveau		3		0.17035775127768313%
uni		3		0.17035775127768313%
Monsieur		3		0.17035775127768313%
secrétaire		3		0.17035775127768313%
général		3		0.17035775127768313%
Union		3		0.17035775127768313%
Africaine		3		0.17035775127768313%
ressource		3		0.17035775127768313%
commun		3		0.17035775127768313%
matériel		3		0.17035775127768313%
public		3		0.17035775127768313%
kilomètre		3		0.17035775127768313%
système		3		0.17035775127768313%
santé		3		0.17035775127768313%
taire		3		0.17035775127768313%
arme		3		0.17035775127768313%
construction		3		0.17035775127768313%
promouvoir		3		0.17035775127768313%
œuvre		3		0.17035775127768313%
s’		3		0.17035775127768313%
programme		3		0.17035775127768313%
lui		3		0.17035775127768313%
autre		3		0.17035775127768313%
aide		3		0.17035775127768313%
gouvernance		3		0.17035775127768313%
intérêt		3		0.17035775127768313%
grand		3		0.17035775127768313%
médical		3		0.17035775127768313%
haut		2		0.1135718341851221%
Nations		2		0.1135718341851221%
Xi		2		0.1135718341851221%
Jinping		2		0.1135718341851221%
2020		2		0.1135718341851221%
entre		2		0.1135718341851221%
remercier		2		0.1135718341851221%
António		2		0.1135718341851221%
Guterres		2		0.1135718341851221%
crise		2		0.1135718341851221%
social		2		0.1135718341851221%
nouveau		2		0.1135718341851221%
défi		2		0.1135718341851221%
activement		2		0.1135718341851221%
surmonter		2		0.1135718341851221%
difficulté		2		0.1135718341851221%
avancer		2		0.1135718341851221%
virus		2		0.1135718341851221%
consolidation		2		0.1135718341851221%
rôle		2		0.1135718341851221%
monde		2		0.1135718341851221%
continental		2		0.1135718341851221%
élaborer		2		0.1135718341851221%
par		2		0.1135718341851221%
médicament		2		0.1135718341851221%
expérience		2		0.1135718341851221%
technologie		2		0.1135718341851221%
fonds		2		0.1135718341851221%
mécanisme		2		0.1135718341851221%
vaccin		2		0.1135718341851221%
inviter		2		0.1135718341851221%
canal		2		0.1135718341851221%
que		2		0.1135718341851221%
groupe		2		0.1135718341851221%
effort		2		0.1135718341851221%
prévention		2		0.1135718341851221%
majeur		2		0.1135718341851221%
communauté		2		0.1135718341851221%
tout		2		0.1135718341851221%
réaliser		2		0.1135718341851221%
y		2		0.1135718341851221%
stabilité		2		0.1135718341851221%
fair		2		0.1135718341851221%
lancer		2		0.1135718341851221%
encourager		2		0.1135718341851221%
conflit		2		0.1135718341851221%
se		2		0.1135718341851221%
falloir		2		0.1135718341851221%
continuer		2		0.1135718341851221%
cadre		2		0.1135718341851221%
partenariat		2		0.1135718341851221%
intensifier		2		0.1135718341851221%
perfectionner		2		0.1135718341851221%
renforcement		2		0.1135718341851221%
propre		2		0.1135718341851221%
maintien		2		0.1135718341851221%
lutte		2		0.1135718341851221%
même		2		0.1135718341851221%
force		2		0.1135718341851221%
soutien		2		0.1135718341851221%
financier		2		0.1135718341851221%
action		2		0.1135718341851221%
horizon		2		0.1135718341851221%
2030		2		0.1135718341851221%
vers		2		0.1135718341851221%
organisation		2		0.1135718341851221%
signer		2		0.1135718341851221%
accorder		2		0.1135718341851221%
premier		2		0.1135718341851221%
économie		2		0.1135718341851221%
contribuer		2		0.1135718341851221%
dette		2		0.1135718341851221%
projet		2		0.1135718341851221%
agir		2		0.1135718341851221%
avenir		2		0.1135718341851221%
droit		2		0.1135718341851221%
règle		2		0.1135718341851221%
mieux		2		0.1135718341851221%
apporter		2		0.1135718341851221%
toujours		2		0.1135718341851221%
ici		2		0.1135718341851221%
huit		2		0.1135718341851221%
fournir		2		0.1135718341851221%
militaire		2		0.1135718341851221%
contrepartie		2		0.1135718341851221%
100		2		0.1135718341851221%
activité		2		0.1135718341851221%
6		2		0.1135718341851221%
000		2		0.1135718341851221%
route		2		0.1135718341851221%
entendre		2		0.1135718341851221%
main		2		0.1135718341851221%
consensus		1		0.05678591709256105%
SOLIDARITÉ		1		0.05678591709256105%
afrique		1		0.05678591709256105%
allocution		1		0.05678591709256105%
visioconférence		1		0.05678591709256105%
m.		1		0.05678591709256105%
Wang		1		0.05678591709256105%
Yi		1		0.05678591709256105%
représentant		1		0.05678591709256105%
spécial		1		0.05678591709256105%
république		1		0.05678591709256105%
populaire		1		0.05678591709256105%
conseiller		1		0.05678591709256105%
état		1		0.05678591709256105%
ministre		1		0.05678591709256105%
affaire		1		0.05678591709256105%
étranger		1		0.05678591709256105%
Beijing		1		0.05678591709256105%
4		1		0.05678591709256105%
décembre		1		0.05678591709256105%
Sud		1		0.05678591709256105%
organiser		1		0.05678591709256105%
réunion		1		0.05678591709256105%
nation		1		0.05678591709256105%
(		1		0.05678591709256105%
)		1		0.05678591709256105%
heureux		1		0.05678591709256105%
parmi		1		0.05678591709256105%
Cyril		1		0.05678591709256105%
Ramaphosa		1		0.05678591709256105%
aller		1		0.05678591709256105%
conduire		1		0.05678591709256105%
discussion		1		0.05678591709256105%
aujourd’hui		1		0.05678591709256105%
Moussa		1		0.05678591709256105%
Faki		1		0.05678591709256105%
Mahamat		1		0.05678591709256105%
présentation		1		0.05678591709256105%
pandémie		1		0.05678591709256105%
exacerber		1		0.05678591709256105%
engendrer		1		0.05678591709256105%
profond		1		0.05678591709256105%
impacts		1		0.05678591709256105%
politique		1		0.05678591709256105%
économique		1		0.05678591709256105%
poser		1		0.05678591709256105%
appeler		1		0.05678591709256105%
égard		1		0.05678591709256105%
proposition		1		0.05678591709256105%
quatre		1		0.05678591709256105%
point		1		0.05678591709256105%
premièrement		1		0.05678591709256105%
privilégier		1		0.05678591709256105%
ligne		1		0.05678591709256105%
défense		1		0.05678591709256105%
OMS		1		0.05678591709256105%
jouer		1		0.05678591709256105%
coordinateur		1		0.05678591709256105%
mobiliser		1		0.05678591709256105%
stratégie		1		0.05678591709256105%
obtenir		1		0.05678591709256105%
diagnostic		1		0.05678591709256105%
traitement		1		0.05678591709256105%
anti-épidémiqu		1		0.05678591709256105%
favoriser		1		0.05678591709256105%
accessibilité		1		0.05678591709256105%
abordabilité		1		0.05678591709256105%
PAM		1		0.05678591709256105%
femme		1		0.05678591709256105%
UNICEF		1		0.05678591709256105%
acteur		1		0.05678591709256105%
concerner		1		0.05678591709256105%
utiliser		1		0.05678591709256105%
respectif		1		0.05678591709256105%
transport		1		0.05678591709256105%
