单词		词频		占比
Chine		64		3.6550542547115934%
développement		37		2.11307824100514%
pays		36		2.055968018275271%
monde		33		1.8846373500856655%
coopération		28		1.599086236436322%
international		25		1.4277555682467162%
chinois		24		1.3706453455168475%
mondial		17		0.9708737864077669%
grand		16		0.9137635636778983%
peuple		12		0.6853226727584237%
renforcer		12		0.6853226727584237%
Europe		11		0.6282124500285551%
nouveau		11		0.6282124500285551%
an		10		0.5711022272986864%
partenariat		10		0.5711022272986864%
ensemble		10		0.5711022272986864%
paix		9		0.5139920045688178%
covid-19		9		0.5139920045688178%
poursuivre		9		0.5139920045688178%
apporter		9		0.5139920045688178%
jamais		9		0.5139920045688178%
important		9		0.5139920045688178%
UE		9		0.5139920045688178%
devoir		9		0.5139920045688178%
ouverture		8		0.4568817818389492%
cesse		8		0.4568817818389492%
économie		8		0.4568817818389492%
politique		7		0.3997715591090805%
confrontation		7		0.3997715591090805%
civilisation		7		0.3997715591090805%
réaliser		7		0.3997715591090805%
voie		7		0.3997715591090805%
système		7		0.3997715591090805%
fermement		7		0.3997715591090805%
contribution		7		0.3997715591090805%
force		7		0.3997715591090805%
défi		7		0.3997715591090805%
préserver		6		0.34266133637921187%
ami		6		0.34266133637921187%
solidarité		6		0.34266133637921187%
renouveau		6		0.34266133637921187%
nation		6		0.34266133637921187%
histoire		6		0.34266133637921187%
humanité		6		0.34266133637921187%
être		6		0.34266133637921187%
aujourd’hui		6		0.34266133637921187%
gagnant		6		0.34266133637921187%
marché		6		0.34266133637921187%
rôle		6		0.34266133637921187%
croissance		6		0.34266133637921187%
intérêt		6		0.34266133637921187%
développer		6		0.34266133637921187%
opposer		6		0.34266133637921187%
affaire		5		0.2855511136493432%
cher		5		0.2855511136493432%
connaître		5		0.2855511136493432%
avenir		5		0.2855511136493432%
vie		5		0.2855511136493432%
pauvreté		5		0.2855511136493432%
durable		5		0.2855511136493432%
année		5		0.2855511136493432%
gouvernance		5		0.2855511136493432%
initiative		5		0.2855511136493432%
route		5		0.2855511136493432%
reprise		5		0.2855511136493432%
faire		5		0.2855511136493432%
dialogue		5		0.2855511136493432%
