POS		频数		占比
NOUN		4521		38.8468809073724%
VERB		2510		21.567279601306065%
PUNCT		1934		16.617975597181648%
ADV		667		5.7312252964426875%
ADJ		648		5.567967004639972%
PART		372		3.1964255026636876%
NUM		314		2.698058085581715%
CCONJ		232		1.9934696683278914%
ADP		190		1.6325829180271523%
PROPN		134		1.1514005842928339%
PRON		45		0.3866643753222203%
DET		44		0.3780718336483932%
X		20		0.17185083347654237%
SCONJ		5		0.04296270836913559%
SPACE		1		0.008592541673827118%
INTJ		1		0.008592541673827118%
