标签	含义	频数
A1	General And Abstract Terms	0
A1.1.1	General actions / making	186
A1.1.1-	Inaction	0
A1.1.2	Damaging and destroying	2
A1.1.2-	Fixing and mending	0
A1.2	Suitability	0
A1.2+	Suitable	0
A1.2-	Unsuitable	0
A1.3	Caution	0
A1.3+	Cautious	0
A1.3-	No caution	0
A1.4	Chance, luck	1
A1.4+	Lucky	0
A1.4-	Unlucky	0
A1.5	Use	0
A1.5.1	Using	27
A1.5.1+	Used	0
A1.5.1-	Unused	0
A1.5.2	Usefulness	0
A1.5.2+	Useful	1
A1.5.2-	Useless	0
A1.6	Concrete/Abstract	0
A1.7+	Constraint	10
A1.7-	No constraint	1
A1.8+	Inclusion	10
A1.8-	Exclusion	0
A1.9	Avoiding	3
A1.9-	Unavoidable	0
A2	Affect	0
A2.1	Modify, change	0
A2.1+	Change	131
A2.1-	No change	26
A2.2	Cause&Effect/Connection	17
A2.2+	Cause/Effect/Connected	0
A2.2-	Unconnected	0
A3	Being	0
A3+	Existing	20
A3-	Non-existing	0
A4	Classification	0
A4.1	Generally kinds, groups, examples	18
A4.1-	Unclassified	0
A4.2	Particular/general; detail	0
A4.2+	Detailed	16
A4.2-	General	1
A5	Evaluation	0
A5.1	Evaluation: Good/bad	27
A5.1+	Evaluation: Good	61
A5.1-	Evaluation: Bad	42
A5.2	Evaluation: True/false	0
A5.2+	Evaluation: True	2
A5.2-	Evaluation: False	0
A5.3	Evaluation: Accuracy	0
A5.3+	Evaluation: Accurate	2
A5.3-	Evaluation: Inaccurate	1
A5.4	Evaluation: Authenticity	0
A5.4+	Evaluation: Authentic	5
A5.4-	Evaluation: Unauthentic	0
A6	Comparing	0
A6.1	Comparing: Similar/different	2
A6.1+	Comparing: Similar	13
A6.1-	Comparing: Different	25
A6.2	Comparing: Usual/unusual	0
A6.2+	Comparing: Usual	20
A6.2-	Comparing: Unusual	3
A6.3	Comparing: Variety	0
A6.3+	Comparing: Varied	3
A6.3-	Comparing: Unvaried	0
A7	Probability	0
A7+	Likely	37
A7-	Unlikely	4
A8	Seem	0
A9	Getting and giving; possession	9
A9+	Getting and possession	145
A9-	Giving	50
A10	Open/closed; Hiding/Hidden; Finding; Showing	0
A10+	Open; Finding; Showing	30
A10-	Closed; Hiding/Hidden	5
A11	Importance	0
A11.1	Importance	0
A11.1+	Important	65
A11.1-	Unimportant	5
A11.2	Noticeability	0
A11.2+	Noticeable	0
A11.2-	Unnoticeable	0
A12	Easy/difficult	0
A12+	Easy	4
A12-	Difficult	34
A13	Degree	4
A13.1	Degree: Non-specific	4
A13.2	Degree: Maximizers	1
A13.3	Degree: Boosters	29
A13.4	Degree: Approximators	9
A13.5	Degree: Compromisers	1
A13.6	Degree: Diminishers	11
A13.7	Degree: Minimizers	1
A14	Exclusivizers/particularizers	4
A15	Safety/Danger	0
A15+	Safe	2
A15-	Danger	13
B1	Anatomy and physiology	5
B2	Health and disease	9
B2+	Healthy	0
B2-	Disease	20
B3	Medicines and medical treatment	13
B3-	Without medical treatment	0
B4	Cleaning and personal care	11
B4+	Clean	0
B4-	Dirty	0
B5	Clothes and personal belongings	0
B5-	Without clothes	0
C1	Arts and crafts	12
E1	Emotional Actions, States And Processes General	1
E1+	Emotional	0
E1-	Unemotional	0
E2	Liking	0
E2+	Like	14
E2-	Dislike	0
E3	Calm/Violent/Angry	0
E3+	Calm	5
E3-	Violent/Angry	12
E4	Happiness and Contentment	0
E4.1	Happy/sad	0
E4.1+	Happy	1
E4.1-	Sad	1
E4.2	Contentment	0
E4.2+	Content	1
E4.2-	Discontent	1
E5	Bravery and Fear	0
E5+	Bravery	3
E5-	Fear/shock	0
E6	Worry and confidence	0
E6+	Confident	0
E6-	Worry	10
F1	Food	6
F1+	Abundance of food	0
F1-	Lack of food	0
F2	Drinks and alcohol	0
F2+	Excessive drinking	0
F2-	Not drinking	0
F3	Smoking and non-medical drugs	0
F3+	Smoking and drugs abuse	0
F3-	Non-smoking / no use of drugs	0
F4	Farming & Horticulture	16
F4-	Uncultivated	0
G1	Government and Politics	0
G1.1	Government	11
G1.1-	Non-governmental	0
G1.2	Politics	18
G1.2-	Non-political	0
G2	Crime, law and order	0
G2.1	Law and order	22
G2.1+	Lawful	0
G2.1-	Crime	3
G2.2	General ethics	0
G2.2+	Ethical	5
G2.2-	Unethical	3
G3	Warfare, defence and the army; weapons	21
G3-	Anti-war	0
H1	Architecture, houses and buildings	5
H2	Parts of buildings	3
H3	Areas around or near houses	6
H4	Residence	15
H4-	Non-resident	0
H5	Furniture and household fittings	5
H5-	Unfurnished	0
I1	Money generally	14
I1.1	Money and pay	79
I1.1+	Money: Affluence	2
I1.1-	Money: Lack	26
I1.2	Money: Debts	5
I1.2+	Spending and money loss	0
I1.2-	Debt-free	0
I1.3	Money: Cost and price	5
I1.3+	Expensive	0
I1.3-	Cheap	0
I2	Business	0
I2.1	Business: Generally	29
I2.1-	Non-commercial	0
I2.2	Business: Selling	42
I3	Work and employment	0
I3.1	Work and employment: Generally	54
I3.1-	Unemployed	7
I3.2	Work and employment: Professionalism	2
I3.2+	Professional	8
I3.2-	Unprofessional	0
I4	Industry	6
I4-	No industry	0
K1	Entertainment generally	9
K2	Music and related activities	0
K3	Recorded sound	0
K4	Drama, the theatre and show business	9
K5	Sports and games generally	0
K5.1	Sports	4
K5.2	Games	0
K6	Children’s games and toys	0
L1	Life and living things	0
L1+	Alive	13
L1-	Dead	1
L2	Living creatures: animals, birds, etc.	4
L2-	No living creatures	0
L3	Plants	0
L3-	No plants	0
M1	Moving, coming and going	33
M2	Putting, pulling, pushing, transporting	32
M3	Vehicles and transport on land	11
M4	Sailing, swimming, etc.	0
M4-	Non-swimming	0
M5	Flying and aircraft	1
M6	Location and direction	106
M7	Places	89
M8	Stationary	8
N1	Numbers	42
N2	Mathematics	8
N3	Measurement	0
N3.1	Measurement: General	17
N3.2	Measurement: Size	0
N3.2+	Size: Big	10
N3.2-	Size: Small	0
N3.3	Measurement: Distance	0
N3.3+	Distance: Far	5
N3.3-	Distance: Near	0
N3.4	Measurement: Volume	2
N3.4+	Volume: Inflated	0
N3.4-	Volume: Compressed	0
N3.5	Measurement: Weight	2
N3.5+	Weight: Heavy	3
N3.5-	Weight: Light	2
N3.6	Measurement: Area	0
N3.6+	Spacious	0
N3.7	Measurement: Length & height	1
N3.7+	Long, tall and wide	0
N3.7-	Short and narrow	0
N3.8	Measurement: Speed	0
N3.8+	Speed: Fast	1
N3.8-	Speed: Slow	2
N4	Linear order	26
N4-	Nonlinear	0
N5	Quantities	2
N5+	Quantities: many/much	27
N5-	Quantities: little	27
N5.1	Entirety; maximum	0
N5.1+	Entire; maximum	3
N5.1-	Part	0
N5.2	Exceeding	0
