单词		词频		占比
le		26610		9.42096971198952%
de		23321		8.25653643943283%
et		12049		4.265812253279284%
,		11447		4.052680958028713%
.		8247		2.9197571294542493%

		7310		2.588022870899789%
à		6824		2.4159600644350427%
l’		5819		2.060151174523375%
un		5813		2.0580269423447985%
être		3510		1.2426758244676144%
en		3311		1.1722221238781398%
avoir		3035		1.0745074436635924%
d’		2939		1.0405197288063586%
nous		2802		0.9920164273955143%
pour		2558		0.9056309854667115%
dans		2492		0.8822644315023631%
Chine		1631		0.5774371138765467%
développement		1594		0.5643376821086544%
que		1544		0.5466357472871785%
tout		1484		0.5253934255014073%
sur		1465		0.5186666902692465%
pays		1397		0.49459205891203906%
au		1354		0.47936839496556977%
plus		1339		0.47405781451912693%
ce		1139		0.403250075233223%
il		1130		0.40006372696535736%
chinois		1055		0.3735108247331433%
devoir		1045		0.36997043776884814%
notre		963		0.3409392646616275%
son		957		0.3388150324830504%
par		939		0.33244233594731903%
nouveau		925		0.3274857941973058%
leur		922		0.3264236781080172%
faire		905		0.32040502026871537%
coopération		857		0.30341116284009845%
avec		849		0.3005788532686623%
grand		776		0.27473402842930733%
international		758		0.26836133189357597%
Parti		752		0.2662370997149988%
qui		713		0.2524295905542476%
se		686		0.24287054575065056%
«		656		0.23224938485776497%
»		656		0.23224938485776497%
monde		615		0.21773379830415462%
peuple		614		0.21737975960772513%
politique		613		0.21702572091129563%
-		583		0.20640456001840998%
renforcer		581		0.20569648262555099%
système		564		0.19967782478624913%
s’		528		0.18693243171478643%
lui		493		0.17454107733975324%
mondial		477		0.16887645819688094%
;		463		0.16391991644686763%
entre		457		0.16179568426829052%
année		455		0.16108760687543147%
relation		441		0.15613106512541822%
deux		441		0.15613106512541822%
contre		433		0.15329875555398206%
promouvoir		425		0.15046644598254588%
autre		408		0.14444778814324405%
économique		404		0.14303163335752597%
mettre		401		0.14196951726823742%
falloir		400		0.1416154785718079%
réforme		397		0.14055336248251935%
:		381		0.134888743339647%
pouvoir		379		0.13418066594678799%
ne		376		0.1331185498574994%
économie		350		0.12391354375033191%
qu’		348		0.12320546635747288%
effort		343		0.12143527287532528%
entreprise		343		0.12143527287532528%
Afrique		335		0.11860296330388911%
poursuivre		334		0.11824892460745959%
intérêt		332		0.11754084721460056%
réaliser		331		0.11718680851817104%
ainsi		325		0.11506257633959391%
ensemble		324		0.11470853764316441%
marché		323		0.11435449894673488%
pas		323		0.11435449894673488%
important		320		0.11329238285744632%
région		318		0.11258430546458728%
travailler		314		0.11116815067886919%
améliorer		310		0.10975199589315111%
national		306		0.10833584110743304%
sécurité		305		0.10798180241100354%
service		304		0.10762776371457401%
social		302		0.10691968632171496%
covid-19		301		0.10656564762528545%
droit		297		0.10514949283956737%
lutte		296		0.10479545414313785%
état		294		0.10408737675027879%
développer		292		0.10337929935741977%
public		290		0.10267122196456072%
comité		286		0.10125506717884264%
niveau		286		0.10125506717884264%
communauté		283		0.10019295108955409%
organisation		282		0.09983891239312456%
paix		281		0.09948487369669506%
base		277		0.09806871891097697%
principe		277		0.09806871891097697%
sans		275		0.09736064151811792%
ou		270		0.09559044803597033%
Xi		269		0.0952364093395408%
Jinping		269		0.0952364093395408%
central		266		0.09417429325025226%
mesure		256		0.09063390628595705%
comme		256		0.09063390628595705%
prendre		245		0.08673948062523235%
rôle		241		0.08532332583951427%
ouverture		240		0.08496928714308474%
population		240		0.08496928714308474%
contrôle		239		0.08461524844665523%
assurer		239		0.08461524844665523%
commun		239		0.08461524844665523%
y		239		0.08461524844665523%
n’		238		0.0842612097502257%
continuer		237		0.08390717105379618%
africain		237		0.08390717105379618%
créer		236		0.08355313235736667%
soutenir		235		0.08319909366093714%
bien		234		0.08284505496450761%
échange		234		0.08284505496450761%
avenir		233		0.0824910162680781%
partager		232		0.08213697757164858%
travail		231		0.08178293887521906%
initiative		231		0.08178293887521906%
premier		228		0.0807208227859305%
loi		227		0.08036678408950099%
affaire		226		0.08001274539307146%
gouvernance		226		0.08001274539307146%
afin		224		0.07930466800021242%
œuvre		223		0.07895062930378291%
humanité		223		0.07895062930378291%
c’		221		0.07824255191092387%
président		220		0.07788851321449435%
même		217		0.07682639712520578%
vie		216		0.07647235842877627%
étranger		216		0.07647235842877627%
plan		215		0.07611831973234674%
membre		214		0.07576428103591722%
toujours		214		0.07576428103591722%
voie		214		0.07576428103591722%
construction		212		0.07505620364305818%
objectif		211		0.07470216494662867%
an		210		0.07434812625019914%
action		207		0.07328601016091059%
appliquer		205		0.07257793276805155%
aussi		203		0.07186985537519251%
stabilité		198		0.07009966189304491%
matière		198		0.07009966189304491%
depuis		197		0.0697456231966154%
fondamental		197		0.0697456231966154%
esprit		197		0.0697456231966154%
manière		196		0.06939158450018587%
innovation		195		0.06903754580375634%
général		194		0.06868350710732683%
échelon		194		0.06868350710732683%
domaine		194		0.06868350710732683%
qualité		192		0.06797542971446778%
populaire		191		0.06762139101803827%
bon		191		0.06762139101803827%
épidémie		190		0.06726735232160874%
pourcent		189		0.06691331362517923%
gouvernement		188		0.0665592749287497%
mais		188		0.0665592749287497%
apporter		187		0.06620523623232019%
emploi		186		0.06585119753589067%
soutien		186		0.06585119753589067%
force		184		0.06514312014303164%
diplomatie		184		0.06514312014303164%
mener		183		0.06478908144660211%
favoriser		183		0.06478908144660211%
différent		181		0.06408100405374308%
tenir		180		0.06372696535731356%
avancer		180		0.06372696535731356%
édification		179		0.06337292666088404%
cadre		179		0.06337292666088404%
activité		178		0.06301888796445453%
capacité		178		0.06301888796445453%
santé		177		0.062664849268025%
million		177		0.062664849268025%
responsabilité		177		0.062664849268025%
société		175		0.061956771875165954%
investissement		175		0.061956771875165954%
davantage		175		0.061956771875165954%
dernier		174		0.06160273317873644%
permettre		174		0.06160273317873644%
accélérer		173		0.061248694482306916%
dire		173		0.061248694482306916%
face		172		0.060894655785877404%
préserver		172		0.060894655785877404%
défi		170		0.06018657839301836%
?		170		0.06018657839301836%
projet		167		0.059124462303729794%
scientifique		167		0.059124462303729794%
approfondir		167		0.059124462303729794%
nation		166		0.05877042360730028%
party		166		0.05877042360730028%
temps		165		0.058416384910870756%
