单词		词频		占比
Chine		1631		1.354010144698938%
développement		1594		1.3232937894850445%
pays		1397		1.1597499522651238%
chinois		1055		0.8758312094772408%
coopération		857		0.7114572004947823%
grand		776		0.6442132877292311%
nouveau		764		0.6342512265787792%
international		758		0.6292701960035532%
Parti		752		0.6242891654283271%
faire		652		0.5412719891745602%
être		644		0.5346306150742589%
monde		615		0.5105556339606665%
peuple		614		0.5097254621981288%
politique		613		0.5088952904355911%
devoir		584		0.4848203093219987%
renforcer		581		0.48232979403438575%
système		564		0.46821687407124535%
mondial		477		0.3959919307304681%
année		455		0.37772815195463944%
relation		441		0.36610574727911205%
contre		433		0.3594643731788107%
promouvoir		425		0.35282299907850934%
économique		404		0.33538939206521834%
mettre		401		0.3328988767776053%
falloir		400		0.33206870501506763%
réforme		397		0.3295781897274546%
économie		350		0.2905601168881842%
effort		343		0.2847489145504205%
entreprise		343		0.2847489145504205%
Afrique		335		0.27810754045011915%
poursuivre		334		0.27727736868758146%
intérêt		332		0.27561702516250614%
réaliser		331		0.27478685339996844%
ensemble		324		0.2689756510622048%
marché		323		0.2681454792996671%
important		320		0.26565496401205413%
région		318		0.26399462048697875%
travailler		314		0.2606739334368281%
améliorer		310		0.2573532463866774%
national		306		0.25403255933652674%
sécurité		305		0.25320238757398905%
service		304		0.2523722158114514%
social		302		0.25071187228637604%
covid-19		301		0.2498817005238384%
droit		297		0.2465610134736877%
lutte		296		0.24573084171115003%
état		294		0.24407049818607468%
développer		292		0.24241015466099936%
public		290		0.240749811135924%
comité		286		0.23742912408577338%
niveau		286		0.23742912408577338%
communauté		283		0.23493860879816036%
organisation		282		0.23410843703562267%
paix		281		0.233278265273085%
base		277		0.22995757822293433%
principe		277		0.22995757822293433%
pouvoir		272		0.22580671941024597%
Xi		269		0.22331620412263295%
Jinping		269		0.22331620412263295%
central		266		0.22082568883502%
mesure		256		0.21252397120964328%
prendre		245		0.20339208182172894%
rôle		241		0.20007139477157826%
ouverture		240		0.19924122300904057%
