单词		词频		占比
发展		1711		1.8005977437279004%
中国		1705		1.7942835494190943%
合作		876		0.9218723690857047%
国家		751		0.7903266543189088%
国际		719		0.7566509513386093%
中		690		0.7261323455127127%
经济		688		0.7240276140764439%
新		660		0.6945613739686816%
世界		645		0.6787758881966661%
建设		638		0.6714093281697255%
社会		559		0.5882724364371106%
关系		494		0.5198686647583768%
党		479		0.5040831789863613%
推进		464		0.48829769321434585%
全球		454		0.47777403603300217%
改革		444		0.4672503788516585%
推动		440		0.4630409159791211%
疫情		431		0.45356962451591176%
支持		429		0.451464893079643%
非洲		374		0.3935847785822529%
组织		343		0.36096144132008756%
各国		342		0.3599090756019532%
政策		332		0.34938541842060955%
和平		327		0.34412358982993774%
工作		324		0.3409664926755346%
维护		323		0.33991412695740025%
中非		321		0.3378093955211315%
外交		307		0.3230762754672504%
两		305		0.32097154403098166%
企业		298		0.31360498400404113%
人类		291		0.3062384239771005%
体系		279		0.29361003535948815%
开放		273		0.2872958410506819%
创新		271		0.2851911096144132%
年		269		0.28308637817814447%
市场		268		0.28203401246001014%
制度		265		0.278876915305607%
稳定		261		0.27466745243306956%
国		258		0.27151035527866646%
中方		257		0.2704579895605321%
联合国		254		0.267300892406129%
政治		246		0.25888196666105406%
完善		241		0.25362013807038225%
治理		239		0.2515154066341135%
地区		224		0.235729920862098%
服务		223		0.23467755514396363%
政府		221		0.2325728237076949%
深化		218		0.2294157265532918%
特色		216		0.22731099511702307%
战略		214		0.22520626368075433%
构建		214		0.22520626368075433%
提高		211		0.22204916652635126%
实施		210		0.22099680080821688%
加快		209		0.2199444350900825%
民族		205		0.21573497221754503%
美		205		0.21573497221754503%
委员会		204		0.21468260649941065%
习近平		199		0.20942077790873886%
基础		197		0.20731604647247012%
思想		196		0.20626368075433574%
历史		194		0.20415894931806702%
环境		193		0.20310658359993264%
增长		192		0.20205421788179828%
领导		191		0.2010018521636639%
团结		189		0.19889712072739518%
抗疫		185		0.19468765785485773%
教育		182		0.19153056070045463%
文化		182		0.19153056070045463%
作用		182		0.19153056070045463%
疫苗		182		0.19153056070045463%
中央		181		0.19047819498232027%
保障		180		0.18942582926418589%
就业		180		0.18942582926418589%
努力		179		0.18837346354605153%
群众		178		0.18732109782791717%
共同体		174		0.1831116349553797%
中华		173		0.18205926923724533%
提供		173		0.18205926923724533%
机制		172		0.18100690351911097%
落实		172		0.18100690351911097%
发挥		171		0.1799545378009766%
解决		170		0.17890217208284223%
能力		167		0.17574507492843913%
目标		166		0.17469270921030478%
保护		166		0.17469270921030478%
利益		164		0.17258797777403603%
坚定		161		0.16943088061963293%
发展中国家		159		0.1673261491833642%
领域		159		0.1673261491833642%
命运		159		0.1673261491833642%
健康		157		0.16522141774709548%
高		156		0.1641690520289611%
代表		154		0.16206432059269238%
生态		152		0.15995958915642364%
核心		151		0.15890722343828928%
投资		150		0.1578548577201549%
主席		149		0.15680249200202057%
民主		147		0.1546977605657518%
卫生		146		0.15364539484761744%
作出		145		0.15259302912948308%
文明		145		0.15259302912948308%
应对		143		0.15048829769321434%
时代		143		0.15048829769321434%
一路		141		0.1483835662569456%
精神		141		0.1483835662569456%
挑战		140		0.14733120053881124%
论坛		140		0.14733120053881124%
变化		139		0.14627883482067688%
一带		138		0.14522646910254253%
生活		136		0.14312173766627379%
公平		136		0.14312173766627379%
我国		133		0.13996464051187069%
水平		132		0.1389122747937363%
伙伴		132		0.1389122747937363%
成果		131		0.13785990907560194%
主体		131		0.13785990907560194%
多边主义		131		0.13785990907560194%
原则		129		0.13575517763933323%
公共		128		0.13470281192119885%
增强		127		0.1336504462030645%
科技		127		0.1336504462030645%
事业		125		0.13154571476679577%
持续		124		0.1304933490486614%
党员		124		0.1304933490486614%
记者		124		0.1304933490486614%
贡献		123		0.12944098333052703%
全国		122		0.12838861761239265%
生产		122		0.12838861761239265%
会议		121		0.1273362518942583%
贸易		121		0.1273362518942583%
绿色		121		0.1273362518942583%
相互		121		0.1273362518942583%
反对		120		0.12628388617612393%
始终		119		0.12523152045798955%
国内		118		0.12417915473985519%
提出		116		0.12207442330358646%
提升		116		0.12207442330358646%
