单词		词频		占比
de		14972		5.30066736294277%
la		12960		4.588341505726576%
et		12049		4.265812253279284%
,		11447		4.052680958028713%
.		8247		2.9197571294542493%

		7310		2.588022870899789%
les		6727		2.3816183108813793%
l’		5819		2.060151174523375%
à		5781		2.0466977040590537%
le		5754		2.0371386592554566%
des		5282		1.8700323945407233%
du		3826		1.3545520525393424%
en		3311		1.1722221238781398%
d’		2939		1.0405197288063586%
nous		2783		0.9852896921633535%
pour		2558		0.9056309854667115%
dans		2492		0.8822644315023631%
une		2240		0.7930466800021243%
un		2141		0.7579968490556018%
chine		1641		0.580977500840842%
développement		1592		0.5636296047157955%
que		1509		0.5342443929121453%
sur		1464		0.5183126515728169%
est		1404		0.49707032978704574%
pays		1397		0.49459205891203906%
a		1362		0.4822007045370059%
au		1351		0.47830627887628113%
plus		1322		0.46803915667982515%
l'		1180		0.4177656617868333%
aux		1128		0.39935564957249825%
par		939		0.33244233594731903%
il		934		0.3306721424651714%
parti		881		0.3119080915544069%
avec		849		0.3005788532686623%
coopération		847		0.29987077587580324%
ont		766		0.2711936414650121%
qui		713		0.2524295905542476%
d'		679		0.2403922748756439%
tous		659		0.23331150094705352%
«		656		0.23224938485776497%
»		656		0.23224938485776497%
monde		616		0.21808783700058418%
notre		603		0.21348533394700042%
se		589		0.20852879219698714%
-		583		0.20640456001840998%
avons		572		0.20251013435768528%
sont		571		0.20215609566125578%
chinois		542		0.1918889734647997%
s’		528		0.18693243171478643%
faire		520		0.18410012214335028%
leur		508		0.17985165778619602%
système		486		0.17206280646474661%
ce		471		0.1667522260183038%
;		463		0.16391991644686763%
entre		458		0.16214972296472005%
devons		452		0.16002549078614292%
été		448		0.15860933600042484%
deux		443		0.15683914251827724%
peuple		441		0.15613106512541822%
chinoise		434		0.15365279425041156%
contre		433		0.15329875555398206%
relations		425		0.15046644598254588%
leurs		414		0.14657202032182118%
politique		389		0.13772105291108316%
:		381		0.134888743339647%
cette		379		0.13418066594678799%
tout		379		0.13418066594678799%
nouvelle		378		0.13382662725035846%
