单词		词频		占比
，		12219		6.965290405695816%

		7327		4.176666077627731%
。		6734		3.8386337336897967%
的		5934		3.3826035900973057%
、		4472		2.5492085026820273%
和		2640		1.504899473855222%
发展		1711		0.9753344696084412%
中国		1705		0.9719142435314975%
是		1205		0.6868954037861903%
在		1200		0.6840452153887372%
”		1003		0.5717477925290861%
“		1002		0.5711777548495955%
我们		999		0.5694676418111237%
要		898		0.5118938361825717%
为		892		0.508473610105628%
合作		876		0.4993530072337781%
人民		808		0.4605904450284164%
了		784		0.44690954072064165%
国家		751		0.42809829729745136%
国际		719		0.40985709155375166%
中		690		0.3933259988485239%
经济		688		0.3921859234895427%
新		660		0.3762248684638055%
世界		645		0.36767430327144623%
建设		638		0.36368403951501194%
社会		559		0.3186510628352534%
坚持		554		0.31580087443780036%
不		548		0.31238064836085666%
将		521		0.29698963101461007%
对		513		0.29242932957868517%
关系		494		0.2815986136683635%
更		485		0.2764682745529479%
党		479		0.2730480484760043%
共同		468		0.2667776340016075%
推进		464		0.26449748328364503%
等		456		0.25993718184772013%
全球		454		0.2587971064887389%
加强		450		0.25651695577077643%
改革		444		0.25309672969383273%
推动		440		0.2508165789758703%
以		434		0.2473963528989266%
疫情		431		0.24568623986045476%
支持		429		0.24454616450147354%
一		424		0.24169597610402047%
有		420		0.23941582538605802%
全面		415		0.23656563698860494%
也		399		0.22744503411675512%
与		381		0.21718435588592408%
非洲		374		0.21319409212948978%
上		372		0.21205401677050853%
大		350		0.19951318782171504%
组织		343		0.19552292406528074%
各国		342		0.19495288638579011%
实现		339		0.19324277334731826%
安全		333		0.18982254727037456%
政策		332		0.18925250959088397%
社会主义		327		0.1864023211934309%
和平		327		0.1864023211934309%
：		326		0.18583228351394027%
工作		324		0.18469220815495904%
维护		323		0.18412217047546844%
中非		321		0.1829820951164872%
外交		307		0.1750015676036186%
两		305		0.17386149224463737%
企业		298		0.16987122848820307%
问题		297		0.16930119080871245%
人类		291		0.16588096473176878%
同		284		0.16189070097533448%
个		283		0.16132066329584385%
体系		279		0.1590405125778814%
开放		273		0.1556202865009377%
