POS		频数		占比		
NOUN		64519		23.450539385304296%
ADP		47794		17.37155069640313%
DET		43080		15.658166380739146%
VERB		25055		9.10667034980082%
ADJ		24921		9.057965746852375%
PUNCT		22718		8.257247535692477%
CCONJ		12631		4.590954028670292%
PRON		9326		3.3896949783373556%
ADV		7854		2.8546712802768166%
PROPN		6924		2.5166467971271556%
AUX		6249		2.2713064464540142%
NUM		2091		0.7600098863074641%
SCONJ		1754		0.6375214445639847%
SPACE		134		0.048704602948445815%
X		78		0.028350440522229653%
