POS		频数		占比
NOUN		57629		34.28256989886972%
VERB		33173		19.734086853063655%
PUNCT		27201		16.18143961927424%
ADV		10660		6.341463414634147%
PART		9275		5.517549077929804%
ADJ		7495		4.458655562165378%
PROPN		6126		3.644259369422963%
NUM		5105		3.036882807852469%
ADP		4353		2.58953004164188%
CCONJ		3243		1.9292088042831648%
PRON		2132		1.2682926829268293%
DET		1200		0.7138607971445567%
X		311		0.1850089232599643%
SCONJ		119		0.07079119571683522%
SPACE		77		0.04580606781677573%
INTJ		1		0.000594883997620464%
